Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09750,0.01861,2.67614,0.00570,0.09486,0.00000,0.00000,
0.000,5.09875,0.01861,0.86869,1.00803,0.09489,0.00000,0.00000,
0.000,5.09500,0.01777,3.06648,0.01304,0.09056,0.00000,0.00000,
0.000,5.09500,0.01840,1.98103,0.03912,0.09375,0.00000,0.00000,
0.000,5.09500,0.01798,1.94191,1.38615,0.09162,0.00000,0.00000,
0.000,5.09875,0.01798,1.94191,1.38615,0.09169,0.00000,0.00000,
0.000,5.09625,0.01798,3.09092,0.90373,0.09164,0.00000,0.00000,
0.000,5.10125,0.01798,2.91083,2.61421,0.09173,0.00000,0.00000,
0.000,5.09750,0.01966,1.93539,2.35833,0.10019,0.00000,0.00000,
0.000,5.09625,0.01798,1.88894,1.25902,0.09164,0.00000,0.00000,
0.001,5.09875,0.01819,0.67066,1.50268,0.09275,0.00000,0.00000,
0.001,5.09750,0.01882,3.08196,0.21106,0.09593,0.00000,0.00000,
0.002,5.09625,0.01945,2.21979,0.00163,0.09910,0.00000,0.00000,
0.003,5.09625,0.01798,2.22305,1.32177,0.09164,0.00000,0.00000,
0.004,5.09625,0.01798,2.15134,0.43027,0.09164,0.00000,0.00000,
0.005,5.09875,0.01945,2.08452,2.10000,0.09915,0.00000,0.00000,
0.006,5.09875,0.01861,2.08452,2.10000,0.09489,0.00000,0.00000,
0.007,5.09750,0.01882,3.09096,0.41968,0.09593,0.00000,0.00000,
0.008,5.09750,0.01945,1.89548,1.44647,0.09913,0.00000,0.00000,
0.009,5.09750,0.01903,1.94275,1.44402,0.09700,0.00000,0.00000,
0.011,5.10125,0.01777,0.58429,0.99012,0.09067,0.00000,0.00000,
0.011,5.09750,0.01903,2.58816,1.78873,0.09700,0.00000,0.00000,
0.012,5.09750,0.01882,2.00713,2.23449,0.09593,0.00000,0.00000,
0.013,5.09375,0.01882,1.10909,1.47010,0.09586,0.00000,0.00000,
0.014,5.09750,0.01819,2.75440,2.10655,0.09273,0.00000,0.00000,
0.015,5.09625,0.01798,0.64052,1.99979,0.09164,0.00000,0.00000,
0.016,5.10000,0.01756,1.14088,1.22970,0.08958,0.00000,0.00000,
0.017,5.09750,0.01861,1.14088,1.22970,0.09486,0.00000,0.00000,
0.018,5.10000,0.01694,2.15712,0.00570,0.08638,0.00000,0.00000,
0.019,5.09875,0.01819,1.47910,1.93383,0.09275,0.00000,0.00000,
