Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09625,0.01882,1.72416,0.00408,0.09591,0.00000,0.00000,
0.000,5.09750,0.01903,1.56927,1.53911,0.09700,0.00000,0.00000,
0.000,5.09625,0.01903,1.56927,1.53911,0.09697,0.00000,0.00000,
0.000,5.09375,0.01756,2.04855,0.00408,0.08947,0.00000,0.00000,
0.000,5.09500,0.01861,1.05240,1.07278,0.09482,0.00000,0.00000,
0.001,5.09375,0.01694,1.63933,0.77198,0.08627,0.00000,0.00000,
0.002,5.09375,0.01861,1.94095,2.37951,0.09479,0.00000,0.00000,
0.003,5.09375,0.01861,2.17572,1.57982,0.09479,0.00000,0.00000,
0.004,5.09500,0.01798,2.83194,2.93302,0.09162,0.00000,0.00000,
0.005,5.09500,0.01861,2.53847,1.70780,0.09482,0.00000,0.00000,
0.006,5.09750,0.01861,1.88796,1.27331,0.09486,0.00000,0.00000,
0.007,5.09500,0.01840,1.46896,0.72225,0.09375,0.00000,0.00000,
0.008,5.09500,0.01903,3.03573,1.70699,0.09695,0.00000,0.00000,
0.009,5.09375,0.01966,3.03573,1.70699,0.10012,0.00000,0.00000,
0.010,5.09625,0.01798,2.17229,0.09863,0.09164,0.00000,0.00000,
0.011,5.09625,0.01882,1.84053,1.08492,0.09591,0.00000,0.00000,
0.012,5.09750,0.01882,0.96102,1.24794,0.09593,0.00000,0.00000,
0.013,5.09750,0.01924,1.36532,0.46299,0.09806,0.00000,0.00000,
0.014,5.09500,0.01861,1.48270,1.64083,0.09482,0.00000,0.00000,
0.015,5.09375,0.01861,0.65209,1.46232,0.09479,0.00000,0.00000,
0.016,5.09625,0.01819,2.73716,2.81134,0.09271,0.00000,0.00000,
0.017,5.09375,0.01736,1.86254,0.65861,0.08840,0.00000,0.00000,
0.018,5.09500,0.01798,3.07136,0.02038,0.09162,0.00000,0.00000,
0.019,5.09625,0.01715,3.07380,0.02527,0.08738,0.00000,0.00000,
0.020,5.09625,0.01903,3.07380,0.02527,0.09697,0.00000,0.00000,
0.021,5.09875,0.01903,1.14194,1.47041,0.09702,0.00000,0.00000,
0.022,5.09625,0.01777,1.86818,1.28213,0.09058,0.00000,0.00000,
0.023,5.09500,0.01819,0.50454,1.48672,0.09269,0.00000,0.00000,
0.024,5.09500,0.01861,3.07613,0.05624,0.09482,0.00000,0.00000,
0.025,5.09375,0.01798,3.08999,0.21437,0.09160,0.00000,0.00000,
0.026,5.09750,0.01798,1.71250,0.49965,0.09167,0.00000,0.00000,
0.027,5.09500,0.01903,1.65951,1.47449,0.09695,0.00000,0.00000,
0.028,5.09500,0.01777,1.98555,2.93105,0.09056,0.00000,0.00000,
0.029,5.09500,0.01777,0.46541,1.82253,0.09056,0.00000,0.00000,
0.030,5.09375,0.01777,2.25208,0.00652,0.09053,0.00000,0.00000,
0.031,5.09625,0.01882,2.25208,0.00652,0.09591,0.00000,0.00000,
0.032,5.09625,0.01798,3.07371,0.02608,0.09164,0.00000,0.00000,
0.033,5.09500,0.01924,1.57313,1.94725,0.09801,0.00000,0.00000,
0.034,5.09625,0.01945,2.31567,1.94807,0.09910,0.00000,0.00000,
0.035,5.09500,0.01777,1.47857,0.00652,0.09056,0.00000,0.00000,
0.036,5.09500,0.01966,2.96530,2.82429,0.10014,0.00000,0.00000,
0.037,5.09750,0.01924,1.92606,1.22264,0.09806,0.00000,0.00000,
0.038,5.09750,0.01777,1.92850,0.14998,0.09060,0.00000,0.00000,
0.039,5.09625,0.01777,3.01095,0.95529,0.09058,0.00000,0.00000,
0.040,5.09500,0.01777,0.99849,1.80950,0.09056,0.00000,0.00000,
0.041,5.09500,0.01840,2.16651,0.01060,0.09375,0.00000,0.00000,
0.042,5.09500,0.01840,2.16651,0.01060,0.09375,0.00000,0.00000,
0.043,5.09625,0.01903,1.55193,2.95959,0.09697,0.00000,0.00000,
0.044,5.09750,0.01715,2.32545,1.70843,0.08740,0.00000,0.00000,
0.045,5.09500,0.01882,1.77038,0.00326,0.09588,0.00000,0.00000,
0.046,5.09625,0.01882,2.51944,2.12902,0.09591,0.00000,0.00000,
0.047,5.09625,0.01819,1.44597,0.42711,0.09271,0.00000,0.00000,
0.048,5.09625,0.01819,3.02480,1.85352,0.09271,0.00000,0.00000,
0.049,5.09625,0.01840,3.09653,0.45971,0.09377,0.00000,0.00000,
0.050,5.09375,0.01903,2.83162,2.28225,0.09692,0.00000,0.00000,
0.051,5.09625,0.01861,1.56334,1.47124,0.09484,0.00000,0.00000,
0.052,5.09250,0.01903,2.20563,0.69120,0.09690,0.00000,0.00000,
0.053,5.09500,0.01861,2.20563,0.69120,0.09482,0.00000,0.00000,
0.054,5.09500,0.01861,1.44353,1.60410,0.09482,0.00000,0.00000,
0.055,5.09375,0.01966,0.86970,1.47939,0.10012,0.00000,0.00000,
0.056,5.09375,0.01840,0.62436,0.89986,0.09373,0.00000,0.00000,
0.057,5.09375,0.01840,1.38729,1.95214,0.09373,0.00000,0.00000,
0.058,5.09375,0.01840,2.95878,0.89986,0.09373,0.00000,0.00000,
0.059,5.09625,0.01924,2.87564,1.25361,0.09804,0.00000,0.00000,
0.060,5.09500,0.01819,1.82499,0.00326,0.09269,0.00000,0.00000,
0.061,5.09250,0.01924,1.64730,1.92525,0.09797,0.00000,0.00000,
0.062,5.09625,0.01945,2.48195,1.66279,0.09910,0.00000,0.00000,
0.063,5.09500,0.01840,2.83489,2.06626,0.09375,0.00000,0.00000,
0.064,5.09500,0.01903,2.83489,2.06626,0.09695,0.00000,0.00000,
