Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09875,0.00627,3.05822,0.02120,0.03198,0.00000,0.00000,
0.000,5.09875,0.00627,3.06067,0.01794,0.03198,0.00000,0.00000,
0.000,5.09750,0.00523,3.05659,0.01957,0.02665,0.00000,0.00000,
0.000,5.09750,0.00544,3.05659,0.01549,0.02771,0.00000,0.00000,
0.000,5.10125,0.00627,3.05822,0.01794,0.03200,0.00000,0.00000,
0.000,5.10125,0.00502,3.05822,0.01794,0.02560,0.00000,0.00000,
0.000,5.09875,0.00544,3.06231,0.01957,0.02772,0.00000,0.00000,
0.000,5.10000,0.00795,3.05823,0.01468,0.04052,0.00000,0.00000,
0.000,5.10125,0.00585,3.05823,0.01957,0.02987,0.00000,0.00000,
0.000,5.10125,0.00585,3.06067,0.02201,0.02987,0.00000,0.00000,
0.000,5.10000,0.00585,3.05741,0.02446,0.02986,0.00000,0.00000,
0.000,5.10125,0.00732,3.06149,0.00897,0.03733,0.00000,0.00000,
0.000,5.09750,0.00648,3.06067,0.02609,0.03304,0.00000,0.00000,
0.000,5.09875,0.00565,3.05660,0.02283,0.02879,0.00000,0.00000,
0.000,5.10000,0.00648,3.05741,0.02120,0.03306,0.00000,0.00000,
0.000,5.10000,0.00606,3.05823,0.01141,0.03093,0.00000,0.00000,
0.000,5.10125,0.00690,3.05823,0.01141,0.03520,0.00000,0.00000,
0.000,5.10000,0.00585,3.06067,0.02038,0.02986,0.00000,0.00000,
0.000,5.10000,0.00627,3.05904,0.01875,0.03199,0.00000,0.00000,
0.000,5.09875,0.00627,3.05904,0.02283,0.03198,0.00000,0.00000,
0.000,5.09875,0.00565,3.05904,0.00978,0.02879,0.00000,0.00000,
0.000,5.09875,0.00606,3.05904,0.02283,0.03092,0.00000,0.00000,
0.000,5.10250,0.00690,3.05741,0.01631,0.03521,0.00000,0.00000,
0.000,5.09875,0.00815,3.05741,0.01957,0.04158,0.00000,0.00000,
