Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09625,0.01861,3.13295,0.00734,0.09484,0.00000,0.00000,
0.000,5.09625,0.01840,2.83621,2.26554,0.09377,0.00000,0.00000,
0.000,5.09750,0.01840,3.05958,0.02038,0.09380,0.00000,0.00000,
0.000,5.09875,0.01945,1.96717,2.15630,0.09915,0.00000,0.00000,
0.000,5.09875,0.01945,0.51360,1.16905,0.09915,0.00000,0.00000,
0.000,5.09750,0.01777,1.76091,0.00082,0.09060,0.00000,0.00000,
0.000,5.09875,0.01945,0.66360,1.47558,0.09915,0.00000,0.00000,
0.000,5.10000,0.01966,1.62151,0.00082,0.10024,0.00000,0.00000,
0.000,5.09750,0.01840,3.13703,0.00734,0.09380,0.00000,0.00000,
0.001,5.10000,0.01924,0.90328,1.92477,0.09811,0.00000,0.00000,
0.002,5.09625,0.01924,0.90328,1.92477,0.09804,0.00000,0.00000,
0.003,5.09875,0.01798,1.74216,0.94160,0.09169,0.00000,0.00000,
0.004,5.10000,0.01798,3.05795,0.01875,0.09171,0.00000,0.00000,
0.005,5.09875,0.01861,2.12614,1.44623,0.09489,0.00000,0.00000,
0.006,5.09875,0.01861,1.70385,0.00815,0.09489,0.00000,0.00000,
0.007,5.09625,0.01819,0.68806,1.06633,0.09271,0.00000,0.00000,
0.008,5.09625,0.01736,1.14704,1.72912,0.08845,0.00000,0.00000,
0.009,5.10000,0.01861,1.66798,2.46528,0.09491,0.00000,0.00000,
0.010,5.09625,0.01715,1.47802,0.86578,0.08738,0.00000,0.00000,
0.011,5.09625,0.01819,0.70355,1.50085,0.09271,0.00000,0.00000,
0.012,5.09750,0.01840,1.87831,0.00734,0.09380,0.00000,0.00000,
0.013,5.09750,0.01819,1.87831,0.00734,0.09273,0.00000,0.00000,
0.014,5.09750,0.01861,3.05884,0.01549,0.09486,0.00000,0.00000,
0.015,5.09625,0.01861,1.42588,2.48245,0.09484,0.00000,0.00000,
0.016,5.09500,0.01966,1.42914,0.00652,0.10014,0.00000,0.00000,
0.017,5.09750,0.01840,3.07596,0.00978,0.09380,0.00000,0.00000,
0.018,5.09875,0.01798,1.40305,1.66312,0.09169,0.00000,0.00000,
0.019,5.09875,0.01819,1.56366,1.69655,0.09275,0.00000,0.00000,
0.020,5.09875,0.01840,2.44903,1.63622,0.09382,0.00000,0.00000,
0.021,5.09625,0.01777,0.59269,1.37452,0.09058,0.00000,0.00000,
0.022,5.09750,0.01861,0.69215,1.51964,0.09486,0.00000,0.00000,
0.023,5.09750,0.01861,1.51964,0.00326,0.09486,0.00000,0.00000,
0.024,5.09500,0.01861,1.51964,0.00326,0.09482,0.00000,0.00000,
0.025,5.09875,0.01903,2.21838,1.75286,0.09702,0.00000,0.00000,
0.026,5.09750,0.01777,2.04147,1.32483,0.09060,0.00000,0.00000,
0.027,5.09750,0.01798,1.17156,1.46017,0.09167,0.00000,0.00000,
0.028,5.09750,0.01861,3.07280,0.05381,0.09486,0.00000,0.00000,
0.029,5.09625,0.01777,3.07769,0.05218,0.09058,0.00000,0.00000,
0.030,5.09875,0.01777,2.39041,2.89262,0.09062,0.00000,0.00000,
0.031,5.09750,0.01903,1.04111,1.80748,0.09700,0.00000,0.00000,
0.032,5.09750,0.01840,1.04111,1.80748,0.09380,0.00000,0.00000,
0.033,5.09750,0.01840,3.07524,0.04973,0.09380,0.00000,0.00000,
0.034,5.09750,0.01777,3.05568,0.01957,0.09060,0.00000,0.00000,
0.035,5.09875,0.01882,3.07117,0.01957,0.09595,0.00000,0.00000,
0.036,5.09875,0.01819,3.07117,0.01957,0.09275,0.00000,0.00000,
0.037,5.09625,0.01756,2.49659,2.70125,0.08951,0.00000,0.00000,
0.038,5.09625,0.01903,1.71631,1.63477,0.09697,0.00000,0.00000,
0.039,5.09875,0.01882,1.22221,1.67799,0.09595,0.00000,0.00000,
0.040,5.09625,0.01798,1.79132,0.00897,0.09164,0.00000,0.00000,
0.041,5.09625,0.01924,2.12561,0.00652,0.09804,0.00000,0.00000,
0.042,5.09875,0.01924,2.75914,2.37266,0.09809,0.00000,0.00000,
0.043,5.09875,0.01882,2.17535,2.93933,0.09595,0.00000,0.00000,
0.044,5.09750,0.01777,1.60868,0.02038,0.09060,0.00000,0.00000,
0.045,5.09875,0.01945,0.90014,1.75952,0.09915,0.00000,0.00000,
0.046,5.10000,0.01924,2.67189,2.23487,0.09811,0.00000,0.00000,
0.047,5.09625,0.01798,2.67189,2.23487,0.09164,0.00000,0.00000,
0.048,5.09625,0.01924,1.19285,1.48474,0.09804,0.00000,0.00000,
0.049,5.09875,0.01882,2.20632,1.90138,0.09595,0.00000,0.00000,
0.050,5.09875,0.01840,3.00698,0.88791,0.09382,0.00000,0.00000,
0.051,5.09625,0.01840,1.10234,1.18877,0.09377,0.00000,0.00000,
0.052,5.10125,0.01966,2.27970,1.41217,0.10027,0.00000,0.00000,
0.053,5.09875,0.01924,3.11053,0.00571,0.09809,0.00000,0.00000,
0.054,5.09625,0.01819,3.05590,0.02446,0.09271,0.00000,0.00000,
0.055,5.09500,0.01840,0.42072,1.33064,0.09375,0.00000,0.00000,
0.056,5.09500,0.01798,2.69960,2.26584,0.09162,0.00000,0.00000,
0.057,5.09750,0.01777,2.50229,1.93807,0.09060,0.00000,0.00000,
0.058,5.09875,0.01798,2.50229,1.93807,0.09169,0.00000,0.00000,
0.059,5.09875,0.01756,0.63106,2.02200,0.08956,0.00000,0.00000,
0.060,5.09750,0.01756,3.01914,0.84304,0.08953,0.00000,0.00000,
0.061,5.09750,0.01819,1.17651,1.71218,0.09273,0.00000,0.00000,
0.062,5.09875,0.01798,2.31307,1.71381,0.09169,0.00000,0.00000,
0.063,5.09750,0.01840,2.13778,0.00489,0.09380,0.00000,0.00000,
0.064,5.09500,0.01736,3.05501,0.02283,0.08843,0.00000,0.00000,
0.065,5.10000,0.01840,2.26904,0.00000,0.09384,0.00000,0.00000,
0.066,5.09750,0.01861,2.11413,0.00000,0.09486,0.00000,0.00000,
0.067,5.09875,0.01840,1.73175,0.00734,0.09382,0.00000,0.00000,
0.068,5.09875,0.01777,1.93884,1.23929,0.09062,0.00000,0.00000,
0.069,5.09500,0.01777,1.93884,1.23929,0.09056,0.00000,0.00000,
0.070,5.09625,0.01736,0.61718,0.81448,0.08845,0.00000,0.00000,
0.071,5.09750,0.01861,2.21271,0.00652,0.09486,0.00000,0.00000,
0.072,5.09625,0.01756,1.97220,0.00326,0.08951,0.00000,0.00000,
0.073,5.09875,0.01756,1.47405,0.00082,0.08956,0.00000,0.00000,
0.074,5.10000,0.01819,3.05246,0.01957,0.09278,0.00000,0.00000,
0.075,5.09875,0.01882,2.55432,1.95426,0.09595,0.00000,0.00000,
