Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09250,0.01819,2.04451,1.30298,0.09264,0.00000,0.00000,
0.000,5.09625,0.01798,0.97784,1.70145,0.09164,0.00000,0.00000,
0.000,5.09625,0.01861,2.71677,0.00163,0.09484,0.00000,0.00000,
0.000,5.09625,0.01861,1.76990,1.17993,0.09484,0.00000,0.00000,
0.000,5.09500,0.01882,1.45373,1.71774,0.09588,0.00000,0.00000,
0.000,5.09250,0.01736,1.58899,1.05200,0.08838,0.00000,0.00000,
0.000,5.09625,0.01840,2.14311,0.88658,0.09377,0.00000,0.00000,
0.000,5.09500,0.01882,2.23682,1.73730,0.09588,0.00000,0.00000,
0.001,5.09750,0.01715,1.05118,1.30868,0.08740,0.00000,0.00000,
0.002,5.09500,0.01924,1.05118,1.30868,0.09801,0.00000,0.00000,
0.003,5.09500,0.01861,1.97695,0.00652,0.09482,0.00000,0.00000,
0.004,5.09500,0.01861,1.92968,3.03795,0.09482,0.00000,0.00000,
0.005,5.09375,0.01861,3.07054,0.02934,0.09479,0.00000,0.00000,
0.006,5.09500,0.01966,1.90768,1.52305,0.10014,0.00000,0.00000,
0.007,5.09500,0.01840,1.38126,2.07473,0.09375,0.00000,0.00000,
0.008,5.09500,0.01840,1.70722,1.63387,0.09375,0.00000,0.00000,
0.009,5.09625,0.01966,1.50593,0.54517,0.10017,0.00000,0.00000,
0.010,5.09750,0.01840,1.29732,1.15797,0.09380,0.00000,0.00000,
0.011,5.09375,0.01819,2.37136,0.52235,0.09266,0.00000,0.00000,
0.012,5.09625,0.01861,1.67869,1.67299,0.09484,0.00000,0.00000,
0.013,5.09625,0.01861,1.67869,1.67299,0.09484,0.00000,0.00000,
0.014,5.09625,0.01861,3.07483,0.01467,0.09484,0.00000,0.00000,
0.015,5.09500,0.01777,0.47023,1.79372,0.09056,0.00000,0.00000,
0.016,5.09875,0.01924,2.06021,0.45312,0.09809,0.00000,0.00000,
0.017,5.09625,0.01924,3.08950,0.21107,0.09804,0.00000,0.00000,
0.018,5.09500,0.01798,2.21913,0.00163,0.09162,0.00000,0.00000,
0.019,5.09625,0.01861,2.86050,2.47095,0.09484,0.00000,0.00000,
0.020,5.09750,0.01903,2.25906,1.33164,0.09700,0.00000,0.00000,
0.021,5.09625,0.01798,1.37972,1.53538,0.09164,0.00000,0.00000,
0.022,5.09625,0.01924,2.25580,0.88993,0.09804,0.00000,0.00000,
0.023,5.09500,0.01924,2.93955,3.00882,0.09801,0.00000,0.00000,
0.024,5.09750,0.01715,2.93955,3.00882,0.08740,0.00000,0.00000,
0.025,5.09625,0.01777,3.09651,0.39287,0.09058,0.00000,0.00000,
0.027,5.09625,0.01903,2.70201,2.03364,0.09697,0.00000,0.00000,
0.027,5.09875,0.01736,1.94969,1.18351,0.08849,0.00000,0.00000,
0.028,5.09375,0.01882,2.15346,0.51432,0.09586,0.00000,0.00000,
0.029,5.09625,0.01798,1.31474,2.34745,0.09164,0.00000,0.00000,
0.030,5.09750,0.01882,2.01163,0.82487,0.09593,0.00000,0.00000,
0.031,5.09750,0.01861,2.19992,1.00500,0.09486,0.00000,0.00000,
0.032,5.09625,0.01861,1.65789,1.68641,0.09484,0.00000,0.00000,
0.033,5.09500,0.01882,1.35467,0.01304,0.09588,0.00000,0.00000,
0.034,5.09625,0.01882,0.88437,1.32778,0.09591,0.00000,0.00000,
0.035,5.09500,0.01756,0.88437,1.32778,0.08949,0.00000,0.00000,
0.036,5.09500,0.01903,1.59512,1.47857,0.09695,0.00000,0.00000,
0.037,5.09625,0.01840,1.96843,1.27316,0.09377,0.00000,0.00000,
0.038,5.09625,0.01840,1.75570,2.15264,0.09377,0.00000,0.00000,
0.039,5.09750,0.01882,1.18921,1.84536,0.09593,0.00000,0.00000,
0.040,5.09750,0.01777,1.94072,1.66033,0.09060,0.00000,0.00000,
0.041,5.09750,0.01777,2.46808,0.98544,0.09060,0.00000,0.00000,
