Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09500,0.01736,1.60989,1.72727,0.08843,0.00000,0.00000,
0.000,5.09500,0.01798,2.24162,0.97001,0.09162,0.00000,0.00000,
0.000,5.09750,0.01777,3.06083,1.47947,0.09060,0.00000,0.00000,
0.000,5.09750,0.01945,2.76657,1.68570,0.09913,0.00000,0.00000,
0.000,5.09625,0.01945,3.05675,0.01223,0.09910,0.00000,0.00000,
0.000,5.09625,0.01777,3.07387,0.06114,0.09058,0.00000,0.00000,
0.000,5.09500,0.01798,1.55365,0.95615,0.09162,0.00000,0.00000,
0.001,5.09500,0.01840,1.73461,0.59668,0.09375,0.00000,0.00000,
0.002,5.09875,0.01798,1.44849,1.62212,0.09169,0.00000,0.00000,
0.003,5.09250,0.01861,1.44849,1.62212,0.09477,0.00000,0.00000,
0.004,5.09625,0.01986,1.44849,1.62212,0.10123,0.00000,0.00000,
0.005,5.09500,0.01777,2.10466,0.00734,0.09056,0.00000,0.00000,
0.006,5.09500,0.01945,3.07058,0.00734,0.09908,0.00000,0.00000,
0.007,5.09500,0.01945,1.36126,0.46788,0.09908,0.00000,0.00000,
0.008,5.09500,0.01840,3.06732,0.01060,0.09375,0.00000,0.00000,
0.009,5.09625,0.01819,1.67590,0.89664,0.09271,0.00000,0.00000,
0.010,5.09500,0.01903,1.30176,1.48679,0.09695,0.00000,0.00000,
0.011,5.09500,0.01756,1.89680,1.90332,0.08949,0.00000,0.00000,
0.012,5.09875,0.01777,2.69562,1.30583,0.09062,0.00000,0.00000,
0.013,5.09375,0.01903,1.77208,1.02950,0.09692,0.00000,0.00000,
0.014,5.09875,0.01798,1.99461,0.65618,0.09169,0.00000,0.00000,
0.015,5.09875,0.01903,1.99461,0.65618,0.09702,0.00000,0.00000,
0.016,5.09750,0.01903,3.08907,0.17931,0.09700,0.00000,0.00000,
0.017,5.09500,0.01715,2.13871,1.07914,0.08736,0.00000,0.00000,
0.018,5.09500,0.01840,0.53794,1.16961,0.09375,0.00000,0.00000,
0.019,5.09375,0.01903,2.20554,2.36611,0.09692,0.00000,0.00000,
0.020,5.09375,0.01777,2.77201,1.46303,0.09053,0.00000,0.00000,
0.021,5.09500,0.01736,2.48918,1.01801,0.08843,0.00000,0.00000,
0.022,5.09625,0.01861,2.73696,0.56076,0.09484,0.00000,0.00000,
0.023,5.09625,0.01840,2.33025,2.66931,0.09377,0.00000,0.00000,
0.024,5.09625,0.01840,2.21614,1.38071,0.09377,0.00000,0.00000,
0.025,5.09375,0.01840,1.06365,1.90153,0.09373,0.00000,0.00000,
0.026,5.09625,0.01903,1.06365,1.90153,0.09697,0.00000,0.00000,
0.027,5.09625,0.01798,2.95751,2.71221,0.09164,0.00000,0.00000,
0.028,5.09250,0.01903,2.45794,1.61363,0.09690,0.00000,0.00000,
0.029,5.09625,0.01882,2.43186,0.69272,0.09591,0.00000,0.00000,
0.030,5.09500,0.01798,1.53703,1.36914,0.09162,0.00000,0.00000,
0.031,5.09625,0.01903,1.59244,0.68050,0.09697,0.00000,0.00000,
0.032,5.09500,0.01819,2.50194,1.46368,0.09269,0.00000,0.00000,
0.033,5.09500,0.01777,1.88013,1.57777,0.09056,0.00000,0.00000,
0.034,5.09375,0.01777,3.05205,1.86627,0.09053,0.00000,0.00000,
0.035,5.09625,0.01819,2.20448,1.13443,0.09271,0.00000,0.00000,
0.036,5.09875,0.01756,3.08057,0.05542,0.08956,0.00000,0.00000,
0.037,5.09625,0.01819,3.08057,0.05542,0.09271,0.00000,0.00000,
0.038,5.09750,0.01694,2.93809,2.86068,0.08634,0.00000,0.00000,
0.039,5.09625,0.01736,2.00354,0.16133,0.08845,0.00000,0.00000,
0.040,5.10125,0.01882,1.93184,1.51956,0.09600,0.00000,0.00000,
0.041,5.09500,0.01736,2.48181,1.48289,0.08843,0.00000,0.00000,
0.042,5.09500,0.01945,1.94406,1.10239,0.09908,0.00000,0.00000,
0.043,5.09875,0.01945,1.60593,1.98806,0.09915,0.00000,0.00000,
0.044,5.09625,0.01861,2.15590,2.03857,0.09484,0.00000,0.00000,
0.045,5.09500,0.01777,2.67899,1.37779,0.09056,0.00000,0.00000,
0.046,5.09500,0.01966,3.06926,0.02118,0.10014,0.00000,0.00000,
0.047,5.09750,0.01840,3.07334,0.01548,0.09380,0.00000,0.00000,
0.048,5.09250,0.01819,3.07334,0.01548,0.09264,0.00000,0.00000,
0.049,5.09500,0.01924,2.80936,2.90387,0.09801,0.00000,0.00000,
0.050,5.09500,0.01882,2.10294,0.54998,0.09588,0.00000,0.00000,
0.051,5.09500,0.01777,2.28301,1.20506,0.09056,0.00000,0.00000,
0.052,5.09750,0.01777,1.51793,1.13580,0.09060,0.00000,0.00000,
0.053,5.09625,0.01882,2.14939,1.03314,0.09591,0.00000,0.00000,
0.054,5.09625,0.01840,1.07388,1.34520,0.09377,0.00000,0.00000,
0.055,5.09250,0.01777,1.66704,1.17165,0.09051,0.00000,0.00000,
0.056,5.09625,0.01924,3.07742,0.04889,0.09804,0.00000,0.00000,
0.057,5.09500,0.01861,0.66730,1.30772,0.09482,0.00000,0.00000,
0.058,5.09500,0.01840,3.08231,0.12466,0.09375,0.00000,0.00000,
0.059,5.09875,0.01861,3.08231,0.12466,0.09489,0.00000,0.00000,
0.060,5.09875,0.01798,2.23657,1.02174,0.09169,0.00000,0.00000,
0.061,5.09500,0.01798,1.72000,1.06410,0.09162,0.00000,0.00000,
0.062,5.09375,0.01819,1.68823,0.87508,0.09266,0.00000,0.00000,
0.063,5.09750,0.01777,2.57471,2.56412,0.09060,0.00000,0.00000,
0.064,5.09500,0.01798,1.70289,1.82430,0.09162,0.00000,0.00000,
0.065,5.09500,0.01819,1.47068,1.95710,0.09269,0.00000,0.00000,
0.066,5.09875,0.01819,2.79714,1.92614,0.09275,0.00000,0.00000,
0.067,5.09625,0.01861,2.17058,0.00326,0.09484,0.00000,0.00000,
0.068,5.09750,0.01945,1.88540,1.22869,0.09913,0.00000,0.00000,
0.069,5.09375,0.01777,2.46960,0.63471,0.09053,0.00000,0.00000,
0.070,5.09375,0.01777,2.46960,0.63471,0.09053,0.00000,0.00000,
0.071,5.09625,0.01924,1.49268,1.45194,0.09804,0.00000,0.00000,
0.072,5.09500,0.01882,1.78030,1.82185,0.09588,0.00000,0.00000,
0.073,5.09500,0.01840,0.60538,1.42831,0.09375,0.00000,0.00000,
0.074,5.09500,0.01840,2.09399,1.96688,0.09375,0.00000,0.00000,
0.075,5.09875,0.01777,1.58230,1.56356,0.09062,0.00000,0.00000,
0.076,5.09250,0.01882,2.94380,0.81641,0.09584,0.00000,0.00000,
0.077,5.09500,0.01882,0.49213,0.91255,0.09588,0.00000,0.00000,
0.078,5.09375,0.01777,3.10187,0.00652,0.09053,0.00000,0.00000,
0.079,5.09375,0.01819,1.89844,1.48209,0.09266,0.00000,0.00000,
0.080,5.09375,0.01819,2.19013,1.71674,0.09266,0.00000,0.00000,
0.081,5.09250,0.01798,2.19013,1.71674,0.09158,0.00000,0.00000,
0.082,5.09375,0.01861,0.56546,1.68497,0.09479,0.00000,0.00000,
0.083,5.09500,0.01819,1.65645,0.19881,0.09269,0.00000,0.00000,
0.084,5.09750,0.01798,1.68171,0.33569,0.09167,0.00000,0.00000,
0.085,5.09625,0.01819,3.06603,0.00733,0.09271,0.00000,0.00000,
0.086,5.09125,0.01903,1.95792,0.04237,0.09688,0.00000,0.00000,
0.087,5.09625,0.01903,1.30691,0.00489,0.09697,0.00000,0.00000,
0.088,5.09625,0.01840,2.36857,1.93185,0.09377,0.00000,0.00000,
0.089,5.09500,0.01840,1.68171,0.88160,0.09375,0.00000,0.00000,
0.090,5.09500,0.01882,2.12821,0.90930,0.09588,0.00000,0.00000,
0.091,5.09375,0.01819,2.06059,0.72842,0.09266,0.00000,0.00000,
0.092,5.09750,0.01945,2.06059,0.72842,0.09913,0.00000,0.00000,
0.093,5.09500,0.01861,1.27025,1.38269,0.09482,0.00000,0.00000,
0.094,5.09875,0.01798,1.76890,0.14340,0.09169,0.00000,0.00000,
0.095,5.09500,0.01924,2.78983,2.89738,0.09801,0.00000,0.00000,
0.096,5.09500,0.01903,3.06767,0.02363,0.09695,0.00000,0.00000,
0.097,5.09500,0.01798,2.05896,2.03126,0.09162,0.00000,0.00000,
0.098,5.09500,0.01798,1.35988,1.36477,0.09162,0.00000,0.00000,
0.099,5.09250,0.01840,1.48861,0.84249,0.09371,0.00000,0.00000,
0.100,5.09875,0.01861,0.62168,1.31832,0.09489,0.00000,0.00000,
0.101,5.09500,0.01756,2.84849,2.72383,0.08949,0.00000,0.00000,
0.102,5.09250,0.01840,1.62550,0.00815,0.09371,0.00000,0.00000,
0.103,5.09500,0.01819,1.62550,0.00815,0.09269,0.00000,0.00000,
0.104,5.09500,0.01777,2.22031,2.06142,0.09056,0.00000,0.00000,
0.105,5.09750,0.01756,2.77192,1.74447,0.08953,0.00000,0.00000,
0.106,5.09750,0.01840,3.07258,0.03259,0.09380,0.00000,0.00000,
0.107,5.09875,0.01840,3.07013,0.01304,0.09382,0.00000,0.00000,
0.108,5.09625,0.01861,2.06387,1.62714,0.09484,0.00000,0.00000,
0.109,5.09375,0.01756,1.64995,1.69966,0.08947,0.00000,0.00000,
0.110,5.09625,0.01882,2.57881,3.02369,0.09591,0.00000,0.00000,
0.111,5.09625,0.01945,2.24394,0.85716,0.09910,0.00000,0.00000,
0.112,5.09250,0.01861,2.63178,2.26105,0.09477,0.00000,0.00000,
0.113,5.09625,0.01945,2.25127,1.98646,0.09910,0.00000,0.00000,
0.114,5.09625,0.01840,2.25127,1.98646,0.09377,0.00000,0.00000,
0.115,5.09625,0.01882,2.13231,1.42996,0.09591,0.00000,0.00000,
0.116,5.09500,0.01882,1.59862,1.31997,0.09588,0.00000,0.00000,
0.117,5.09625,0.01736,1.93106,2.53319,0.08845,0.00000,0.00000,
0.118,5.09500,0.01819,1.69477,2.81511,0.09269,0.00000,0.00000,
0.119,5.09375,0.01840,2.23987,1.79418,0.09373,0.00000,0.00000,
0.120,5.09875,0.01861,2.93733,2.94466,0.09489,0.00000,0.00000,
0.121,5.09750,0.01840,1.80069,1.75506,0.09380,0.00000,0.00000,
0.122,5.09500,0.01777,0.90931,1.63285,0.09056,0.00000,0.00000,
0.123,5.09500,0.01840,2.49001,1.77788,0.09375,0.00000,0.00000,
0.124,5.09500,0.01819,2.60408,1.72166,0.09269,0.00000,0.00000,
0.125,5.09625,0.01819,2.60408,1.72166,0.09271,0.00000,0.00000,
0.126,5.09500,0.01756,3.05792,0.01711,0.08949,0.00000,0.00000,
0.127,5.09500,0.01840,1.31589,0.00489,0.09375,0.00000,0.00000,
0.128,5.09625,0.01756,0.80176,1.67358,0.08951,0.00000,0.00000,
0.129,5.09500,0.01819,2.09565,1.77217,0.09269,0.00000,0.00000,
0.130,5.09500,0.01715,2.95444,3.01392,0.08736,0.00000,0.00000,
0.131,5.09625,0.01861,1.40959,0.44732,0.09484,0.00000,0.00000,
0.132,5.09750,0.01903,2.00113,1.03397,0.09700,0.00000,0.00000,
0.133,5.09750,0.01882,2.01172,1.61084,0.09593,0.00000,0.00000,
0.134,5.09500,0.01882,3.20376,0.00326,0.09588,0.00000,0.00000,
0.135,5.09750,0.01903,2.63422,2.84200,0.09700,0.00000,0.00000,
