Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.10000,0.01715,2.10372,0.00244,0.08745,0.00000,0.00000,
0.000,5.09625,0.01819,1.01683,1.80878,0.09271,0.00000,0.00000,
0.000,5.09625,0.01819,2.98041,1.02172,0.09271,0.00000,0.00000,
0.000,5.09875,0.01903,0.44486,0.91009,0.09702,0.00000,0.00000,
0.000,5.09875,0.01777,1.97336,0.49701,0.09062,0.00000,0.00000,
0.000,5.09875,0.01882,2.91523,2.63169,0.09595,0.00000,0.00000,
0.000,5.09500,0.01882,1.20259,0.12547,0.09588,0.00000,0.00000,
0.001,5.09500,0.01756,1.20259,0.12547,0.08949,0.00000,0.00000,
0.002,5.09750,0.01756,3.09529,0.36583,0.08953,0.00000,0.00000,
0.003,5.09500,0.01819,1.65723,3.03500,0.09269,0.00000,0.00000,
0.004,5.10000,0.01903,1.90981,0.00244,0.09704,0.00000,0.00000,
0.005,5.09375,0.01798,1.66538,0.00326,0.09160,0.00000,0.00000,
0.007,5.09875,0.01736,1.87803,0.03992,0.08849,0.00000,0.00000,
0.007,5.09875,0.01798,0.61841,1.40139,0.09169,0.00000,0.00000,
0.008,5.09875,0.01861,1.18874,1.67190,0.09489,0.00000,0.00000,
0.009,5.09750,0.01798,2.88019,1.54235,0.09167,0.00000,0.00000,
0.010,5.09750,0.01756,1.59857,1.84789,0.08953,0.00000,0.00000,
0.011,5.09875,0.01756,1.16104,1.24496,0.08956,0.00000,0.00000,
0.012,5.10000,0.01798,1.16104,1.24496,0.09171,0.00000,0.00000,
0.013,5.09750,0.01924,3.07248,0.03585,0.09806,0.00000,0.00000,
0.015,5.09875,0.01840,0.56382,1.27266,0.09382,0.00000,0.00000,
0.015,5.09875,0.01819,1.71671,0.00570,0.09275,0.00000,0.00000,
0.016,5.09750,0.01924,1.30688,0.15073,0.09806,0.00000,0.00000,
0.017,5.09750,0.01694,3.09204,0.51738,0.08634,0.00000,0.00000,
0.018,5.09500,0.01819,1.63524,3.02523,0.09269,0.00000,0.00000,
0.019,5.09500,0.01819,2.39134,0.00326,0.09269,0.00000,0.00000,
0.020,5.09875,0.01819,1.59368,0.00733,0.09275,0.00000,0.00000,
0.021,5.09750,0.01777,1.60509,0.00489,0.09060,0.00000,0.00000,
0.023,5.10000,0.01798,2.29194,0.00163,0.09171,0.00000,0.00000,
0.023,5.09375,0.01903,2.29194,0.00163,0.09692,0.00000,0.00000,
0.024,5.09500,0.01861,1.09912,1.37777,0.09482,0.00000,0.00000,
0.025,5.09875,0.01819,1.09912,1.37777,0.09275,0.00000,0.00000,
0.026,5.10000,0.01861,1.05838,1.62953,0.09491,0.00000,0.00000,
