Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09250,0.01945,3.05949,0.00653,0.09903,0.00000,0.00000,
0.000,5.09625,0.01945,3.06275,0.89884,0.09910,0.00000,0.00000,
0.000,5.09750,0.01777,2.64677,2.32704,0.09060,0.00000,0.00000,
0.000,5.09625,0.01945,1.99344,2.96569,0.09910,0.00000,0.00000,
0.000,5.09500,0.01840,1.99344,2.96569,0.09375,0.00000,0.00000,
0.001,5.09625,0.01798,1.28139,0.03834,0.09164,0.00000,0.00000,
0.002,5.09750,0.01882,3.05950,0.02365,0.09593,0.00000,0.00000,
0.003,5.09625,0.01819,1.79035,1.09379,0.09271,0.00000,0.00000,
0.004,5.09875,0.01798,3.05705,1.48448,0.09169,0.00000,0.00000,
0.005,5.09875,0.01861,3.05379,0.01468,0.09489,0.00000,0.00000,
0.006,5.09625,0.01861,3.06195,0.01387,0.09484,0.00000,0.00000,
0.007,5.09500,0.01798,3.06439,0.00000,0.09162,0.00000,0.00000,
0.008,5.09625,0.01819,1.05953,2.02444,0.09271,0.00000,0.00000,
0.009,5.09625,0.01756,2.52117,2.65983,0.08951,0.00000,0.00000,
0.010,5.09875,0.01736,2.52117,2.65983,0.08849,0.00000,0.00000,
0.011,5.09375,0.01861,3.06032,1.58970,0.09479,0.00000,0.00000,
0.012,5.09500,0.01756,3.06032,1.58970,0.08949,0.00000,0.00000,
0.013,5.09500,0.01861,2.20223,1.96406,0.09482,0.00000,0.00000,
0.014,5.09500,0.02007,3.05539,0.01876,0.10227,0.00000,0.00000,
0.015,5.09500,0.02007,3.06110,1.34989,0.10227,0.00000,0.00000,
0.016,5.09250,0.01756,3.06355,0.00653,0.08945,0.00000,0.00000,
0.017,5.09500,0.01903,3.06110,0.00489,0.09695,0.00000,0.00000,
0.018,5.09625,0.01882,1.69816,1.75852,0.09591,0.00000,0.00000,
0.019,5.09625,0.01840,3.08720,1.25038,0.09377,0.00000,0.00000,
0.020,5.09875,0.01903,3.05621,0.00408,0.09702,0.00000,0.00000,
0.021,5.09500,0.01945,3.05865,1.54646,0.09908,0.00000,0.00000,
0.022,5.09500,0.01840,3.08312,0.04568,0.09375,0.00000,0.00000,
0.023,5.09500,0.01903,3.08312,0.04568,0.09695,0.00000,0.00000,
0.024,5.09750,0.01903,3.07489,0.01631,0.09700,0.00000,0.00000,
0.025,5.09250,0.01861,3.06510,1.37595,0.09477,0.00000,0.00000,
0.026,5.09625,0.01798,3.06265,0.00652,0.09164,0.00000,0.00000,
0.027,5.09375,0.01924,3.06510,0.00000,0.09799,0.00000,0.00000,
0.028,5.09625,0.01798,2.13856,1.58067,0.09164,0.00000,0.00000,
0.029,5.09625,0.01777,2.97212,0.84661,0.09058,0.00000,0.00000,
0.030,5.09625,0.01819,3.06428,0.01794,0.09271,0.00000,0.00000,
0.031,5.09500,0.01777,3.06347,0.95101,0.09056,0.00000,0.00000,
0.032,5.09500,0.01840,3.05531,0.00000,0.09375,0.00000,0.00000,
0.033,5.09625,0.01840,3.05858,0.00489,0.09377,0.00000,0.00000,
0.034,5.09500,0.01777,3.05858,0.00489,0.09056,0.00000,0.00000,
0.035,5.09625,0.01756,3.08775,0.05872,0.08951,0.00000,0.00000,
0.036,5.09500,0.01819,3.07144,0.00489,0.09269,0.00000,0.00000,
0.037,5.09500,0.01798,3.07388,0.03589,0.09162,0.00000,0.00000,
0.038,5.09500,0.01840,1.57731,1.64337,0.09375,0.00000,0.00000,
0.039,5.09750,0.01882,3.09020,0.32378,0.09593,0.00000,0.00000,
0.040,5.09500,0.01798,3.06247,1.24374,0.09162,0.00000,0.00000,
0.041,5.09500,0.01903,3.07144,0.00816,0.09695,0.00000,0.00000,
0.042,5.09500,0.01903,3.07144,0.01305,0.09695,0.00000,0.00000,
0.043,5.09500,0.01945,3.05920,0.00489,0.09908,0.00000,0.00000,
0.044,5.09875,0.01840,3.05676,0.01876,0.09382,0.00000,0.00000,
0.045,5.09500,0.01861,3.05676,0.01876,0.09482,0.00000,0.00000,
0.046,5.09500,0.01903,3.05894,0.02447,0.09695,0.00000,0.00000,
0.047,5.09500,0.01840,3.05813,1.96128,0.09375,0.00000,0.00000,
0.048,5.09625,0.01924,1.44099,1.80633,0.09804,0.00000,0.00000,
0.049,5.09625,0.01861,2.45140,2.81674,0.09484,0.00000,0.00000,
0.050,5.09625,0.01819,3.05976,0.00734,0.09271,0.00000,0.00000,
0.051,5.09500,0.01819,3.06302,0.00571,0.09269,0.00000,0.00000,
0.052,5.09625,0.01903,3.06465,0.00816,0.09697,0.00000,0.00000,
0.053,5.09500,0.01861,3.05976,0.01468,0.09482,0.00000,0.00000,
0.054,5.09625,0.01840,3.08096,0.03914,0.09377,0.00000,0.00000,
0.055,5.09625,0.01945,3.05894,1.22407,0.09910,0.00000,0.00000,
0.056,5.09250,0.01798,3.05894,1.22407,0.09158,0.00000,0.00000,
0.057,5.09500,0.01798,1.40996,2.61116,0.09162,0.00000,0.00000,
0.058,5.09750,0.01798,1.98406,0.89784,0.09167,0.00000,0.00000,
0.059,5.09750,0.01756,0.96063,0.80814,0.08953,0.00000,0.00000,
0.060,5.09500,0.01756,3.06457,0.00000,0.08949,0.00000,0.00000,
0.061,5.09375,0.01819,3.06620,0.00245,0.09266,0.00000,0.00000,
0.062,5.09125,0.01798,2.44073,0.56594,0.09155,0.00000,0.00000,
0.063,5.09500,0.01798,3.06294,0.01957,0.09162,0.00000,0.00000,
0.064,5.09500,0.01819,3.06049,1.81852,0.09269,0.00000,0.00000,
0.065,5.09500,0.01694,3.05723,1.96204,0.08629,0.00000,0.00000,
0.066,5.09875,0.01840,3.08740,0.10846,0.09382,0.00000,0.00000,
0.067,5.09625,0.01945,3.08740,0.10846,0.09910,0.00000,0.00000,
0.068,5.09625,0.01819,3.18935,0.00000,0.09271,0.00000,0.00000,
