Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09625,0.01903,1.22443,0.02772,0.09697,0.00000,0.00000,
0.000,5.09875,0.01798,3.09125,0.13695,0.09169,0.00000,0.00000,
0.000,5.09750,0.01986,2.40159,2.57359,0.10126,0.00000,0.00000,
0.000,5.09750,0.01903,0.80542,1.34182,0.09700,0.00000,0.00000,
0.000,5.09750,0.01903,1.87904,2.92250,0.09700,0.00000,0.00000,
0.000,5.09625,0.01819,0.68151,0.91303,0.09271,0.00000,0.00000,
0.000,5.09625,0.01882,3.08065,1.47226,0.09591,0.00000,0.00000,
0.000,5.09500,0.01882,3.09369,0.65216,0.09588,0.00000,0.00000,
0.000,5.09625,0.01819,3.07983,0.05625,0.09271,0.00000,0.00000,
0.000,5.09750,0.01903,1.95975,1.33856,0.09700,0.00000,0.00000,
0.001,5.09500,0.01840,1.95975,1.33856,0.09375,0.00000,0.00000,
0.002,5.09875,0.01736,1.46817,2.24994,0.08849,0.00000,0.00000,
0.003,5.09875,0.01819,0.40026,2.58091,0.09275,0.00000,0.00000,
0.004,5.09500,0.01819,1.36301,2.88824,0.09269,0.00000,0.00000,
0.005,5.09750,0.01986,3.07166,0.01304,0.10126,0.00000,0.00000,
0.006,5.09375,0.01819,0.43939,2.69341,0.09266,0.00000,0.00000,
0.007,5.09625,0.01861,3.09775,0.72716,0.09484,0.00000,0.00000,
0.008,5.09375,0.01736,1.66056,2.71216,0.08840,0.00000,0.00000,
0.009,5.09750,0.01819,3.09041,0.13532,0.09273,0.00000,0.00000,
0.010,5.09500,0.01819,3.09286,0.30651,0.09269,0.00000,0.00000,
0.011,5.09625,0.01777,2.11299,2.33309,0.09058,0.00000,0.00000,
0.012,5.09625,0.01861,2.11299,2.33309,0.09484,0.00000,0.00000,
0.013,5.09750,0.01861,3.09112,0.16711,0.09486,0.00000,0.00000,
0.014,5.09750,0.01819,2.36154,1.19178,0.09273,0.00000,0.00000,
0.015,5.09625,0.01756,2.11699,0.00571,0.08951,0.00000,0.00000,
0.016,5.09500,0.01819,2.87265,0.82332,0.09269,0.00000,0.00000,
0.017,5.09625,0.01819,3.08297,0.07010,0.09271,0.00000,0.00000,
0.018,5.09625,0.01882,3.08297,0.07010,0.09591,0.00000,0.00000,
0.019,5.09625,0.01840,1.66702,2.40964,0.09377,0.00000,0.00000,
0.020,5.09625,0.01798,3.09601,0.47443,0.09164,0.00000,0.00000,
0.021,5.09625,0.01903,2.31671,0.61056,0.09697,0.00000,0.00000,
0.022,5.09500,0.01903,1.98412,0.16466,0.09695,0.00000,0.00000,
0.023,5.09750,0.01924,1.98412,0.16466,0.09806,0.00000,0.00000,
0.024,5.09375,0.01840,2.18623,0.18096,0.09373,0.00000,0.00000,
0.025,5.09875,0.01966,3.08045,1.14610,0.10022,0.00000,0.00000,
0.026,5.09625,0.01861,0.82656,1.02383,0.09484,0.00000,0.00000,
0.027,5.09500,0.01798,0.63419,0.77276,0.09162,0.00000,0.00000,
0.028,5.09375,0.01924,1.22435,0.05380,0.09799,0.00000,0.00000,
0.029,5.09625,0.01840,3.06985,0.01141,0.09377,0.00000,0.00000,
0.030,5.09625,0.01777,0.56653,1.73871,0.09058,0.00000,0.00000,
0.031,5.09750,0.01777,1.17870,2.12917,0.09060,0.00000,0.00000,
0.032,5.09750,0.01840,1.23332,0.03913,0.09380,0.00000,0.00000,
0.033,5.09625,0.01756,3.07311,0.02282,0.08951,0.00000,0.00000,
0.034,5.09500,0.01861,3.07311,0.02282,0.09482,0.00000,0.00000,
0.035,5.09500,0.01756,1.23903,0.05217,0.08949,0.00000,0.00000,
0.036,5.09625,0.01715,1.46238,0.00163,0.08738,0.00000,0.00000,
0.037,5.09625,0.01777,2.19276,1.12165,0.09058,0.00000,0.00000,
0.038,5.09625,0.01798,1.60340,1.74850,0.09164,0.00000,0.00000,
0.039,5.09625,0.01777,0.47116,2.20173,0.09058,0.00000,0.00000,
0.040,5.09500,0.01777,2.10798,1.33766,0.09056,0.00000,0.00000,
0.041,5.09750,0.01798,3.09024,0.26329,0.09167,0.00000,0.00000,
0.042,5.09500,0.01777,1.40288,0.61870,0.09056,0.00000,0.00000,
0.043,5.09625,0.01819,3.12855,0.00326,0.09271,0.00000,0.00000,
0.044,5.09625,0.01861,0.79640,1.60177,0.09484,0.00000,0.00000,
0.045,5.09625,0.01798,0.79640,1.60177,0.09164,0.00000,0.00000,
0.046,5.09625,0.01882,2.49847,0.93255,0.09591,0.00000,0.00000,
0.047,5.09750,0.01882,3.06583,0.01304,0.09593,0.00000,0.00000,
0.048,5.09750,0.01777,3.08784,0.23721,0.09060,0.00000,0.00000,
0.049,5.09625,0.01777,0.72549,1.74363,0.09058,0.00000,0.00000,
0.050,5.09625,0.01861,2.24822,2.77400,0.09484,0.00000,0.00000,
0.051,5.09625,0.01861,1.33687,1.30018,0.09484,0.00000,0.00000,
0.052,5.09500,0.01840,2.57999,2.01508,0.09375,0.00000,0.00000,
0.053,5.09750,0.01882,3.10577,0.00571,0.09593,0.00000,0.00000,
0.054,5.09625,0.01924,2.76748,1.04830,0.09804,0.00000,0.00000,
0.055,5.09750,0.01840,1.66701,1.39719,0.09380,0.00000,0.00000,
0.056,5.09500,0.01840,1.66701,1.39719,0.09375,0.00000,0.00000,
0.057,5.09500,0.01840,2.11052,1.25702,0.09375,0.00000,0.00000,
0.058,5.09625,0.01840,1.51951,0.04484,0.09377,0.00000,0.00000,
0.059,5.09500,0.01861,2.14395,1.83417,0.09482,0.00000,0.00000,
0.060,5.09875,0.01903,1.46734,1.45430,0.09702,0.00000,0.00000,
0.061,5.09625,0.01777,1.65239,2.66241,0.09058,0.00000,0.00000,
0.062,5.09750,0.01819,1.49669,0.54618,0.09273,0.00000,0.00000,
0.063,5.09750,0.01819,0.65867,1.73635,0.09273,0.00000,0.00000,
0.064,5.09750,0.01798,1.61489,0.16630,0.09167,0.00000,0.00000,
0.065,5.09625,0.01798,3.06022,1.88553,0.09164,0.00000,0.00000,
0.066,5.09625,0.01736,3.08956,0.88856,0.08845,0.00000,0.00000,
0.067,5.09500,0.01736,3.08956,0.88856,0.08843,0.00000,0.00000,
0.068,5.09625,0.01798,2.69593,0.64076,0.09164,0.00000,0.00000,
0.069,5.09500,0.01882,2.50191,0.88533,0.09588,0.00000,0.00000,
0.070,5.09625,0.01882,2.34131,1.63615,0.09591,0.00000,0.00000,
0.071,5.09750,0.01840,1.14701,0.66277,0.09380,0.00000,0.00000,
0.072,5.09375,0.01777,1.97854,2.42854,0.09053,0.00000,0.00000,
0.073,5.09750,0.01903,0.64973,2.06903,0.09700,0.00000,0.00000,
0.074,5.09500,0.01840,2.97555,1.87338,0.09375,0.00000,0.00000,
0.075,5.09500,0.01777,1.49104,1.64022,0.09056,0.00000,0.00000,
0.076,5.09625,0.01777,1.83180,2.95680,0.09058,0.00000,0.00000,
0.077,5.09625,0.01798,2.36332,0.41495,0.09164,0.00000,0.00000,
0.078,5.09625,0.01715,2.36332,0.41495,0.08738,0.00000,0.00000,
0.079,5.09625,0.01861,1.32311,1.34675,0.09484,0.00000,0.00000,
0.080,5.09625,0.01798,3.07095,1.03289,0.09164,0.00000,0.00000,
0.081,5.09500,0.01840,1.92801,1.21224,0.09375,0.00000,0.00000,
0.082,5.09500,0.01945,1.45925,1.87176,0.09908,0.00000,0.00000,
0.083,5.09750,0.01777,1.90681,0.00734,0.09060,0.00000,0.00000,
0.084,5.09750,0.01903,0.88615,1.51469,0.09700,0.00000,0.00000,
0.085,5.09500,0.01903,2.99840,1.53018,0.09695,0.00000,0.00000,
0.086,5.09875,0.01924,2.09431,0.44430,0.09809,0.00000,0.00000,
0.087,5.09500,0.01798,1.63045,0.24538,0.09162,0.00000,0.00000,
0.088,5.09375,0.01945,0.96115,2.06497,0.09905,0.00000,0.00000,
0.089,5.09875,0.01882,0.96115,2.06497,0.09595,0.00000,0.00000,
0.090,5.09625,0.01798,0.79825,1.47583,0.09164,0.00000,0.00000,
0.091,5.09375,0.01903,2.16645,2.11345,0.09692,0.00000,0.00000,
0.092,5.09750,0.01736,2.25125,1.45952,0.08847,0.00000,0.00000,
0.093,5.09875,0.01819,3.07396,0.02446,0.09275,0.00000,0.00000,
0.094,5.09875,0.01819,1.16843,1.64298,0.09275,0.00000,0.00000,
0.095,5.09500,0.01840,2.08410,1.03390,0.09375,0.00000,0.00000,
0.096,5.09625,0.01652,3.07804,0.02609,0.08418,0.00000,0.00000,
0.097,5.09250,0.01756,1.90635,2.31567,0.08945,0.00000,0.00000,
0.098,5.09625,0.01882,0.82842,2.04170,0.09591,0.00000,0.00000,
0.099,5.09625,0.01819,1.75306,2.48853,0.09271,0.00000,0.00000,
0.100,5.09625,0.01882,1.75306,2.48853,0.09591,0.00000,0.00000,
0.101,5.09875,0.01777,2.15258,0.06115,0.09062,0.00000,0.00000,
0.102,5.10000,0.01715,2.52521,1.53290,0.08745,0.00000,0.00000,
0.103,5.10000,0.01715,1.63401,1.66662,0.08745,0.00000,0.00000,
0.104,5.09375,0.01861,1.58998,1.50844,0.09479,0.00000,0.00000,
0.105,5.09750,0.01840,3.09271,0.62702,0.09380,0.00000,0.00000,
0.106,5.09750,0.01777,1.68945,0.03995,0.09060,0.00000,0.00000,
0.107,5.09500,0.01903,1.26301,1.28666,0.09695,0.00000,0.00000,
0.108,5.09875,0.01819,1.69598,0.15329,0.09275,0.00000,0.00000,
0.109,5.09625,0.01945,2.44041,1.75224,0.09910,0.00000,0.00000,
0.110,5.09625,0.01903,2.22760,2.40617,0.09697,0.00000,0.00000,
0.111,5.09750,0.01798,2.22760,2.40617,0.09167,0.00000,0.00000,
0.112,5.09750,0.01903,1.64706,1.36576,0.09700,0.00000,0.00000,
0.113,5.09750,0.01903,1.10891,1.20839,0.09700,0.00000,0.00000,
0.114,5.09375,0.01966,0.79989,1.16925,0.10012,0.00000,0.00000,
0.115,5.09625,0.01840,1.77426,2.38742,0.09377,0.00000,0.00000,
0.116,5.09875,0.01903,0.44275,1.76366,0.09702,0.00000,0.00000,
0.117,5.09500,0.01903,3.05277,0.73302,0.09695,0.00000,0.00000,
0.118,5.09500,0.01798,1.93571,0.02283,0.09162,0.00000,0.00000,
