Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09500,0.03346,1.87707,1.60892,0.17046,0.00000,0.00000,
0.000,5.09375,0.03367,1.58854,1.07017,0.17148,0.00000,0.00000,
0.000,5.09500,0.03367,2.07268,0.52163,0.17152,0.00000,0.00000,
0.000,5.09500,0.03346,1.33098,1.23807,0.17046,0.00000,0.00000,
0.000,5.09250,0.03408,1.65700,0.88189,0.17357,0.00000,0.00000,
0.000,5.09250,0.03304,2.53808,1.13129,0.16824,0.00000,0.00000,
0.000,5.09375,0.03304,3.16241,0.21925,0.16829,0.00000,0.00000,
0.000,5.09750,0.03346,3.16241,0.21925,0.17054,0.00000,0.00000,
0.000,5.09375,0.03304,0.87374,1.53393,0.16829,0.00000,0.00000,
0.000,5.09750,0.03304,2.29193,0.10025,0.16841,0.00000,0.00000,
0.000,5.09500,0.03325,2.56253,1.15819,0.16939,0.00000,0.00000,
0.000,5.09625,0.03408,1.30898,0.96502,0.17370,0.00000,0.00000,
0.000,5.09500,0.03346,1.70346,1.73688,0.17046,0.00000,0.00000,
0.000,5.09500,0.03304,2.06046,1.71324,0.16833,0.00000,0.00000,
0.000,5.09500,0.03304,2.21858,0.50370,0.16833,0.00000,0.00000,
0.000,5.09500,0.03304,2.94235,1.07669,0.16833,0.00000,0.00000,
0.000,5.09500,0.03367,1.69694,1.72465,0.17152,0.00000,0.00000,
0.000,5.09500,0.03367,1.47199,1.57550,0.17152,0.00000,0.00000,
0.000,5.09250,0.03304,1.47199,1.57550,0.16824,0.00000,0.00000,
0.000,5.09500,0.03387,3.04503,0.63900,0.17259,0.00000,0.00000,
0.000,5.09625,0.03304,3.11513,0.07091,0.16837,0.00000,0.00000,
0.000,5.09500,0.03346,0.84032,1.63988,0.17046,0.00000,0.00000,
0.000,5.09125,0.03325,3.17055,0.01304,0.16927,0.00000,0.00000,
0.000,5.09125,0.03367,1.45161,0.05868,0.17140,0.00000,0.00000,
0.000,5.09250,0.03367,1.64885,0.01549,0.17144,0.00000,0.00000,
0.000,5.09500,0.03304,1.89500,0.76370,0.16833,0.00000,0.00000,
0.000,5.09500,0.03367,2.17945,1.49318,0.17152,0.00000,0.00000,
0.000,5.09500,0.03325,2.17945,1.49318,0.16939,0.00000,0.00000,
0.000,5.09500,0.03346,1.46465,0.04890,0.17046,0.00000,0.00000,
0.001,5.09625,0.03346,2.19982,1.40678,0.17050,0.00000,0.00000,
0.002,5.09500,0.03367,2.19982,1.40678,0.17152,0.00000,0.00000,
0.003,5.09250,0.03262,1.86647,0.01712,0.16612,0.00000,0.00000,
0.004,5.09250,0.03304,1.80208,1.47198,0.16824,0.00000,0.00000,
0.005,5.09750,0.03304,0.61862,2.76302,0.16841,0.00000,0.00000,
0.006,5.09500,0.03325,1.73443,1.47443,0.16939,0.00000,0.00000,
0.007,5.09250,0.03429,3.01977,0.75392,0.17463,0.00000,0.00000,
0.008,5.09250,0.03325,0.81261,2.00992,0.16931,0.00000,0.00000,
0.009,5.09375,0.03408,2.10365,0.16790,0.17361,0.00000,0.00000,
0.010,5.09375,0.03262,2.17537,1.52659,0.16616,0.00000,0.00000,
0.011,5.09500,0.03408,3.00265,0.19643,0.17365,0.00000,0.00000,
0.012,5.09500,0.03367,0.41731,2.87550,0.17152,0.00000,0.00000,
0.013,5.09500,0.03346,0.41731,2.87550,0.17046,0.00000,0.00000,
0.014,5.09500,0.03346,1.40430,2.07915,0.17046,0.00000,0.00000,
0.015,5.09250,0.03346,0.55667,1.61214,0.17037,0.00000,0.00000,
0.016,5.09250,0.03346,2.60485,2.75563,0.17037,0.00000,0.00000,
0.017,5.09500,0.03346,1.02694,2.96835,0.17046,0.00000,0.00000,
0.018,5.09500,0.03346,2.38479,1.16142,0.17046,0.00000,0.00000,
0.019,5.09500,0.03325,2.97895,0.91691,0.16939,0.00000,0.00000,
0.020,5.09500,0.03325,1.40104,0.02201,0.16939,0.00000,0.00000,
0.021,5.09250,0.03346,1.52900,0.69930,0.17037,0.00000,0.00000,
