Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09375,0.03262,3.21749,0.23966,0.16616,0.00000,0.00000,
0.000,5.09375,0.03325,2.65095,1.61812,0.16935,0.00000,0.00000,
0.000,5.09250,0.03346,3.10337,0.01304,0.17037,0.00000,0.00000,
0.000,5.09375,0.03283,1.93359,1.24232,0.16722,0.00000,0.00000,
0.000,5.09375,0.03346,2.55475,1.43389,0.17042,0.00000,0.00000,
0.000,5.09250,0.03346,2.55475,1.43389,0.17037,0.00000,0.00000,
0.000,5.09250,0.03220,1.95232,1.05727,0.16399,0.00000,0.00000,
0.000,5.09375,0.03346,1.83005,0.07418,0.17042,0.00000,0.00000,
0.000,5.09375,0.03325,3.08785,0.42307,0.16935,0.00000,0.00000,
0.000,5.09500,0.03325,1.86265,0.02772,0.16939,0.00000,0.00000,
0.000,5.09500,0.03346,1.37437,0.04646,0.17046,0.00000,0.00000,
0.001,5.09500,0.03346,1.28959,0.01793,0.17046,0.00000,0.00000,
0.002,5.09500,0.03262,2.54413,1.18525,0.16620,0.00000,0.00000,
0.003,5.09250,0.03346,2.37539,1.46241,0.17037,0.00000,0.00000,
0.004,5.09250,0.03346,3.18485,0.17689,0.17037,0.00000,0.00000,
0.005,5.09125,0.03325,1.73875,0.85185,0.16927,0.00000,0.00000,
0.006,5.09250,0.03346,1.73875,0.85185,0.17037,0.00000,0.00000,
0.007,5.09375,0.03304,2.70549,1.59933,0.16829,0.00000,0.00000,
0.008,5.09250,0.03283,3.11959,0.13368,0.16718,0.00000,0.00000,
0.009,5.09125,0.03346,1.37598,1.60340,0.17033,0.00000,0.00000,
0.010,5.09250,0.03450,2.23189,0.08641,0.17570,0.00000,0.00000,
0.011,5.09625,0.03262,0.75402,1.70774,0.16624,0.00000,0.00000,
0.012,5.09250,0.03346,1.53412,0.99775,0.17037,0.00000,0.00000,
0.013,5.09250,0.03325,2.05092,1.57895,0.16931,0.00000,0.00000,
0.014,5.09375,0.03325,3.11551,0.14021,0.16935,0.00000,0.00000,
0.015,5.09375,0.03387,3.11307,0.06521,0.17255,0.00000,0.00000,
