Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09500,0.02321,0.44591,0.05217,0.11826,0.00000,0.00000,
0.000,5.09625,0.02342,1.67849,0.92362,0.11935,0.00000,0.00000,
0.000,5.09500,0.02237,2.62657,0.16549,0.11399,0.00000,0.00000,
0.000,5.09500,0.02216,3.11243,0.95378,0.11293,0.00000,0.00000,
0.000,5.09750,0.02279,0.58287,1.95403,0.11618,0.00000,0.00000,
0.000,5.09500,0.02279,2.37793,1.00106,0.11612,0.00000,0.00000,
0.000,5.09500,0.02237,3.09286,1.02715,0.11399,0.00000,0.00000,
0.000,5.09500,0.02279,2.02903,0.03261,0.11612,0.00000,0.00000,
0.000,5.09500,0.02279,1.94017,1.94506,0.11612,0.00000,0.00000,
0.000,5.09750,0.02258,1.94017,1.94506,0.11512,0.00000,0.00000,
0.000,5.09750,0.02300,1.68904,2.57677,0.11725,0.00000,0.00000,
0.000,5.09500,0.02321,2.93789,1.63606,0.11826,0.00000,0.00000,
0.000,5.09500,0.02258,3.16369,0.18586,0.11506,0.00000,0.00000,
0.000,5.09750,0.02279,3.05853,0.74670,0.11618,0.00000,0.00000,
0.000,5.09750,0.02342,0.56573,0.67823,0.11938,0.00000,0.00000,
0.000,5.09375,0.02237,3.18326,0.13287,0.11397,0.00000,0.00000,
0.000,5.09375,0.02300,3.11641,1.37112,0.11716,0.00000,0.00000,
0.000,5.09625,0.02300,3.03000,1.19994,0.11722,0.00000,0.00000,
0.000,5.09875,0.02279,1.14287,2.18630,0.11621,0.00000,0.00000,
0.001,5.09500,0.02300,3.12538,2.71127,0.11719,0.00000,0.00000,
0.002,5.09500,0.02258,3.12538,2.71127,0.11506,0.00000,0.00000,
0.003,5.09500,0.02237,1.76159,0.46057,0.11399,0.00000,0.00000,
0.004,5.09625,0.02258,0.57225,1.53824,0.11509,0.00000,0.00000,
0.005,5.09750,0.02300,1.88142,0.57551,0.11725,0.00000,0.00000,
0.006,5.09750,0.02321,2.82540,0.27145,0.11831,0.00000,0.00000,
0.007,5.09625,0.02279,3.09278,0.02527,0.11615,0.00000,0.00000,
0.008,5.09625,0.02279,1.85778,3.27374,0.11615,0.00000,0.00000,
0.009,5.09625,0.02258,2.07381,0.08641,0.11509,0.00000,0.00000,
0.010,5.10000,0.02279,1.63769,0.02772,0.11624,0.00000,0.00000,
0.011,5.09750,0.02384,2.08522,0.09782,0.12151,0.00000,0.00000,
0.012,5.09625,0.02279,1.14288,0.21602,0.11615,0.00000,0.00000,
0.013,5.09750,0.02237,1.14288,0.21602,0.11405,0.00000,0.00000,
0.014,5.09500,0.02342,1.60427,1.73226,0.11932,0.00000,0.00000,
0.015,5.09625,0.02258,2.41130,2.33712,0.11509,0.00000,0.00000,
0.016,5.09625,0.02300,3.12051,2.38358,0.11722,0.00000,0.00000,
0.017,5.09750,0.02300,1.47792,0.43368,0.11725,0.00000,0.00000,
0.018,5.09500,0.02321,0.17608,2.62814,0.11826,0.00000,0.00000,
0.019,5.09625,0.02279,2.18550,1.96295,0.11615,0.00000,0.00000,
0.020,5.09500,0.02258,2.20261,0.63258,0.11506,0.00000,0.00000,
0.021,5.09500,0.02237,0.52090,0.17282,0.11399,0.00000,0.00000,
0.022,5.09500,0.02321,0.58530,0.03994,0.11826,0.00000,0.00000,
0.023,5.09750,0.02321,3.09360,0.01956,0.11831,0.00000,0.00000,
0.024,5.09375,0.02237,3.09360,0.01956,0.11397,0.00000,0.00000,
0.025,5.09250,0.02237,2.87761,0.95621,0.11394,0.00000,0.00000,
0.026,5.09250,0.02237,1.09561,0.15244,0.11394,0.00000,0.00000,
0.027,5.09875,0.02279,1.00920,0.04402,0.11621,0.00000,0.00000,
0.028,5.09750,0.02321,1.69151,1.57820,0.11831,0.00000,0.00000,
0.029,5.10000,0.02258,3.11075,0.52824,0.11517,0.00000,0.00000,
0.030,5.09625,0.02237,1.27984,1.18528,0.11402,0.00000,0.00000,
0.031,5.09500,0.02216,2.40317,0.53639,0.11293,0.00000,0.00000,
0.032,5.09875,0.02258,1.49098,1.47875,0.11514,0.00000,0.00000,
0.033,5.09625,0.02321,1.99313,1.56353,0.11828,0.00000,0.00000,
0.034,5.09500,0.02342,1.90346,3.01782,0.11932,0.00000,0.00000,
0.035,5.09500,0.02363,1.90346,3.01782,0.12039,0.00000,0.00000,
0.036,5.10000,0.02363,2.31023,0.56085,0.12050,0.00000,0.00000,
0.037,5.09875,0.02258,1.85944,1.89449,0.11514,0.00000,0.00000,
0.038,5.09500,0.02237,1.38826,2.43251,0.11399,0.00000,0.00000,
0.039,5.09750,0.02279,3.08955,0.02119,0.11618,0.00000,0.00000,
0.040,5.09625,0.02300,2.17980,1.70048,0.11722,0.00000,0.00000,
0.041,5.09750,0.02237,2.17491,0.39944,0.11405,0.00000,0.00000,
0.042,5.09500,0.02279,1.34669,1.52684,0.11612,0.00000,0.00000,
0.043,5.09750,0.02300,3.08955,0.82008,0.11725,0.00000,0.00000,
0.044,5.09750,0.02279,0.72388,1.52684,0.11618,0.00000,0.00000,
0.045,5.09500,0.02321,1.70129,1.62629,0.11826,0.00000,0.00000,
0.046,5.09500,0.02321,1.70129,1.62629,0.11826,0.00000,0.00000,
0.047,5.09500,0.02300,1.23826,2.20100,0.11719,0.00000,0.00000,
0.048,5.09625,0.02237,2.72842,1.42087,0.11402,0.00000,0.00000,
0.049,5.09375,0.02279,2.09339,0.08967,0.11610,0.00000,0.00000,
0.050,5.09750,0.02300,2.15942,0.66601,0.11725,0.00000,0.00000,
0.051,5.09750,0.02279,2.78711,1.25620,0.11618,0.00000,0.00000,
0.052,5.09750,0.02237,2.22545,1.23500,0.11405,0.00000,0.00000,
0.053,5.09750,0.02300,1.83498,1.49831,0.11725,0.00000,0.00000,
0.054,5.09625,0.02300,1.29777,0.24863,0.11722,0.00000,0.00000,
0.055,5.09625,0.02237,3.09281,0.01712,0.11402,0.00000,0.00000,
0.056,5.09625,0.02279,1.77547,0.02038,0.11615,0.00000,0.00000,
0.057,5.09750,0.02279,1.77547,0.02038,0.11618,0.00000,0.00000,
0.058,5.09750,0.02321,3.10011,1.73958,0.11831,0.00000,0.00000,
0.059,5.09750,0.02342,2.52133,1.05076,0.11938,0.00000,0.00000,
0.060,5.09750,0.02279,2.09337,3.20771,0.11618,0.00000,0.00000,
0.061,5.09375,0.02342,2.68355,2.80420,0.11929,0.00000,0.00000,
0.062,5.09375,0.02279,1.64258,1.42492,0.11610,0.00000,0.00000,
0.063,5.09625,0.02279,2.05668,1.44449,0.11615,0.00000,0.00000,
0.064,5.09375,0.02300,2.66073,2.55965,0.11716,0.00000,0.00000,
0.065,5.09500,0.02321,1.72002,1.10456,0.11826,0.00000,0.00000,
0.066,5.09500,0.02279,2.00696,1.17874,0.11612,0.00000,0.00000,
0.067,5.09625,0.02321,1.95234,0.55187,0.11828,0.00000,0.00000,
