Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09125,0.03325,2.05243,0.56242,0.16927,0.00000,0.00000,
0.000,5.09250,0.03262,2.39721,0.23801,0.16612,0.00000,0.00000,
0.000,5.09250,0.03241,0.50699,0.40429,0.16505,0.00000,0.00000,
0.000,5.09250,0.03241,2.03286,0.14509,0.16505,0.00000,0.00000,
0.000,5.09375,0.03262,3.29872,1.08653,0.16616,0.00000,0.00000,
0.000,5.09375,0.03346,0.84689,1.15907,0.17042,0.00000,0.00000,
0.000,5.09625,0.03262,0.84689,1.15907,0.16624,0.00000,0.00000,
0.000,5.09625,0.03304,3.12021,2.34424,0.16837,0.00000,0.00000,
0.000,5.09500,0.03283,1.39138,1.17456,0.16726,0.00000,0.00000,
0.000,5.09500,0.03283,2.15921,1.88126,0.16726,0.00000,0.00000,
0.000,5.09500,0.03283,1.62858,1.41094,0.16726,0.00000,0.00000,
0.000,5.09500,0.03283,0.38473,0.62029,0.16726,0.00000,0.00000,
0.000,5.09500,0.03283,1.74840,0.94063,0.16726,0.00000,0.00000,
0.000,5.09375,0.03283,2.97105,1.39546,0.16722,0.00000,0.00000,
0.000,5.09375,0.03304,1.46800,1.35063,0.16829,0.00000,0.00000,
0.000,5.09500,0.03304,1.79404,2.05813,0.16833,0.00000,0.00000,
0.000,5.09375,0.03262,2.02635,0.05461,0.16616,0.00000,0.00000,
0.000,5.09125,0.03283,2.02635,0.05461,0.16714,0.00000,0.00000,
0.000,5.09500,0.03346,1.10204,2.89530,0.17046,0.00000,0.00000,
0.000,5.09375,0.03283,2.52442,0.85913,0.16722,0.00000,0.00000,
0.000,5.09375,0.03262,1.31641,1.18029,0.16616,0.00000,0.00000,
0.000,5.09625,0.03262,2.12012,0.11167,0.16624,0.00000,0.00000,
0.000,5.09375,0.03283,0.93983,2.29130,0.16722,0.00000,0.00000,
0.001,5.09500,0.03283,2.44617,2.39889,0.16726,0.00000,0.00000,
0.002,5.09250,0.03304,2.03127,2.01334,0.16824,0.00000,0.00000,
0.003,5.09625,0.03262,1.96280,0.49885,0.16624,0.00000,0.00000,
0.004,5.09500,0.03304,2.90182,1.39874,0.16833,0.00000,0.00000,
0.005,5.09500,0.03262,0.45076,1.26588,0.16620,0.00000,0.00000,
0.006,5.09250,0.03367,0.45076,1.26588,0.17144,0.00000,0.00000,
0.007,5.09250,0.03262,0.57384,2.86024,0.16612,0.00000,0.00000,
0.008,5.09375,0.03262,2.12908,1.13383,0.16616,0.00000,0.00000,
0.009,5.09375,0.03304,2.53583,1.22757,0.16829,0.00000,0.00000,
0.010,5.09500,0.03304,3.08766,1.52590,0.16833,0.00000,0.00000,
0.011,5.09375,0.03304,1.75087,1.82179,0.16829,0.00000,0.00000,
0.012,5.09250,0.03262,1.08655,0.01549,0.16612,0.00000,0.00000,
0.013,5.09375,0.03283,3.10070,0.23964,0.16722,0.00000,0.00000,
0.014,5.09500,0.03304,2.22038,2.38340,0.16833,0.00000,0.00000,
0.015,5.09250,0.03304,2.38014,1.32864,0.16824,0.00000,0.00000,
0.016,5.09250,0.03304,1.48025,1.05802,0.16824,0.00000,0.00000,
0.017,5.09500,0.03304,1.48025,1.05802,0.16833,0.00000,0.00000,
0.018,5.09250,0.03178,0.60563,1.13546,0.16186,0.00000,0.00000,
0.019,5.09750,0.02865,3.10072,0.51190,0.14603,0.00000,0.00000,
0.020,5.09500,0.02906,0.68389,3.04937,0.14809,0.00000,0.00000,
0.021,5.09500,0.02823,2.62306,0.93168,0.14382,0.00000,0.00000,
0.022,5.09500,0.02865,1.04661,1.86336,0.14595,0.00000,0.00000,
0.023,5.09500,0.02802,0.88278,3.05344,0.14276,0.00000,0.00000,
0.024,5.09625,0.02739,2.68338,0.82327,0.13960,0.00000,0.00000,
0.025,5.09625,0.02697,1.83565,0.11575,0.13747,0.00000,0.00000,
0.026,5.09375,0.02697,1.38897,0.02608,0.13740,0.00000,0.00000,
0.027,5.09500,0.02656,1.87478,0.55265,0.13530,0.00000,0.00000,
0.028,5.09375,0.02697,1.87478,0.55265,0.13740,0.00000,0.00000,
0.029,5.09125,0.02697,3.11783,1.07351,0.13733,0.00000,0.00000,
0.030,5.09375,0.02718,1.98808,1.80141,0.13846,0.00000,0.00000,
0.031,5.09500,0.02739,3.10560,0.94146,0.13956,0.00000,0.00000,
0.032,5.09625,0.02718,1.89678,0.16628,0.13853,0.00000,0.00000,
0.033,5.09375,0.02697,2.64506,1.81446,0.13740,0.00000,0.00000,
0.034,5.09375,0.02697,0.44750,1.22838,0.13740,0.00000,0.00000,
0.035,5.09625,0.02697,1.29685,0.90397,0.13747,0.00000,0.00000,
0.036,5.09750,0.02739,2.05084,2.97437,0.13963,0.00000,0.00000,
0.037,5.09375,0.02718,3.18956,0.03179,0.13846,0.00000,0.00000,
0.038,5.09500,0.02697,3.09827,0.08559,0.13743,0.00000,0.00000,
0.039,5.09375,0.02781,3.09827,0.08559,0.14166,0.00000,0.00000,
0.040,5.09500,0.02676,1.65388,0.53961,0.13637,0.00000,0.00000,
0.041,5.09500,0.02739,1.65388,0.53961,0.13956,0.00000,0.00000,
0.042,5.09500,0.02781,0.89337,2.64262,0.14169,0.00000,0.00000,
0.043,5.09625,0.02739,2.24729,1.03194,0.13960,0.00000,0.00000,
0.044,5.09625,0.02739,2.35244,2.59697,0.13960,0.00000,0.00000,
0.045,5.09500,0.02614,3.20750,0.02527,0.13317,0.00000,0.00000,
0.046,5.09625,0.02739,2.48367,1.11019,0.13960,0.00000,0.00000,
0.047,5.09500,0.02697,3.06811,2.06877,0.13743,0.00000,0.00000,
0.048,5.09375,0.02739,1.75088,0.24291,0.13953,0.00000,0.00000,
0.049,5.09500,0.02739,1.67589,1.94569,0.13956,0.00000,0.00000,
0.050,5.09250,0.02865,3.20913,3.00127,0.14588,0.00000,0.00000,
0.051,5.09250,0.02718,3.20913,3.00127,0.13843,0.00000,0.00000,
0.052,5.09375,0.02760,1.63593,3.10966,0.14059,0.00000,0.00000,
0.053,5.09375,0.02760,3.09906,0.09048,0.14059,0.00000,0.00000,
0.054,5.09500,0.02739,2.08424,1.38569,0.13956,0.00000,0.00000,
0.055,5.09625,0.02802,0.76621,3.20910,0.14279,0.00000,0.00000,
0.056,5.09500,0.02760,0.33909,1.65876,0.14063,0.00000,0.00000,
0.057,5.09500,0.02823,0.44994,0.57139,0.14382,0.00000,0.00000,
0.058,5.09625,0.02802,3.09825,0.08477,0.14279,0.00000,0.00000,
0.059,5.09500,0.02760,1.01563,2.71107,0.14063,0.00000,0.00000,
0.060,5.09375,0.02718,0.69611,3.27268,0.13846,0.00000,0.00000,
0.061,5.09500,0.02697,0.16465,2.28884,0.13743,0.00000,0.00000,
0.062,5.09500,0.02697,0.16465,2.28884,0.13743,0.00000,0.00000,
0.063,5.09375,0.02739,3.10145,0.23719,0.13953,0.00000,0.00000,
0.064,5.09625,0.02739,2.58794,0.01875,0.13960,0.00000,0.00000,
0.065,5.09625,0.02781,3.05580,0.01630,0.14173,0.00000,0.00000,
0.066,5.09500,0.02718,1.77773,1.31883,0.13850,0.00000,0.00000,
