Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09625,0.02426,1.69841,1.54845,0.12361,0.00000,0.00000,
0.000,5.09500,0.02384,0.67235,0.93722,0.12145,0.00000,0.00000,
0.000,5.09500,0.02384,2.45796,1.63402,0.12145,0.00000,0.00000,
0.000,5.09375,0.02384,2.06270,2.31942,0.12142,0.00000,0.00000,
0.000,5.09875,0.02426,3.14010,0.00978,0.12367,0.00000,0.00000,
0.000,5.09625,0.02405,2.48323,2.46041,0.12255,0.00000,0.00000,
0.000,5.09625,0.02446,1.47021,1.52482,0.12468,0.00000,0.00000,
0.000,5.09500,0.02446,2.35283,0.10106,0.12465,0.00000,0.00000,
0.000,5.09500,0.02384,2.35283,0.10106,0.12145,0.00000,0.00000,
0.000,5.09875,0.02405,1.25669,1.29988,0.12261,0.00000,0.00000,
0.001,5.09375,0.02342,2.76602,1.48162,0.11929,0.00000,0.00000,
0.002,5.09625,0.02405,0.69517,1.04398,0.12255,0.00000,0.00000,
0.003,5.09625,0.02363,0.69517,1.04398,0.12042,0.00000,0.00000,
0.004,5.09750,0.02405,1.41724,1.35204,0.12258,0.00000,0.00000,
0.005,5.09625,0.02405,2.21428,2.10834,0.12255,0.00000,0.00000,
0.006,5.09625,0.02405,3.04229,0.62671,0.12255,0.00000,0.00000,
0.007,5.09500,0.02405,1.14830,1.46451,0.12252,0.00000,0.00000,
0.008,5.09625,0.02426,1.66092,2.00728,0.12361,0.00000,0.00000,
0.009,5.09500,0.02342,2.44166,1.65032,0.11932,0.00000,0.00000,
0.010,5.09375,0.02426,1.96898,1.58838,0.12355,0.00000,0.00000,
0.011,5.09500,0.02384,1.06517,1.03013,0.12145,0.00000,0.00000,
0.012,5.09375,0.02384,1.81658,0.01548,0.12142,0.00000,0.00000,
0.013,5.09500,0.02405,2.93064,0.83046,0.12252,0.00000,0.00000,
0.014,5.09625,0.02363,2.93064,0.83046,0.12042,0.00000,0.00000,
0.015,5.09625,0.02426,1.98927,2.02513,0.12361,0.00000,0.00000,
0.016,5.09750,0.02426,1.62499,2.18241,0.12364,0.00000,0.00000,
0.017,5.09250,0.02384,2.05691,0.02934,0.12139,0.00000,0.00000,
0.018,5.09500,0.02363,0.84591,1.03253,0.12039,0.00000,0.00000,
0.019,5.09500,0.02446,2.17100,1.07002,0.12465,0.00000,0.00000,
0.020,5.09625,0.02384,1.60054,0.04727,0.12148,0.00000,0.00000,
0.021,5.09500,0.02363,1.23138,1.06757,0.12039,0.00000,0.00000,
0.022,5.09750,0.02405,2.45949,1.43918,0.12258,0.00000,0.00000,
0.023,5.09500,0.02342,1.73012,0.11165,0.11932,0.00000,0.00000,
0.024,5.09500,0.02405,1.83036,0.01304,0.12252,0.00000,0.00000,
0.025,5.09750,0.02405,1.83036,0.01304,0.12258,0.00000,0.00000,
0.026,5.09500,0.02426,2.91974,1.22396,0.12358,0.00000,0.00000,
0.027,5.09750,0.02426,3.19354,0.15809,0.12364,0.00000,0.00000,
0.028,5.09625,0.02405,3.03953,1.55480,0.12255,0.00000,0.00000,
0.029,5.09500,0.02342,1.42687,0.02445,0.11932,0.00000,0.00000,
0.030,5.09500,0.02363,1.52873,0.02282,0.12039,0.00000,0.00000,
0.031,5.09250,0.02384,2.68831,2.06574,0.12139,0.00000,0.00000,
0.032,5.09500,0.02405,0.56553,2.26946,0.12252,0.00000,0.00000,
0.033,5.09500,0.02384,1.29730,0.01548,0.12145,0.00000,0.00000,
0.034,5.09500,0.02384,3.15606,0.31455,0.12145,0.00000,0.00000,
0.035,5.09375,0.02342,1.82779,0.01874,0.11929,0.00000,0.00000,
0.036,5.09250,0.02342,1.82779,0.01874,0.11926,0.00000,0.00000,
0.037,5.09875,0.02363,1.33372,0.92717,0.12047,0.00000,0.00000,
0.038,5.09875,0.02405,0.43670,1.86330,0.12261,0.00000,0.00000,
0.039,5.09875,0.02446,0.56054,2.15823,0.12474,0.00000,0.00000,
0.040,5.09625,0.02363,1.78834,1.27180,0.12042,0.00000,0.00000,
0.041,5.09875,0.02363,1.64169,1.14552,0.12047,0.00000,0.00000,
0.042,5.09875,0.02467,2.84261,1.51541,0.12581,0.00000,0.00000,
0.043,5.09625,0.02467,1.31743,0.87828,0.12574,0.00000,0.00000,
0.044,5.10000,0.02405,3.10169,0.03340,0.12264,0.00000,0.00000,
0.045,5.09375,0.02405,1.05345,1.64251,0.12249,0.00000,0.00000,
0.046,5.09125,0.02405,1.57977,1.06486,0.12243,0.00000,0.00000,
0.047,5.09875,0.02363,1.57977,1.06486,0.12047,0.00000,0.00000,
0.048,5.09625,0.02405,2.76848,2.55828,0.12255,0.00000,0.00000,
0.049,5.09625,0.02384,3.12452,0.35441,0.12148,0.00000,0.00000,
0.050,5.09625,0.02405,1.70688,1.62052,0.12255,0.00000,0.00000,
0.051,5.09625,0.02467,1.93093,0.80252,0.12574,0.00000,0.00000,
0.052,5.09500,0.02467,2.77011,1.50401,0.12571,0.00000,0.00000,
0.053,5.09250,0.02405,2.76196,1.80709,0.12246,0.00000,0.00000,
0.054,5.09500,0.02405,1.24248,2.62183,0.12252,0.00000,0.00000,
0.055,5.09625,0.02363,1.31906,1.45024,0.12042,0.00000,0.00000,
0.056,5.09500,0.02426,1.83561,2.47273,0.12358,0.00000,0.00000,
0.057,5.09625,0.02363,1.70199,0.52877,0.12042,0.00000,0.00000,
0.058,5.09375,0.02426,1.70199,0.52877,0.12355,0.00000,0.00000,
0.059,5.09500,0.02405,1.27425,1.26936,0.12252,0.00000,0.00000,
0.060,5.09750,0.02342,3.12289,0.21509,0.11938,0.00000,0.00000,
0.061,5.09750,0.02342,1.08849,1.57244,0.11938,0.00000,0.00000,
