Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.10375,0.00523,3.10465,0.77107,0.02668,0.00000,0.00000,
0.000,5.10000,0.00544,2.75987,1.14927,0.02773,0.00000,0.00000,
0.000,5.10250,0.00544,1.88284,0.00897,0.02774,0.00000,0.00000,
0.000,5.10250,0.00544,3.10791,0.06521,0.02774,0.00000,0.00000,
0.000,5.10000,0.00544,1.86572,1.61305,0.02773,0.00000,0.00000,
0.000,5.09750,0.00544,2.39879,1.87958,0.02771,0.00000,0.00000,
0.000,5.09750,0.00502,1.42395,0.02282,0.02558,0.00000,0.00000,
0.000,5.09875,0.00585,1.42395,0.02282,0.02985,0.00000,0.00000,
0.000,5.09875,0.00585,1.52665,1.49731,0.02985,0.00000,0.00000,
0.000,5.09750,0.00565,2.61235,1.46552,0.02878,0.00000,0.00000,
0.000,5.09875,0.00585,2.98729,0.15079,0.02985,0.00000,0.00000,
0.000,5.09750,0.00481,3.08510,1.17698,0.02452,0.00000,0.00000,
0.000,5.09750,0.00523,3.11770,0.01386,0.02665,0.00000,0.00000,
0.000,5.09875,0.00523,1.93990,1.80867,0.02665,0.00000,0.00000,
0.000,5.10125,0.00606,0.77107,1.58616,0.03093,0.00000,0.00000,
0.000,5.09625,0.00523,2.94246,0.90148,0.02664,0.00000,0.00000,
0.000,5.10000,0.00502,2.71831,1.32859,0.02559,0.00000,0.00000,
0.000,5.09875,0.00502,2.41836,1.45737,0.02559,0.00000,0.00000,
0.000,5.10000,0.00523,2.41836,1.45737,0.02666,0.00000,0.00000,
0.000,5.10125,0.00565,1.36935,1.07021,0.02880,0.00000,0.00000,
0.000,5.09875,0.00544,3.11363,0.11900,0.02772,0.00000,0.00000,
0.000,5.09875,0.00544,1.53318,1.64892,0.02772,0.00000,0.00000,
0.000,5.09875,0.00544,1.42722,0.00978,0.02772,0.00000,0.00000,
0.000,5.09875,0.00565,1.72391,1.83394,0.02879,0.00000,0.00000,
0.001,5.10000,0.00523,1.01234,1.20633,0.02666,0.00000,0.00000,
0.002,5.10125,0.00565,2.79004,0.91127,0.02880,0.00000,0.00000,
0.003,5.09750,0.00565,2.52758,1.44841,0.02878,0.00000,0.00000,
0.004,5.09875,0.00523,1.71331,1.85514,0.02665,0.00000,0.00000,
0.005,5.09875,0.00502,2.34745,0.07825,0.02559,0.00000,0.00000,
0.006,5.09750,0.00565,2.34745,0.07825,0.02878,0.00000,0.00000,
0.007,5.09750,0.00565,2.06873,0.89987,0.02878,0.00000,0.00000,
0.008,5.09750,0.00565,2.51948,1.17375,0.02878,0.00000,0.00000,
0.009,5.09875,0.00585,2.33934,2.62952,0.02985,0.00000,0.00000,
0.010,5.10000,0.00544,2.46079,2.75668,0.02773,0.00000,0.00000,
0.011,5.10250,0.00585,1.81442,1.65384,0.02987,0.00000,0.00000,
0.012,5.09750,0.00565,3.11287,0.07825,0.02878,0.00000,0.00000,
0.013,5.10000,0.00481,3.00365,0.56731,0.02453,0.00000,0.00000,
0.014,5.10000,0.00523,1.19983,1.58700,0.02666,0.00000,0.00000,
0.015,5.09875,0.00544,2.14535,0.02527,0.02772,0.00000,0.00000,
