Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.10000,0.00502,2.14017,1.48736,0.02559,0.00000,0.00000,
0.000,5.09875,0.00544,3.11083,0.08639,0.02772,0.00000,0.00000,
0.000,5.10000,0.00565,3.08882,0.01630,0.02879,0.00000,0.00000,
0.000,5.09750,0.00544,3.11572,0.62591,0.02771,0.00000,0.00000,
0.000,5.09750,0.00523,3.11572,0.62591,0.02665,0.00000,0.00000,
0.000,5.10000,0.00523,2.50529,1.11573,0.02666,0.00000,0.00000,
0.000,5.10375,0.00565,0.46699,1.80195,0.02881,0.00000,0.00000,
0.000,5.10000,0.00585,2.59087,2.91360,0.02986,0.00000,0.00000,
0.000,5.09875,0.00565,2.59087,2.91360,0.02879,0.00000,0.00000,
0.000,5.10000,0.00523,2.02770,1.95028,0.02666,0.00000,0.00000,
0.000,5.09875,0.00544,3.11817,0.15077,0.02772,0.00000,0.00000,
0.000,5.09875,0.00544,1.41890,1.14181,0.02772,0.00000,0.00000,
0.000,5.09875,0.00585,2.72860,0.01711,0.02985,0.00000,0.00000,
0.000,5.09875,0.00523,3.10757,0.05053,0.02665,0.00000,0.00000,
0.000,5.09875,0.00523,1.59331,1.44009,0.02665,0.00000,0.00000,
0.000,5.10125,0.00585,1.55990,0.00815,0.02987,0.00000,0.00000,
0.000,5.10000,0.00544,1.55990,0.00815,0.02773,0.00000,0.00000,
0.000,5.09750,0.00544,3.01709,0.55664,0.02771,0.00000,0.00000,
0.000,5.10250,0.00523,2.50283,1.83291,0.02667,0.00000,0.00000,
0.000,5.10000,0.00523,1.20293,1.20374,0.02666,0.00000,0.00000,
0.000,5.10125,0.00523,1.50936,0.01304,0.02667,0.00000,0.00000,
0.000,5.10000,0.00502,2.09534,0.75468,0.02559,0.00000,0.00000,
0.000,5.10000,0.00523,0.87693,0.01711,0.02666,0.00000,0.00000,
0.001,5.09875,0.00523,2.87202,0.99510,0.02665,0.00000,0.00000,
0.002,5.10000,0.00606,1.79787,1.09290,0.03093,0.00000,0.00000,
0.003,5.09750,0.00544,2.20292,2.03829,0.02771,0.00000,0.00000,
0.004,5.09875,0.00481,2.19151,1.30398,0.02452,0.00000,0.00000,
0.005,5.10000,0.00523,2.19151,1.30398,0.02666,0.00000,0.00000,
0.006,5.09875,0.00585,3.10017,0.02119,0.02985,0.00000,0.00000,
0.007,5.09625,0.00523,2.23548,0.00978,0.02664,0.00000,0.00000,
0.008,5.09875,0.00544,3.11728,0.72451,0.02772,0.00000,0.00000,
0.009,5.09875,0.00544,1.82066,1.23876,0.02772,0.00000,0.00000,
0.010,5.10000,0.00544,0.15811,0.01793,0.02773,0.00000,0.00000,
0.011,5.10000,0.00523,3.10424,0.03097,0.02666,0.00000,0.00000,
0.012,5.10125,0.00544,1.97876,1.31945,0.02773,0.00000,0.00000,
0.013,5.09750,0.00523,1.02279,1.86629,0.02665,0.00000,0.00000,
0.014,5.09875,0.00585,3.10995,0.61694,0.02985,0.00000,0.00000,
0.016,5.10125,0.00544,2.93147,0.88262,0.02773,0.00000,0.00000,
0.016,5.09875,0.00523,2.93147,0.88262,0.02665,0.00000,0.00000,
0.017,5.10125,0.00544,2.54504,1.68773,0.02773,0.00000,0.00000,
0.018,5.10125,0.00523,2.67787,1.71870,0.02667,0.00000,0.00000,
0.019,5.09750,0.00523,3.07149,0.36265,0.02665,0.00000,0.00000,
0.020,5.09875,0.00544,1.43021,0.04645,0.02772,0.00000,0.00000,
0.021,5.10000,0.00523,0.68291,1.78634,0.02666,0.00000,0.00000,
0.022,5.10125,0.00481,2.79522,2.65750,0.02453,0.00000,0.00000,
0.023,5.09875,0.00523,3.07964,1.31693,0.02665,0.00000,0.00000,
0.024,5.09875,0.00585,1.55571,1.89554,0.02985,0.00000,0.00000,
0.025,5.10000,0.00523,3.11549,0.13935,0.02666,0.00000,0.00000,
0.026,5.09875,0.00565,3.10082,0.02934,0.02879,0.00000,0.00000,
0.027,5.09875,0.00585,3.10082,0.02934,0.02985,0.00000,0.00000,
0.028,5.10000,0.00585,1.25577,1.84739,0.02986,0.00000,0.00000,
0.029,5.10000,0.00565,3.09909,0.02363,0.02879,0.00000,0.00000,
0.030,5.09875,0.00523,3.08931,0.01956,0.02665,0.00000,0.00000,
0.031,5.09750,0.00523,2.02341,0.01548,0.02665,0.00000,0.00000,
0.032,5.09875,0.00544,2.15461,1.46439,0.02772,0.00000,0.00000,
0.033,5.09875,0.00544,1.47009,0.85647,0.02772,0.00000,0.00000,
0.034,5.10125,0.00502,1.90444,1.97370,0.02560,0.00000,0.00000,
0.035,5.10125,0.00585,3.10479,0.05215,0.02987,0.00000,0.00000,
0.036,5.10125,0.00585,2.79758,2.80735,0.02987,0.00000,0.00000,
0.037,5.10125,0.00585,1.96148,0.01711,0.02987,0.00000,0.00000,
0.038,5.10125,0.00523,1.96148,0.01711,0.02667,0.00000,0.00000,
0.039,5.10125,0.00585,1.32911,1.48476,0.02987,0.00000,0.00000,
0.040,5.10000,0.00544,3.08687,0.01467,0.02773,0.00000,0.00000,
0.041,5.10000,0.00565,2.54577,1.17102,0.02879,0.00000,0.00000,
0.042,5.09875,0.00565,1.38045,1.27614,0.02879,0.00000,0.00000,
0.043,5.09875,0.00481,0.95018,1.99734,0.02452,0.00000,0.00000,
0.044,5.09875,0.00502,3.09909,0.01304,0.02559,0.00000,0.00000,
0.045,5.09875,0.00523,3.10154,0.04238,0.02665,0.00000,0.00000,
0.046,5.09875,0.00523,2.50258,2.86766,0.02665,0.00000,0.00000,
0.047,5.10125,0.00523,2.36649,2.57266,0.02667,0.00000,0.00000,
0.048,5.10000,0.00585,0.72364,0.94040,0.02986,0.00000,0.00000,
0.049,5.09875,0.00565,0.72364,0.94040,0.02879,0.00000,0.00000,
0.050,5.09875,0.00544,2.81226,0.01222,0.02772,0.00000,0.00000,
0.051,5.10000,0.00565,3.20097,0.01385,0.02879,0.00000,0.00000,
0.052,5.10000,0.00502,1.70968,0.53540,0.02559,0.00000,0.00000,
0.053,5.09875,0.00544,3.11296,0.51339,0.02772,0.00000,0.00000,
0.054,5.09875,0.00606,2.22715,0.00652,0.03092,0.00000,0.00000,
0.055,5.10000,0.00606,3.05999,1.29408,0.03093,0.00000,0.00000,
0.056,5.09875,0.00502,1.98675,0.35449,0.02559,0.00000,0.00000,
0.057,5.09750,0.00585,0.73668,0.93389,0.02984,0.00000,0.00000,
0.058,5.09500,0.00544,1.17918,1.13354,0.02770,0.00000,0.00000,
0.059,5.10125,0.00544,3.11215,0.58266,0.02773,0.00000,0.00000,
0.060,5.09875,0.00523,3.11215,0.58266,0.02665,0.00000,0.00000,
0.061,5.09875,0.00585,1.14251,2.97119,0.02985,0.00000,0.00000,
