Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.10000,0.00565,1.96312,0.84052,0.02879,0.00000,0.00000,
0.000,5.09750,0.00544,2.19135,0.53235,0.02771,0.00000,0.00000,
0.000,5.10125,0.00585,1.69161,1.85384,0.02987,0.00000,0.00000,
0.000,5.10125,0.00523,0.48914,1.85466,0.02667,0.00000,0.00000,
0.000,5.09875,0.00523,0.77692,1.28562,0.02665,0.00000,0.00000,
0.000,5.09875,0.00502,1.24405,2.82723,0.02559,0.00000,0.00000,
0.000,5.09875,0.00585,2.41635,1.37530,0.02985,0.00000,0.00000,
0.000,5.09875,0.00585,1.98754,1.61253,0.02985,0.00000,0.00000,
0.000,5.10000,0.00481,3.12153,0.51930,0.02453,0.00000,0.00000,
0.000,5.10000,0.00523,1.64840,2.44081,0.02666,0.00000,0.00000,
0.000,5.10000,0.00565,3.10685,0.02283,0.02879,0.00000,0.00000,
0.000,5.10125,0.00544,3.10685,0.02283,0.02773,0.00000,0.00000,
0.000,5.10000,0.00502,1.29291,1.93773,0.02559,0.00000,0.00000,
0.000,5.10000,0.00544,2.52060,1.27986,0.02773,0.00000,0.00000,
0.000,5.09875,0.00544,1.11438,2.70809,0.02772,0.00000,0.00000,
0.000,5.09875,0.00585,0.43858,2.82711,0.02985,0.00000,0.00000,
0.000,5.09625,0.00585,2.11137,1.33122,0.02984,0.00000,0.00000,
0.000,5.09875,0.00523,0.43369,2.06490,0.02665,0.00000,0.00000,
0.000,5.10000,0.00585,3.03825,1.88637,0.02986,0.00000,0.00000,
0.001,5.09750,0.00523,1.54969,1.07851,0.02665,0.00000,0.00000,
0.002,5.10000,0.00606,1.49671,0.04321,0.03093,0.00000,0.00000,
0.003,5.09750,0.00544,1.49671,0.04321,0.02771,0.00000,0.00000,
0.004,5.09875,0.00544,0.57716,2.11300,0.02772,0.00000,0.00000,
0.005,5.09750,0.00585,0.57716,2.11300,0.02984,0.00000,0.00000,
0.006,5.09750,0.00502,1.63514,1.54385,0.02558,0.00000,0.00000,
0.007,5.10250,0.00502,3.11459,0.08885,0.02561,0.00000,0.00000,
0.008,5.09750,0.00523,3.10155,0.02119,0.02665,0.00000,0.00000,
0.009,5.09750,0.00606,1.19008,1.56341,0.03091,0.00000,0.00000,
0.010,5.10125,0.00606,0.43039,2.48613,0.03093,0.00000,0.00000,
0.011,5.10125,0.00544,1.87723,1.25855,0.02773,0.00000,0.00000,
0.012,5.10125,0.00565,1.69953,2.11606,0.02880,0.00000,0.00000,
0.013,5.10000,0.00585,3.00699,1.56341,0.02986,0.00000,0.00000,
0.014,5.09875,0.00523,1.59601,1.18193,0.02665,0.00000,0.00000,
0.015,5.09875,0.00565,2.19594,0.04809,0.02879,0.00000,0.00000,
0.016,5.09750,0.00565,2.19594,0.04809,0.02878,0.00000,0.00000,
0.017,5.09875,0.00585,2.01731,0.03260,0.02985,0.00000,0.00000,
0.018,5.09875,0.00565,3.11522,0.11411,0.02879,0.00000,0.00000,
0.019,5.09750,0.00523,0.71564,2.36535,0.02665,0.00000,0.00000,
0.020,5.09875,0.00502,1.23891,2.95791,0.02559,0.00000,0.00000,
0.021,5.10000,0.00606,1.14600,2.79897,0.03093,0.00000,0.00000,
0.022,5.10125,0.00523,2.25857,1.43046,0.02667,0.00000,0.00000,
0.023,5.09750,0.00565,2.99051,0.00652,0.02878,0.00000,0.00000,
0.024,5.09750,0.00565,2.19011,1.05960,0.02878,0.00000,0.00000,
0.025,5.10000,0.00565,2.10778,0.46704,0.02879,0.00000,0.00000,
0.026,5.09875,0.00565,0.48986,2.34008,0.02879,0.00000,0.00000,
0.027,5.10000,0.00502,0.48986,2.34008,0.02559,0.00000,0.00000,
0.028,5.09625,0.00502,2.12980,0.75069,0.02557,0.00000,0.00000,
0.029,5.09875,0.00565,1.34977,3.02801,0.02879,0.00000,0.00000,
0.030,5.10250,0.00544,1.72307,0.97076,0.02774,0.00000,0.00000,
