Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.10125,0.00585,1.20186,2.09490,0.02987,0.00000,0.00000,
0.000,5.10125,0.00523,0.73823,2.34749,0.02667,0.00000,0.00000,
0.000,5.09625,0.00523,3.12972,0.01956,0.02664,0.00000,0.00000,
0.000,5.09875,0.00585,3.12972,0.01956,0.02985,0.00000,0.00000,
0.000,5.09750,0.00481,3.10178,0.02037,0.02452,0.00000,0.00000,
0.000,5.10000,0.00523,1.44294,0.01385,0.02666,0.00000,0.00000,
0.000,5.10125,0.00544,2.91520,0.90194,0.02773,0.00000,0.00000,
0.000,5.09875,0.00585,2.18029,1.84054,0.02985,0.00000,0.00000,
0.000,5.10125,0.00544,1.59122,0.01467,0.02773,0.00000,0.00000,
0.000,5.09875,0.00627,2.49479,1.97660,0.03198,0.00000,0.00000,
0.000,5.09875,0.00544,2.06541,0.09777,0.02772,0.00000,0.00000,
0.000,5.10125,0.00544,1.38183,0.04155,0.02773,0.00000,0.00000,
0.000,5.10000,0.00565,3.11482,0.58092,0.02879,0.00000,0.00000,
0.000,5.10125,0.00544,0.43752,1.58959,0.02773,0.00000,0.00000,
0.000,5.09750,0.00585,0.43752,1.58959,0.02984,0.00000,0.00000,
0.000,5.09875,0.00523,1.85683,1.31421,0.02665,0.00000,0.00000,
0.000,5.09875,0.00585,2.70744,1.83158,0.02985,0.00000,0.00000,
0.000,5.10125,0.00565,2.19251,0.02281,0.02880,0.00000,0.00000,
0.001,5.10000,0.00502,1.98557,0.01059,0.02559,0.00000,0.00000,
0.002,5.10000,0.00544,0.87424,0.93453,0.02773,0.00000,0.00000,
0.003,5.09875,0.00544,1.97823,1.19688,0.02772,0.00000,0.00000,
0.004,5.10000,0.00544,3.10341,0.04237,0.02773,0.00000,0.00000,
0.005,5.10000,0.00606,0.87261,2.13385,0.03093,0.00000,0.00000,
0.006,5.09875,0.00585,1.91876,0.01548,0.02985,0.00000,0.00000,
0.007,5.10000,0.00544,2.57138,2.68300,0.02773,0.00000,0.00000,
0.008,5.10125,0.00523,2.57138,2.68300,0.02667,0.00000,0.00000,
0.009,5.10125,0.00523,1.37125,1.16837,0.02667,0.00000,0.00000,
0.010,5.09875,0.00606,1.66701,2.01655,0.03092,0.00000,0.00000,
0.011,5.09875,0.00523,1.64909,0.00978,0.02665,0.00000,0.00000,
0.012,5.10000,0.00523,2.20150,2.51600,0.02666,0.00000,0.00000,
0.013,5.09875,0.00502,2.55103,1.50976,0.02559,0.00000,0.00000,
0.014,5.09875,0.00565,0.89787,1.38755,0.02879,0.00000,0.00000,
0.015,5.10000,0.00502,2.09884,0.13118,0.02559,0.00000,0.00000,
0.016,5.10125,0.00544,2.91931,2.68302,0.02773,0.00000,0.00000,
0.017,5.10125,0.00565,1.37614,1.02090,0.02880,0.00000,0.00000,
0.018,5.09625,0.00544,1.52035,1.35170,0.02771,0.00000,0.00000,
0.019,5.10000,0.00606,1.52035,1.35170,0.03093,0.00000,0.00000,
0.020,5.10000,0.00502,1.25639,1.40956,0.02559,0.00000,0.00000,
0.021,5.09875,0.00502,2.20560,1.41445,0.02559,0.00000,0.00000,
0.022,5.09875,0.00502,1.89517,1.51060,0.02559,0.00000,0.00000,
0.023,5.09875,0.00606,2.28545,1.78436,0.03092,0.00000,0.00000,
0.024,5.09875,0.00523,1.83732,0.02770,0.02665,0.00000,0.00000,
0.025,5.10125,0.00544,3.01549,1.77295,0.02773,0.00000,0.00000,
0.026,5.10000,0.00502,1.72977,2.41500,0.02559,0.00000,0.00000,
0.027,5.10000,0.00481,1.67763,0.00407,0.02453,0.00000,0.00000,
0.028,5.09875,0.00544,1.77621,1.26453,0.02772,0.00000,0.00000,
0.029,5.09875,0.00565,2.49648,1.44786,0.02879,0.00000,0.00000,
0.030,5.09750,0.00565,2.49648,1.44786,0.02878,0.00000,0.00000,
0.031,5.10000,0.00544,0.43999,1.85040,0.02773,0.00000,0.00000,
0.032,5.10125,0.00585,2.39713,2.11358,0.02987,0.00000,0.00000,
0.033,5.09875,0.00544,1.77137,1.20671,0.02772,0.00000,0.00000,
0.034,5.10125,0.00565,1.85285,1.08612,0.02880,0.00000,0.00000,
0.035,5.09875,0.00523,3.11253,0.57036,0.02665,0.00000,0.00000,
0.036,5.10000,0.00502,0.65673,2.30751,0.02559,0.00000,0.00000,
0.037,5.09875,0.00523,2.25047,1.91966,0.02665,0.00000,0.00000,
0.038,5.09875,0.00627,1.20590,1.12849,0.03198,0.00000,0.00000,
0.039,5.10125,0.00627,1.90092,1.56034,0.03200,0.00000,0.00000,
0.040,5.10125,0.00544,0.98020,1.94737,0.02773,0.00000,0.00000,
0.041,5.09750,0.00460,0.98020,1.94737,0.02345,0.00000,0.00000,
0.042,5.09750,0.00544,0.74965,1.02425,0.02771,0.00000,0.00000,
0.043,5.10000,0.00523,1.15218,1.44959,0.02666,0.00000,0.00000,
0.044,5.10125,0.00544,2.23672,2.00042,0.02773,0.00000,0.00000,
0.045,5.10000,0.00544,1.23610,2.65473,0.02773,0.00000,0.00000,
0.046,5.09875,0.00606,2.39562,0.88002,0.03092,0.00000,0.00000,
0.047,5.09875,0.00585,2.37443,2.69059,0.02985,0.00000,0.00000,
0.048,5.10125,0.00585,1.67530,1.31840,0.02987,0.00000,0.00000,
0.049,5.09875,0.00481,2.39806,1.51967,0.02452,0.00000,0.00000,
0.050,5.10000,0.00544,3.21290,0.19638,0.02773,0.00000,0.00000,
0.051,5.09875,0.00585,1.37381,0.76839,0.02985,0.00000,0.00000,
0.052,5.10000,0.00523,1.37381,0.76839,0.02666,0.00000,0.00000,
0.053,5.10000,0.00606,2.20023,2.69161,0.03093,0.00000,0.00000,
0.054,5.09750,0.00544,1.80093,0.07742,0.02771,0.00000,0.00000,
0.055,5.09750,0.00544,1.48638,1.26391,0.02771,0.00000,0.00000,
0.056,5.09875,0.00565,1.20850,1.17834,0.02879,0.00000,0.00000,
0.057,5.09875,0.00565,0.76275,1.36496,0.02879,0.00000,0.00000,
0.058,5.09875,0.00544,1.87834,1.72188,0.02772,0.00000,0.00000,
0.059,5.09875,0.00585,1.38696,0.76112,0.02985,0.00000,0.00000,
0.060,5.10125,0.00565,2.57101,0.16054,0.02880,0.00000,0.00000,
0.061,5.09875,0.00523,1.86775,2.33713,0.02665,0.00000,0.00000,
0.062,5.09750,0.00544,2.40884,0.15320,0.02771,0.00000,0.00000,
0.063,5.10000,0.00523,2.40884,0.15320,0.02666,0.00000,0.00000,
0.064,5.09875,0.00544,2.08491,0.53549,0.02772,0.00000,0.00000,
