Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.10000,0.00585,3.20155,0.01060,0.02986,0.00000,0.00000,
0.000,5.09625,0.00502,0.51701,2.70900,0.02557,0.00000,0.00000,
0.000,5.09625,0.00565,2.48801,2.09984,0.02877,0.00000,0.00000,
0.000,5.09875,0.00523,0.93942,2.07293,0.02665,0.00000,0.00000,
0.000,5.10125,0.00544,3.10369,0.01876,0.02773,0.00000,0.00000,
0.000,5.10000,0.00585,3.10369,0.01876,0.02986,0.00000,0.00000,
0.000,5.10000,0.00585,2.94222,0.95492,0.02986,0.00000,0.00000,
0.000,5.09750,0.00565,1.40750,1.56081,0.02878,0.00000,0.00000,
0.000,5.09875,0.00565,2.25396,0.01142,0.02879,0.00000,0.00000,
0.000,5.09750,0.00585,0.52272,2.84844,0.02984,0.00000,0.00000,
0.000,5.09875,0.00565,3.09879,0.01305,0.02879,0.00000,0.00000,
0.001,5.09750,0.00502,0.55207,2.65355,0.02558,0.00000,0.00000,
0.002,5.09875,0.00606,1.62197,1.30720,0.03092,0.00000,0.00000,
0.003,5.10000,0.00544,0.94024,2.94630,0.02773,0.00000,0.00000,
0.004,5.10000,0.00544,3.08493,1.24849,0.02773,0.00000,0.00000,
0.005,5.10000,0.00523,3.10042,0.01794,0.02666,0.00000,0.00000,
0.006,5.10125,0.00523,3.10042,0.01794,0.02667,0.00000,0.00000,
0.007,5.10000,0.00481,1.92533,0.10520,0.02453,0.00000,0.00000,
0.008,5.10000,0.00627,2.13328,0.03017,0.03199,0.00000,0.00000,
0.009,5.09750,0.00585,1.04217,2.00443,0.02984,0.00000,0.00000,
0.010,5.10125,0.00460,0.85380,2.93163,0.02347,0.00000,0.00000,
0.011,5.09750,0.00544,0.75594,2.33144,0.02771,0.00000,0.00000,
0.012,5.09875,0.00502,2.08761,1.97834,0.02559,0.00000,0.00000,
0.013,5.10000,0.00544,0.65319,1.92696,0.02773,0.00000,0.00000,
0.014,5.10000,0.00544,3.11837,0.12884,0.02773,0.00000,0.00000,
0.015,5.10125,0.00544,3.10777,0.04811,0.02773,0.00000,0.00000,
0.016,5.09875,0.00544,3.11511,0.67277,0.02772,0.00000,0.00000,
0.017,5.10125,0.00523,3.11511,0.67277,0.02667,0.00000,0.00000,
0.018,5.10125,0.00585,0.69641,1.25746,0.02987,0.00000,0.00000,
0.019,5.09750,0.00585,0.51293,2.03379,0.02984,0.00000,0.00000,
0.020,5.10000,0.00585,2.06559,2.09495,0.02986,0.00000,0.00000,
0.021,5.09875,0.00544,3.12163,0.21365,0.02772,0.00000,0.00000,
0.022,5.09750,0.00585,3.12163,0.21365,0.02984,0.00000,0.00000,
0.023,5.09750,0.00565,1.38549,1.83889,0.02878,0.00000,0.00000,
0.024,5.09875,0.00565,1.68069,1.91881,0.02879,0.00000,0.00000,
0.025,5.10125,0.00481,2.94875,1.68476,0.02453,0.00000,0.00000,
0.026,5.09750,0.00565,3.19583,0.01386,0.02878,0.00000,0.00000,
0.027,5.10125,0.00502,2.10310,1.58038,0.02560,0.00000,0.00000,
0.028,5.09875,0.00544,3.12733,0.01142,0.02772,0.00000,0.00000,
0.029,5.09750,0.00627,3.12733,0.01142,0.03198,0.00000,0.00000,
0.030,5.09875,0.00544,2.07534,0.12069,0.02772,0.00000,0.00000,
0.031,5.10125,0.00585,2.97316,1.58607,0.02987,0.00000,0.00000,
0.032,5.10125,0.00481,1.89513,1.78096,0.02453,0.00000,0.00000,
0.033,5.09875,0.00544,1.80379,1.95792,0.02772,0.00000,0.00000,
0.034,5.09875,0.00544,2.39337,0.00734,0.02772,0.00000,0.00000,
0.035,5.09750,0.00502,1.50697,2.69917,0.02558,0.00000,0.00000,
0.036,5.09875,0.00565,0.57001,1.43521,0.02879,0.00000,0.00000,
0.037,5.09375,0.00523,0.47460,2.56706,0.02663,0.00000,0.00000,
0.038,5.09875,0.00585,2.08757,0.01631,0.02985,0.00000,0.00000,
0.039,5.09625,0.00585,3.12239,0.52923,0.02984,0.00000,0.00000,
0.040,5.09750,0.00585,3.12239,0.52923,0.02984,0.00000,0.00000,
0.041,5.09750,0.00523,2.15354,0.09785,0.02665,0.00000,0.00000,
0.042,5.09875,0.00523,1.38296,0.04729,0.02665,0.00000,0.00000,
