Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09750,0.00544,1.21605,1.38150,0.02771,0.00000,0.00000,
0.000,5.10000,0.00565,2.99312,0.87601,0.02879,0.00000,0.00000,
0.000,5.09875,0.00544,1.46763,0.00244,0.02772,0.00000,0.00000,
0.000,5.10125,0.00544,1.42281,1.93946,0.02773,0.00000,0.00000,
0.000,5.10000,0.00606,1.34947,0.01956,0.03093,0.00000,0.00000,
0.000,5.10125,0.00481,1.61839,1.10826,0.02453,0.00000,0.00000,
0.000,5.10125,0.00585,1.32747,1.45541,0.02987,0.00000,0.00000,
0.000,5.09875,0.00585,1.21583,1.44481,0.02985,0.00000,0.00000,
0.000,5.09875,0.00544,1.22235,2.67612,0.02772,0.00000,0.00000,
0.000,5.09625,0.00565,3.12432,0.53620,0.02877,0.00000,0.00000,
0.000,5.09750,0.00523,1.31443,0.85320,0.02665,0.00000,0.00000,
0.000,5.09875,0.00544,1.31443,0.85320,0.02772,0.00000,0.00000,
0.000,5.10125,0.00523,3.11129,0.04971,0.02667,0.00000,0.00000,
0.000,5.09750,0.00523,1.94598,1.56542,0.02665,0.00000,0.00000,
0.000,5.09750,0.00523,1.69499,0.03586,0.02665,0.00000,0.00000,
0.000,5.09750,0.00585,1.38533,1.22479,0.02984,0.00000,0.00000,
0.000,5.09875,0.00585,1.87264,2.49685,0.02985,0.00000,0.00000,
0.000,5.10000,0.00502,1.97043,2.33795,0.02559,0.00000,0.00000,
0.000,5.09875,0.00523,2.88719,1.27043,0.02665,0.00000,0.00000,
0.000,5.10125,0.00544,3.11536,0.16217,0.02773,0.00000,0.00000,
0.000,5.10000,0.00523,1.09930,1.24191,0.02666,0.00000,0.00000,
0.000,5.09875,0.00523,1.38451,1.87427,0.02665,0.00000,0.00000,
0.000,5.10125,0.00544,1.38451,1.87427,0.02773,0.00000,0.00000,
0.000,5.10000,0.00565,2.20596,1.35193,0.02879,0.00000,0.00000,
0.001,5.10000,0.00585,1.34541,0.79291,0.02986,0.00000,0.00000,
0.002,5.09625,0.00585,1.75776,0.02363,0.02984,0.00000,0.00000,
0.003,5.10125,0.00460,2.94997,0.77416,0.02347,0.00000,0.00000,
0.004,5.09625,0.00565,1.55322,0.01711,0.02877,0.00000,0.00000,
0.005,5.09750,0.00585,3.07221,1.18569,0.02984,0.00000,0.00000,
0.006,5.10125,0.00523,2.71609,1.20770,0.02667,0.00000,0.00000,
0.007,5.10000,0.00523,1.47580,1.48558,0.02666,0.00000,0.00000,
0.008,5.10125,0.00565,0.66741,1.57766,0.02880,0.00000,0.00000,
0.009,5.09875,0.00502,3.10236,0.02363,0.02559,0.00000,0.00000,
0.010,5.09875,0.00544,3.10236,0.02363,0.02772,0.00000,0.00000,
0.011,5.10000,0.00544,1.86616,1.96314,0.02773,0.00000,0.00000,
0.012,5.10125,0.00585,0.80351,1.21667,0.02987,0.00000,0.00000,
0.013,5.10000,0.00585,1.75533,1.20608,0.02986,0.00000,0.00000,
0.014,5.09875,0.00544,2.17746,1.45300,0.02772,0.00000,0.00000,
0.015,5.09875,0.00502,0.66823,2.05196,0.02559,0.00000,0.00000,
0.016,5.09750,0.00481,3.07224,1.13029,0.02452,0.00000,0.00000,
0.017,5.09875,0.00523,2.02589,0.50036,0.02665,0.00000,0.00000,
0.018,5.09875,0.00585,0.73832,0.93390,0.02985,0.00000,0.00000,
0.019,5.09875,0.00544,1.45952,0.00815,0.02772,0.00000,0.00000,
0.020,5.09750,0.00544,1.85638,0.71876,0.02771,0.00000,0.00000,
