Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09875,0.00585,1.99858,2.17390,0.02985,0.00000,0.00000,
0.000,5.09875,0.00585,3.12141,0.38080,0.02985,0.00000,0.00000,
0.000,5.09875,0.00585,1.93335,1.24269,0.02985,0.00000,0.00000,
0.000,5.09875,0.00544,1.88932,1.55500,0.02772,0.00000,0.00000,
0.000,5.09750,0.00544,1.29651,1.53869,0.02771,0.00000,0.00000,
0.000,5.09875,0.00565,2.20896,1.60066,0.02879,0.00000,0.00000,
0.000,5.10000,0.00565,2.20896,1.60066,0.02879,0.00000,0.00000,
0.000,5.09875,0.00606,3.10592,0.01305,0.03092,0.00000,0.00000,
0.000,5.10000,0.00481,1.64959,1.32750,0.02453,0.00000,0.00000,
0.000,5.09875,0.00544,1.71808,1.38702,0.02772,0.00000,0.00000,
0.000,5.09875,0.00544,2.33372,2.38346,0.02772,0.00000,0.00000,
0.000,5.09875,0.00544,2.39651,2.70310,0.02772,0.00000,0.00000,
0.000,5.10000,0.00565,0.89451,1.51178,0.02879,0.00000,0.00000,
0.000,5.09875,0.00481,1.51830,1.14077,0.02452,0.00000,0.00000,
0.000,5.09875,0.00502,2.34351,2.19102,0.02559,0.00000,0.00000,
0.000,5.09625,0.00523,2.69495,2.91022,0.02664,0.00000,0.00000,
0.000,5.09750,0.00523,2.29132,2.44380,0.02665,0.00000,0.00000,
0.001,5.10125,0.00544,2.29132,2.44380,0.02773,0.00000,0.00000,
0.002,5.09875,0.00523,2.99177,1.70096,0.02665,0.00000,0.00000,
0.003,5.09875,0.00565,3.20052,0.00652,0.02879,0.00000,0.00000,
0.004,5.09875,0.00565,1.66998,1.78495,0.02879,0.00000,0.00000,
0.005,5.09875,0.00565,3.12387,0.37102,0.02879,0.00000,0.00000,
0.006,5.09750,0.00565,1.35441,1.68139,0.02878,0.00000,0.00000,
