Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.10000,0.00544,3.12431,0.48743,0.02773,0.00000,0.00000,
0.000,5.10125,0.00523,1.84948,0.00815,0.02667,0.00000,0.00000,
0.000,5.09875,0.00585,2.31735,1.79976,0.02985,0.00000,0.00000,
0.000,5.10250,0.00565,2.20894,0.01386,0.02881,0.00000,0.00000,
0.000,5.10000,0.00544,2.20894,0.01386,0.02773,0.00000,0.00000,
0.000,5.09875,0.00523,1.84945,0.00815,0.02665,0.00000,0.00000,
0.000,5.09875,0.00544,3.11856,0.55182,0.02772,0.00000,0.00000,
0.000,5.09875,0.00565,3.10144,0.01549,0.02879,0.00000,0.00000,
0.000,5.09875,0.00565,0.81020,0.96344,0.02879,0.00000,0.00000,
0.000,5.10000,0.00544,1.47206,0.00734,0.02773,0.00000,0.00000,
0.000,5.10125,0.00544,3.11774,0.14835,0.02773,0.00000,0.00000,
0.000,5.09875,0.00544,1.99780,0.00652,0.02772,0.00000,0.00000,
0.000,5.09750,0.00565,1.83478,1.37262,0.02878,0.00000,0.00000,
0.000,5.09875,0.00544,3.10307,0.01712,0.02772,0.00000,0.00000,
0.000,5.09750,0.00565,2.47055,0.63170,0.02878,0.00000,0.00000,
0.000,5.09875,0.00544,2.47055,0.63170,0.02772,0.00000,0.00000,
0.000,5.09875,0.00502,0.67976,2.23572,0.02559,0.00000,0.00000,
0.000,5.10000,0.00502,1.33344,0.01712,0.02559,0.00000,0.00000,
0.000,5.10000,0.00585,3.10539,0.01467,0.02986,0.00000,0.00000,
0.000,5.09875,0.00481,3.11518,0.13612,0.02452,0.00000,0.00000,
0.000,5.09875,0.00585,2.89429,1.01149,0.02985,0.00000,0.00000,
0.000,5.09750,0.00565,3.10050,0.02445,0.02878,0.00000,0.00000,
0.001,5.10125,0.00523,2.29848,1.83552,0.02667,0.00000,0.00000,
0.002,5.09625,0.00523,1.04328,1.93170,0.02664,0.00000,0.00000,
0.003,5.09750,0.00585,2.30582,0.69362,0.02984,0.00000,0.00000,
0.004,5.09750,0.00585,1.52906,1.89828,0.02984,0.00000,0.00000,
0.005,5.09750,0.00585,1.52906,1.89828,0.02984,0.00000,0.00000,
0.006,5.10000,0.00585,2.87942,1.22659,0.02986,0.00000,0.00000,
0.007,5.10000,0.00523,0.43521,1.60149,0.02666,0.00000,0.00000,
0.008,5.09625,0.00544,3.10192,0.02771,0.02771,0.00000,0.00000,
0.009,5.10000,0.00481,3.11822,0.55828,0.02453,0.00000,0.00000,
0.010,5.09750,0.00585,2.23149,0.85413,0.02984,0.00000,0.00000,
0.011,5.09750,0.00544,1.84925,0.41321,0.02771,0.00000,0.00000,
0.012,5.10000,0.00544,1.79872,0.00978,0.02773,0.00000,0.00000,
0.013,5.10000,0.00502,1.64794,1.09292,0.02559,0.00000,0.00000,
0.014,5.09750,0.00502,3.10273,0.15811,0.02558,0.00000,0.00000,
0.015,5.09625,0.00585,0.51019,2.55505,0.02984,0.00000,0.00000,
0.016,5.09625,0.00502,0.51019,2.55505,0.02557,0.00000,0.00000,
0.017,5.09750,0.00585,1.92580,2.00811,0.02984,0.00000,0.00000,
0.018,5.09875,0.00544,0.89159,0.98694,0.02772,0.00000,0.00000,
0.019,5.09875,0.00585,1.03503,1.01302,0.02985,0.00000,0.00000,
0.020,5.09875,0.00606,2.17437,1.29419,0.03092,0.00000,0.00000,
0.021,5.09750,0.00523,1.64708,1.26485,0.02665,0.00000,0.00000,
0.022,5.09750,0.00460,1.60307,0.00652,0.02345,0.00000,0.00000,
0.023,5.09875,0.00460,1.53705,0.69273,0.02346,0.00000,0.00000,
0.024,5.09750,0.00585,2.12465,2.06924,0.02984,0.00000,0.00000,
0.025,5.09750,0.00544,0.87529,1.19476,0.02771,0.00000,0.00000,
0.026,5.10000,0.00544,1.35287,0.02445,0.02773,0.00000,0.00000,
0.027,5.09750,0.00544,1.35287,0.02445,0.02771,0.00000,0.00000,
0.028,5.09750,0.00565,1.98748,0.03748,0.02878,0.00000,0.00000,
0.029,5.09750,0.00565,2.64427,1.18157,0.02878,0.00000,0.00000,
0.030,5.09750,0.00544,1.88643,1.86443,0.02771,0.00000,0.00000,
0.031,5.09750,0.00502,1.81391,0.86377,0.02558,0.00000,0.00000,
0.032,5.10125,0.00502,1.72427,0.01467,0.02560,0.00000,0.00000,
0.033,5.09875,0.00544,1.83673,2.47233,0.02772,0.00000,0.00000,
0.034,5.10000,0.00565,3.14216,0.01711,0.02879,0.00000,0.00000,
0.035,5.09875,0.00585,2.09749,1.15305,0.02985,0.00000,0.00000,
0.036,5.10125,0.00502,3.11771,0.10430,0.02560,0.00000,0.00000,
0.037,5.09625,0.00565,3.09815,0.01711,0.02877,0.00000,0.00000,
0.038,5.09625,0.00585,3.09815,0.01711,0.02984,0.00000,0.00000,
0.039,5.09625,0.00544,1.52382,1.10986,0.02771,0.00000,0.00000,
0.040,5.09625,0.00565,3.10224,0.02608,0.02877,0.00000,0.00000,
0.041,5.09875,0.00565,1.57271,1.27039,0.02879,0.00000,0.00000,
0.042,5.10000,0.00544,0.50115,1.83755,0.02773,0.00000,0.00000,
0.043,5.09875,0.00523,2.30936,0.68939,0.02665,0.00000,0.00000,
0.044,5.09875,0.00606,0.52071,2.21402,0.03092,0.00000,0.00000,
0.045,5.10000,0.00544,0.93792,2.61087,0.02773,0.00000,0.00000,
0.046,5.09875,0.00544,1.67457,0.03993,0.02772,0.00000,0.00000,
0.047,5.10000,0.00565,3.09816,0.01385,0.02879,0.00000,0.00000,
0.048,5.10000,0.00585,0.76517,2.29469,0.02986,0.00000,0.00000,
0.049,5.10000,0.00565,0.76517,2.29469,0.02879,0.00000,0.00000,
