Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09875,0.00502,3.09796,0.01956,0.02559,0.00000,0.00000,
0.000,5.09875,0.00565,1.96261,0.74087,0.02879,0.00000,0.00000,
0.000,5.09875,0.00460,3.09796,0.00978,0.02346,0.00000,0.00000,
0.000,5.10125,0.00460,1.57058,1.64801,0.02347,0.00000,0.00000,
0.000,5.09750,0.00565,1.62682,2.35057,0.02878,0.00000,0.00000,
0.000,5.09875,0.00606,1.27880,1.24456,0.03092,0.00000,0.00000,
0.000,5.10000,0.00544,0.94463,1.45729,0.02773,0.00000,0.00000,
0.000,5.09875,0.00544,0.73190,1.51353,0.02772,0.00000,0.00000,
0.000,5.09875,0.00585,1.58769,1.23152,0.02985,0.00000,0.00000,
0.000,5.09750,0.00544,1.58769,1.23152,0.02771,0.00000,0.00000,
0.000,5.10375,0.00565,1.41497,0.00815,0.02881,0.00000,0.00000,
0.000,5.10375,0.00544,2.57971,0.14508,0.02775,0.00000,0.00000,
0.000,5.09875,0.00544,1.57798,0.02282,0.02772,0.00000,0.00000,
0.000,5.09750,0.00544,2.08007,0.46785,0.02771,0.00000,0.00000,
0.000,5.10125,0.00523,2.48027,1.26010,0.02667,0.00000,0.00000,
0.000,5.10000,0.00585,3.17145,0.01956,0.02986,0.00000,0.00000,
0.000,5.10125,0.00502,1.52745,1.70921,0.02560,0.00000,0.00000,
0.000,5.10000,0.00565,0.60315,1.49484,0.02879,0.00000,0.00000,
0.000,5.09875,0.00565,1.35058,0.55914,0.02879,0.00000,0.00000,
0.000,5.09875,0.00544,2.70278,1.98144,0.02772,0.00000,0.00000,
0.000,5.09875,0.00523,2.70278,1.98144,0.02665,0.00000,0.00000,
0.000,5.10000,0.00523,2.17803,0.89338,0.02666,0.00000,0.00000,
0.000,5.09750,0.00502,3.10076,0.01304,0.02558,0.00000,0.00000,
0.000,5.10000,0.00502,2.33698,2.22042,0.02559,0.00000,0.00000,
0.000,5.10125,0.00585,1.65716,0.54940,0.02987,0.00000,0.00000,
0.001,5.09875,0.00523,0.90643,2.93366,0.02665,0.00000,0.00000,
0.002,5.09875,0.00544,2.62228,2.84888,0.02772,0.00000,0.00000,
0.003,5.09625,0.00544,1.46316,0.01467,0.02771,0.00000,0.00000,
0.004,5.10125,0.00565,3.10076,0.02771,0.02880,0.00000,0.00000,
0.005,5.10125,0.00606,1.70281,1.19417,0.03093,0.00000,0.00000,
0.006,5.09750,0.00606,2.76166,2.94425,0.03091,0.00000,0.00000,
0.007,5.10250,0.00502,2.76166,2.94425,0.02561,0.00000,0.00000,
0.008,5.10000,0.00606,0.52015,0.01549,0.03093,0.00000,0.00000,
0.009,5.09625,0.00544,2.24447,1.74796,0.02771,0.00000,0.00000,
0.010,5.09750,0.00523,2.81761,2.80782,0.02665,0.00000,0.00000,
0.011,5.10125,0.00585,2.19066,0.80550,0.02987,0.00000,0.00000,
0.012,5.09875,0.00523,2.96517,2.75809,0.02665,0.00000,0.00000,
0.013,5.09875,0.00585,0.82343,1.48381,0.02985,0.00000,0.00000,
0.014,5.09875,0.00523,1.84335,0.59026,0.02665,0.00000,0.00000,
0.015,5.09875,0.00523,3.10703,0.92534,0.02665,0.00000,0.00000,
0.016,5.09875,0.00565,2.44584,2.70265,0.02879,0.00000,0.00000,
0.017,5.09875,0.00544,3.09888,0.02283,0.02772,0.00000,0.00000,
0.018,5.09625,0.00606,3.09888,0.02283,0.03090,0.00000,0.00000,
0.019,5.09875,0.00502,0.46471,1.76834,0.02559,0.00000,0.00000,
0.020,5.09875,0.00481,0.46471,1.76834,0.02452,0.00000,0.00000,
0.021,5.09875,0.00544,2.20614,1.23596,0.02772,0.00000,0.00000,
0.022,5.09625,0.00585,3.10621,0.02527,0.02984,0.00000,0.00000,
0.023,5.09625,0.00544,2.05042,0.98241,0.02771,0.00000,0.00000,
0.024,5.09750,0.00544,1.54332,0.42476,0.02771,0.00000,0.00000,
0.025,5.09875,0.00502,2.29827,1.64849,0.02559,0.00000,0.00000,
0.026,5.10000,0.00544,1.65012,0.98730,0.02773,0.00000,0.00000,
0.027,5.09875,0.00523,0.64652,1.48217,0.02665,0.00000,0.00000,
0.028,5.09750,0.00523,3.04832,0.00163,0.02665,0.00000,0.00000,
0.029,5.10125,0.00523,1.91835,1.71534,0.02667,0.00000,0.00000,
0.030,5.09875,0.00565,1.91835,1.71534,0.02879,0.00000,0.00000,
0.031,5.10000,0.00502,1.46178,0.04729,0.02559,0.00000,0.00000,
0.032,5.09875,0.00544,3.10863,0.74190,0.02772,0.00000,0.00000,
0.033,5.09875,0.00544,2.74013,1.66805,0.02772,0.00000,0.00000,
0.034,5.09875,0.00544,1.43243,0.74842,0.02772,0.00000,0.00000,
0.035,5.10375,0.00502,2.74176,2.82492,0.02561,0.00000,0.00000,
0.036,5.10000,0.00502,2.42788,1.32563,0.02559,0.00000,0.00000,
0.037,5.09875,0.00523,1.54250,1.52211,0.02665,0.00000,0.00000,
0.038,5.10375,0.00523,2.65942,0.00652,0.02668,0.00000,0.00000,
0.039,5.09875,0.00565,1.61995,1.69006,0.02879,0.00000,0.00000,
0.040,5.09875,0.00523,2.72056,2.78660,0.02665,0.00000,0.00000,
0.041,5.09875,0.00544,2.72056,2.78660,0.02772,0.00000,0.00000,
0.042,5.09875,0.00544,1.85549,1.81636,0.02772,0.00000,0.00000,
0.043,5.09875,0.00544,1.35982,1.24243,0.02772,0.00000,0.00000,
0.044,5.09875,0.00565,2.60633,1.66554,0.02879,0.00000,0.00000,
0.045,5.09625,0.00502,0.65545,1.42830,0.02557,0.00000,0.00000,
0.046,5.09625,0.00523,2.36501,0.56659,0.02664,0.00000,0.00000,
0.047,5.09875,0.00565,0.97503,1.27422,0.02879,0.00000,0.00000,
0.048,5.09875,0.00544,3.12237,0.01630,0.02772,0.00000,0.00000,
0.049,5.10125,0.00544,1.91256,0.01304,0.02773,0.00000,0.00000,
0.050,5.09750,0.00585,2.21419,0.62447,0.02984,0.00000,0.00000,
0.051,5.09750,0.00544,2.33648,1.74706,0.02771,0.00000,0.00000,
0.052,5.10000,0.00544,2.33648,1.74706,0.02773,0.00000,0.00000,
0.053,5.09875,0.00502,2.35177,2.63137,0.02559,0.00000,0.00000,
0.054,5.09750,0.00544,1.73958,1.57817,0.02771,0.00000,0.00000,
0.055,5.09875,0.00565,1.35889,1.18444,0.02879,0.00000,0.00000,
0.056,5.09875,0.00544,1.95967,0.01223,0.02772,0.00000,0.00000,
0.057,5.09875,0.00585,1.70208,2.40231,0.02985,0.00000,0.00000,
0.058,5.10125,0.00544,0.85022,0.00000,0.02773,0.00000,0.00000,
0.059,5.10125,0.00585,2.67050,2.84495,0.02987,0.00000,0.00000,
0.060,5.10125,0.00523,2.44226,1.29612,0.02667,0.00000,0.00000,
0.061,5.09750,0.00523,0.83148,1.50725,0.02665,0.00000,0.00000,
0.062,5.09625,0.00544,2.76180,2.95255,0.02771,0.00000,0.00000,
0.063,5.10125,0.00502,2.76180,2.95255,0.02560,0.00000,0.00000,
0.064,5.09625,0.00544,2.49262,2.40948,0.02771,0.00000,0.00000,
0.065,5.09875,0.00544,2.63119,1.78021,0.02772,0.00000,0.00000,
0.066,5.10000,0.00544,1.59681,1.21778,0.02773,0.00000,0.00000,
0.067,5.10125,0.00585,0.94309,1.68240,0.02987,0.00000,0.00000,
0.068,5.10000,0.00606,1.16887,0.01467,0.03093,0.00000,0.00000,
0.069,5.10000,0.00460,2.75020,2.68417,0.02346,0.00000,0.00000,
0.070,5.10125,0.00460,1.43623,1.46884,0.02347,0.00000,0.00000,
0.071,5.09750,0.00565,2.02882,1.77450,0.02878,0.00000,0.00000,
0.072,5.10000,0.00544,3.10477,0.02934,0.02773,0.00000,0.00000,
0.073,5.09875,0.00523,2.46735,0.00815,0.02665,0.00000,0.00000,
0.074,5.09625,0.00481,2.46735,0.00815,0.02451,0.00000,0.00000,
0.075,5.10125,0.00544,1.65550,1.80304,0.02773,0.00000,0.00000,
0.076,5.09625,0.00502,1.07025,1.22023,0.02557,0.00000,0.00000,
0.077,5.10000,0.00585,0.61460,1.59111,0.02986,0.00000,0.00000,
0.078,5.10000,0.00565,2.05409,0.01060,0.02879,0.00000,0.00000,
0.079,5.09875,0.00565,2.32960,0.00734,0.02879,0.00000,0.00000,
0.080,5.10375,0.00544,2.69803,1.66447,0.02775,0.00000,0.00000,
0.081,5.09875,0.00481,1.80793,2.46410,0.02452,0.00000,0.00000,
0.082,5.10125,0.00544,1.33027,1.29930,0.02773,0.00000,0.00000,
0.083,5.10000,0.00544,3.09744,0.01304,0.02773,0.00000,0.00000,
0.084,5.09875,0.00585,2.19837,0.74665,0.02985,0.00000,0.00000,
0.085,5.09875,0.00565,2.19837,0.74665,0.02879,0.00000,0.00000,
0.086,5.09750,0.00502,1.81608,0.00897,0.02558,0.00000,0.00000,
0.087,5.09750,0.00606,1.17540,1.94976,0.03091,0.00000,0.00000,
0.088,5.10125,0.00606,3.00452,1.53813,0.03093,0.00000,0.00000,
0.089,5.10125,0.00585,2.39481,1.49981,0.02987,0.00000,0.00000,
0.090,5.10125,0.00544,1.85276,1.39140,0.02773,0.00000,0.00000,
0.091,5.10000,0.00523,1.87640,2.27744,0.02666,0.00000,0.00000,
0.092,5.10125,0.00565,1.41504,0.01141,0.02880,0.00000,0.00000,
0.093,5.09875,0.00544,1.06943,1.01971,0.02772,0.00000,0.00000,
0.094,5.10000,0.00481,3.20748,0.01060,0.02453,0.00000,0.00000,
0.095,5.10125,0.00565,1.46395,1.82016,0.02880,0.00000,0.00000,
0.096,5.10125,0.00544,1.46395,1.82016,0.02773,0.00000,0.00000,
0.097,5.10125,0.00544,1.65553,1.52022,0.02773,0.00000,0.00000,
0.098,5.10000,0.00606,1.45908,0.01467,0.03093,0.00000,0.00000,
0.099,5.09750,0.00544,1.90252,0.42305,0.02771,0.00000,0.00000,
0.100,5.10000,0.00565,0.88686,1.46561,0.02879,0.00000,0.00000,
0.101,5.09750,0.00544,1.93757,0.01060,0.02771,0.00000,0.00000,
0.102,5.10125,0.00544,2.36225,0.01467,0.02773,0.00000,0.00000,
0.103,5.10125,0.00544,1.29443,1.10939,0.02773,0.00000,0.00000,
0.104,5.10000,0.00565,2.74699,2.83013,0.02879,0.00000,0.00000,
0.105,5.10000,0.00502,1.73052,1.21618,0.02559,0.00000,0.00000,
0.106,5.09875,0.00502,1.87236,2.51142,0.02559,0.00000,0.00000,
0.107,5.09875,0.00627,1.87236,2.51142,0.03198,0.00000,0.00000,
0.108,5.10000,0.00523,2.10718,2.62318,0.02666,0.00000,0.00000,
0.109,5.09875,0.00481,1.79987,1.91236,0.02452,0.00000,0.00000,
0.110,5.10250,0.00523,2.57264,1.30099,0.02667,0.00000,0.00000,
0.111,5.10000,0.00585,1.47544,1.16894,0.02986,0.00000,0.00000,
0.112,5.09875,0.00565,2.01100,0.00815,0.02879,0.00000,0.00000,
0.113,5.09875,0.00585,1.11595,2.66964,0.02985,0.00000,0.00000,
0.114,5.09875,0.00523,1.55940,0.67984,0.02665,0.00000,0.00000,
0.115,5.09875,0.00523,2.41287,1.52679,0.02665,0.00000,0.00000,
0.116,5.09875,0.00502,2.05991,1.42082,0.02559,0.00000,0.00000,
0.117,5.10000,0.00544,3.12206,0.25922,0.02773,0.00000,0.00000,
0.118,5.09750,0.00502,3.12206,0.25922,0.02558,0.00000,0.00000,
0.119,5.09750,0.00544,0.56574,1.87657,0.02771,0.00000,0.00000,
0.120,5.09875,0.00606,2.15292,1.69723,0.03092,0.00000,0.00000,
0.121,5.09750,0.00565,0.62118,1.47060,0.02878,0.00000,0.00000,
0.122,5.09875,0.00585,2.03798,0.01467,0.02985,0.00000,0.00000,
0.123,5.09875,0.00544,0.68150,1.00595,0.02772,0.00000,0.00000,
0.124,5.09625,0.00544,1.83500,0.47852,0.02771,0.00000,0.00000,
0.125,5.09875,0.00565,1.72005,2.06243,0.02879,0.00000,0.00000,
0.126,5.10000,0.00565,2.53280,2.79774,0.02879,0.00000,0.00000,
0.127,5.09625,0.00523,3.11811,0.19728,0.02664,0.00000,0.00000,
0.128,5.09750,0.00585,0.79481,0.02119,0.02984,0.00000,0.00000,
0.129,5.09750,0.00585,0.79481,0.02119,0.02984,0.00000,0.00000,
0.130,5.09875,0.00502,2.28986,0.60487,0.02559,0.00000,0.00000,
0.131,5.09750,0.00544,1.44696,0.84127,0.02771,0.00000,0.00000,
0.132,5.09750,0.00585,3.20532,0.01304,0.02984,0.00000,0.00000,
0.133,5.09875,0.00585,1.72575,0.02364,0.02985,0.00000,0.00000,
0.134,5.09875,0.00439,1.32876,1.75184,0.02239,0.00000,0.00000,
0.135,5.10125,0.00523,2.09014,1.03855,0.02667,0.00000,0.00000,
0.136,5.10000,0.00523,2.00129,0.74019,0.02666,0.00000,0.00000,
0.137,5.10125,0.00481,3.20695,0.19075,0.02453,0.00000,0.00000,
0.138,5.09875,0.00565,1.52277,1.55701,0.02879,0.00000,0.00000,
0.139,5.09625,0.00565,3.10016,0.02283,0.02877,0.00000,0.00000,
0.140,5.10000,0.00544,3.10016,0.02283,0.02773,0.00000,0.00000,
0.141,5.10000,0.00544,1.45349,0.00978,0.02773,0.00000,0.00000,
0.142,5.09875,0.00544,0.51194,1.73799,0.02772,0.00000,0.00000,
0.143,5.09875,0.00544,0.70514,1.21300,0.02772,0.00000,0.00000,
0.144,5.10000,0.00565,1.93037,2.38199,0.02879,0.00000,0.00000,
0.145,5.09875,0.00544,2.20672,1.32876,0.02772,0.00000,0.00000,
0.146,5.09875,0.00544,0.44265,1.57821,0.02772,0.00000,0.00000,
0.147,5.10000,0.00585,0.97415,0.92280,0.02986,0.00000,0.00000,
0.148,5.10000,0.00565,1.77467,0.03750,0.02879,0.00000,0.00000,
0.149,5.09875,0.00606,0.75487,1.20648,0.03092,0.00000,0.00000,
