Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.05875,0.20053,0.00000,0.00734,1.01441,0.00000,0.00000,
0.000,5.05875,0.20262,0.00000,0.00897,1.02499,0.00000,0.00000,
0.000,5.05375,0.20074,0.00000,0.00897,1.01447,0.00000,0.00000,
0.000,5.05625,0.20262,0.00000,0.01304,1.02449,0.00000,0.00000,
0.000,5.05750,0.20053,0.00082,0.01141,1.01416,0.00000,0.00000,
0.000,5.05625,0.20136,0.00082,0.01141,1.01814,0.00000,0.00000,
0.000,5.05500,0.20220,0.00000,0.01060,1.02212,0.00000,0.00000,
0.000,5.05750,0.20094,0.00082,0.01304,1.01628,0.00000,0.00000,
0.000,5.05750,0.20115,0.00000,0.00734,1.01734,0.00000,0.00000,
0.000,5.05625,0.20115,0.00000,0.00734,1.01708,0.00000,0.00000,
0.000,5.05875,0.20115,0.00000,0.00815,1.01759,0.00000,0.00000,
0.000,5.05875,0.20074,0.00000,0.00815,1.01547,0.00000,0.00000,
0.000,5.05625,0.20053,0.00000,0.00408,1.01391,0.00000,0.00000,
0.000,5.05750,0.20136,0.00000,0.00815,1.01839,0.00000,0.00000,
0.000,5.06000,0.20115,0.00000,0.00326,1.01784,0.00000,0.00000,
0.000,5.05875,0.20053,0.00082,0.00652,1.01441,0.00000,0.00000,
0.000,5.05625,0.20032,0.00082,0.00652,1.01286,0.00000,0.00000,
0.000,5.05625,0.20178,0.00000,0.00978,1.02026,0.00000,0.00000,
0.000,5.05625,0.20178,0.00082,0.01467,1.02026,0.00000,0.00000,
0.000,5.05500,0.20053,0.00000,0.00734,1.01366,0.00000,0.00000,
0.000,5.05750,0.20094,0.00082,0.01060,1.01628,0.00000,0.00000,
0.000,5.05625,0.19969,0.00000,0.00326,1.00968,0.00000,0.00000,
0.000,5.05875,0.20094,0.00163,0.00815,1.01653,0.00000,0.00000,
0.000,5.05875,0.20115,0.00000,0.00815,1.01759,0.00000,0.00000,
0.001,5.05750,0.20074,0.00000,0.00897,1.01522,0.00000,0.00000,
0.002,5.05750,0.20011,0.00000,0.00815,1.01205,0.00000,0.00000,
0.003,5.05750,0.20094,0.00000,0.00815,1.01628,0.00000,0.00000,
0.004,5.06000,0.20094,0.00000,0.00815,1.01678,0.00000,0.00000,
0.005,5.05750,0.20094,0.00000,0.01386,1.01628,0.00000,0.00000,
0.006,5.05625,0.20074,0.00000,0.00978,1.01497,0.00000,0.00000,
0.007,5.05750,0.20074,0.00000,0.00897,1.01522,0.00000,0.00000,
0.008,5.05875,0.20011,0.00163,0.00897,1.01230,0.00000,0.00000,
0.009,5.05750,0.19969,0.00000,0.00734,1.00993,0.00000,0.00000,
0.010,5.05625,0.20032,0.00000,0.00815,1.01286,0.00000,0.00000,
0.011,5.05750,0.20011,0.00000,0.00978,1.01205,0.00000,0.00000,
0.012,5.05750,0.20011,0.00000,0.00815,1.01205,0.00000,0.00000,
0.013,5.05750,0.20011,0.00000,0.01793,1.01205,0.00000,0.00000,
0.014,5.05875,0.20157,0.00000,0.00326,1.01970,0.00000,0.00000,
0.015,5.05500,0.20011,0.00000,0.00326,1.01155,0.00000,0.00000,
0.016,5.05875,0.20220,0.00000,0.00815,1.02288,0.00000,0.00000,
0.017,5.05750,0.20157,0.00000,0.00734,1.01945,0.00000,0.00000,
0.018,5.05750,0.20115,0.00000,0.00815,1.01734,0.00001,0.00000,
0.019,5.05750,0.20199,0.00163,0.00815,1.02157,0.00001,0.00000,
0.020,5.05750,0.19990,0.00163,0.00897,1.01099,0.00001,0.00000,
0.021,5.05750,0.20011,0.00000,0.00734,1.01205,0.00001,0.00000,
0.022,5.05750,0.20011,0.00000,0.00815,1.01205,0.00001,0.00000,
0.023,5.05875,0.20011,0.00163,0.00000,1.01230,0.00001,0.00000,
0.024,5.05500,0.19885,0.00000,0.00245,1.00521,0.00001,0.00000,
0.025,5.06000,0.20136,0.00000,0.00734,1.01890,0.00001,0.00000,
0.026,5.05625,0.20053,0.00000,0.00734,1.01391,0.00001,0.00000,
0.027,5.05875,0.19948,0.00000,0.00734,1.00913,0.00001,0.00000,
0.028,5.05625,0.20032,0.00000,0.00326,1.01286,0.00001,0.00000,
0.029,5.05875,0.20074,0.00000,0.00815,1.01547,0.00001,0.00000,
0.030,5.05750,0.20094,0.00082,0.00734,1.01628,0.00001,0.00000,
0.031,5.05750,0.20094,0.00082,0.00163,1.01628,0.00001,0.00000,
0.032,5.05875,0.19990,0.00000,0.00815,1.01124,0.00001,0.00000,
0.033,5.05750,0.19948,0.00000,0.00652,1.00888,0.00001,0.00000,
0.034,5.06125,0.19990,0.00082,0.00815,1.01174,0.00001,0.00000,
0.035,5.05500,0.20115,0.00000,0.00815,1.01683,0.00001,0.00000,
0.036,5.05625,0.20115,0.00000,0.00734,1.01708,0.00001,0.00000,
0.037,5.05625,0.20011,0.00000,0.00734,1.01180,0.00001,0.00000,
0.038,5.05875,0.20115,0.00000,0.00815,1.01759,0.00001,0.00000,
0.039,5.05625,0.20074,0.00000,0.00815,1.01497,0.00001,0.00000,
0.040,5.05625,0.20074,0.00000,0.00734,1.01497,0.00001,0.00000,
0.041,5.05375,0.20115,0.00000,0.00815,1.01658,0.00001,0.00000,
0.042,5.05875,0.19969,0.00000,0.00734,1.01018,0.00001,0.00000,
0.043,5.05625,0.20115,0.00000,0.01304,1.01708,0.00001,0.00000,
0.044,5.05875,0.19990,0.00000,0.00734,1.01124,0.00001,0.00000,
0.045,5.05500,0.20011,0.00000,0.00652,1.01155,0.00001,0.00000,
0.046,5.05875,0.20032,0.00000,0.00652,1.01336,0.00001,0.00000,
0.047,5.05500,0.20032,0.00000,0.00815,1.01261,0.00001,0.00000,
0.048,5.05625,0.20032,0.00000,0.00815,1.01286,0.00001,0.00000,
0.049,5.05625,0.19990,0.00000,0.00815,1.01074,0.00001,0.00000,
0.051,5.05750,0.19990,0.00000,0.01141,1.01099,0.00001,0.00000,
0.051,5.05875,0.20136,0.00245,0.00734,1.01865,0.00001,0.00000,
0.052,5.05500,0.20136,3.06487,0.00408,1.01789,0.00001,0.00000,
0.053,5.05750,0.20157,3.06079,0.01060,1.01945,0.00001,0.00000,
0.054,5.05500,0.20136,3.06079,0.01386,1.01789,0.00002,0.00000,
0.055,5.05625,0.19969,3.06405,0.00978,1.00968,0.00002,0.00000,
0.056,5.05500,0.20011,3.05998,0.00978,1.01155,0.00002,0.00000,
0.057,5.05625,0.20178,3.06079,0.00978,1.02026,0.00002,0.00000,
0.058,5.05625,0.20115,3.06324,0.01467,1.01708,0.00002,0.00000,
0.059,5.05750,0.20115,3.06161,0.01549,1.01734,0.00002,0.00000,
0.060,5.05625,0.19990,3.06161,0.01549,1.01074,0.00002,0.00000,
0.061,5.05750,0.20032,3.06158,0.00489,1.01311,0.00002,0.00000,
0.062,5.05625,0.20032,3.06403,0.01304,1.01286,0.00002,0.00000,
0.063,5.05750,0.20011,3.08603,0.02527,1.01205,0.00002,0.00000,
0.064,5.05875,0.19927,3.06484,0.01060,1.00807,0.00002,0.00000,
0.065,5.05500,0.20136,3.06321,0.01141,1.01789,0.00002,0.00000,
0.066,5.05875,0.20053,3.06240,0.01549,1.01441,0.00002,0.00000,
0.067,5.05875,0.20115,3.06240,0.00897,1.01759,0.00002,0.00000,
0.068,5.05750,0.20115,3.06321,0.00489,1.01734,0.00002,0.00000,
0.069,5.05625,0.20011,3.06403,0.01304,1.01180,0.00002,0.00000,
0.070,5.05750,0.20074,3.09092,0.00897,1.01522,0.00002,0.00000,
0.071,5.05500,0.20053,3.09092,0.00897,1.01366,0.00002,0.00000,
0.072,5.05625,0.20094,3.06153,0.00978,1.01603,0.00002,0.00000,
0.073,5.05625,0.20115,3.06235,0.00897,1.01708,0.00002,0.00000,
0.074,5.05750,0.19927,3.06153,0.00978,1.00782,0.00002,0.00000,
0.075,5.05500,0.20032,3.06398,0.00978,1.01261,0.00002,0.00000,
0.076,5.05500,0.20032,3.06072,0.00408,1.01261,0.00002,0.00000,
0.077,5.05625,0.20032,3.06072,0.00978,1.01286,0.00002,0.00000,
0.078,5.05875,0.20094,3.06235,0.01386,1.01653,0.00002,0.00000,
0.079,5.05750,0.19948,3.05909,0.01386,1.00888,0.00002,0.00000,
0.080,5.05500,0.20115,3.06153,0.00571,1.01683,0.00002,0.00000,
0.081,5.05750,0.19990,3.06561,0.01630,1.01099,0.00002,0.00000,
0.082,5.05625,0.19990,3.06561,0.01630,1.01074,0.00002,0.00000,
0.083,5.05625,0.19948,3.05973,0.00978,1.00863,0.00002,0.00000,
0.084,5.05875,0.20011,3.06299,0.00815,1.01230,0.00002,0.00000,
0.085,5.05875,0.20074,3.05810,0.00978,1.01547,0.00002,0.00000,
0.086,5.05500,0.20074,3.05891,0.01060,1.01472,0.00002,0.00000,
0.087,5.05875,0.20115,3.06217,0.00978,1.01759,0.00002,0.00000,
0.088,5.05750,0.20032,3.05647,0.00978,1.01311,0.00002,0.00000,
0.089,5.05875,0.19927,3.06054,0.00489,1.00807,0.00003,0.00000,
0.090,5.05750,0.20094,3.05891,0.00978,1.01628,0.00003,0.00001,
0.091,5.05625,0.20115,3.05810,0.00408,1.01708,0.00003,0.00001,
0.092,5.05750,0.20032,3.05973,0.00978,1.01311,0.00003,0.00001,
0.093,5.05625,0.20011,3.05973,0.00978,1.01180,0.00003,0.00001,
0.094,5.05625,0.19990,3.06213,0.01304,1.01074,0.00003,0.00001,
0.095,5.05875,0.19990,3.05969,0.01060,1.01124,0.00003,0.00001,
0.096,5.05875,0.19969,3.05969,0.00652,1.01018,0.00003,0.00001,
0.097,5.06000,0.20074,3.05724,0.01141,1.01572,0.00003,0.00001,
