Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.10125,0.00544,3.10797,0.07660,0.02773,0.00000,0.00000,
0.000,5.09875,0.00502,0.98601,1.17506,0.02559,0.00000,0.00000,
0.000,5.10125,0.00627,2.97922,1.12454,0.03200,0.00000,0.00000,
0.000,5.09875,0.00585,2.34442,1.62488,0.02985,0.00000,0.00000,
0.001,5.10125,0.00606,2.53837,1.80823,0.03093,0.00000,0.00000,
0.002,5.10125,0.00544,3.09575,0.01630,0.02773,0.00000,0.00000,
0.003,5.09875,0.00544,3.09575,0.01630,0.02772,0.00000,0.00000,
0.004,5.09875,0.00585,2.54570,1.47331,0.02985,0.00000,0.00000,
0.005,5.10000,0.00565,3.09983,0.02689,0.02879,0.00000,0.00000,
0.006,5.10000,0.00585,3.09575,0.01467,0.02986,0.00000,0.00000,
0.007,5.10125,0.00523,1.86364,0.95586,0.02667,0.00000,0.00000,
0.008,5.10000,0.00585,1.94432,1.24515,0.02986,0.00000,0.00000,
0.009,5.09875,0.00544,1.36738,1.05528,0.02772,0.00000,0.00000,
0.010,5.10000,0.00544,2.20345,0.02608,0.02773,0.00000,0.00000,
0.011,5.10000,0.00481,2.98493,0.66413,0.02453,0.00000,0.00000,
0.012,5.10125,0.00481,3.09494,0.01630,0.02453,0.00000,0.00000,
0.013,5.09875,0.00502,3.09901,0.01222,0.02559,0.00000,0.00000,
0.014,5.10125,0.00544,3.09901,0.01222,0.02773,0.00000,0.00000,
0.015,5.09875,0.00606,2.61419,1.17997,0.03092,0.00000,0.00000,
0.016,5.09875,0.00502,1.53445,1.38614,0.02559,0.00000,0.00000,
0.017,5.10000,0.00585,3.11616,0.48160,0.02986,0.00000,0.00000,
0.018,5.10125,0.00565,1.68358,0.95669,0.02880,0.00000,0.00000,
0.019,5.10125,0.00523,1.81559,0.01385,0.02667,0.00000,0.00000,
0.020,5.10125,0.00606,3.09172,0.01385,0.03093,0.00000,0.00000,
0.021,5.10000,0.00606,1.99405,0.89313,0.03093,0.00000,0.00000,
0.022,5.10000,0.00565,1.87834,2.08287,0.02879,0.00000,0.00000,
0.023,5.10000,0.00523,1.95331,0.00978,0.02666,0.00000,0.00000,
0.024,5.10125,0.00565,3.11209,0.09208,0.02880,0.00000,0.00000,
0.025,5.10125,0.00565,3.11209,0.09208,0.02880,0.00000,0.00000,
0.026,5.10375,0.00523,2.18397,0.09290,0.02668,0.00000,0.00000,
0.027,5.09875,0.00565,1.40817,1.23623,0.02879,0.00000,0.00000,
0.028,5.10000,0.00502,1.91424,0.01141,0.02559,0.00000,0.00000,
