Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.10250,0.00481,3.11456,0.08964,0.02454,0.00000,0.00000,
0.000,5.09875,0.00544,0.94610,1.69174,0.02772,0.00000,0.00000,
0.000,5.10000,0.00585,1.62410,0.02119,0.02986,0.00000,0.00000,
0.000,5.09750,0.00502,0.68289,1.54261,0.02558,0.00000,0.00000,
0.000,5.10000,0.00585,1.55565,1.22969,0.02986,0.00000,0.00000,
0.000,5.10000,0.00544,2.32492,1.43749,0.02773,0.00000,0.00000,
0.000,5.10000,0.00544,0.51257,1.83516,0.02773,0.00000,0.00000,
0.000,5.09750,0.00439,2.79349,2.83016,0.02238,0.00000,0.00000,
0.000,5.10000,0.00481,0.79209,1.20117,0.02453,0.00000,0.00000,
0.000,5.10125,0.00585,1.91665,0.76682,0.02987,0.00000,0.00000,
0.000,5.10000,0.00523,1.91665,0.76682,0.02666,0.00000,0.00000,
0.000,5.09750,0.00544,3.09908,0.01141,0.02771,0.00000,0.00000,
0.000,5.09875,0.00523,1.35844,1.50757,0.02665,0.00000,0.00000,
0.000,5.09875,0.00565,2.49605,1.33807,0.02879,0.00000,0.00000,
0.000,5.09875,0.00544,3.12026,0.30314,0.02772,0.00000,0.00000,
0.000,5.10125,0.00544,1.86124,0.01222,0.02773,0.00000,0.00000,
0.000,5.09750,0.00481,1.72434,1.57928,0.02452,0.00000,0.00000,
0.000,5.09875,0.00544,1.25658,2.00792,0.02772,0.00000,0.00000,
0.000,5.09875,0.00565,1.73493,0.01141,0.02879,0.00000,0.00000,
0.000,5.09875,0.00565,3.11782,0.25099,0.02879,0.00000,0.00000,
0.000,5.09875,0.00523,1.67789,1.80094,0.02665,0.00000,0.00000,
0.000,5.09875,0.00544,1.67789,1.80094,0.02772,0.00000,0.00000,
0.001,5.09875,0.00544,1.91259,1.50758,0.02772,0.00000,0.00000,
0.002,5.09875,0.00544,0.68860,2.33715,0.02772,0.00000,0.00000,
0.003,5.09875,0.00544,2.20351,0.87602,0.02772,0.00000,0.00000,
0.004,5.09625,0.00544,1.61840,0.61362,0.02771,0.00000,0.00000,
0.005,5.09875,0.00544,1.62085,0.01304,0.02772,0.00000,0.00000,
0.006,5.10250,0.00544,1.82865,0.07090,0.02774,0.00000,0.00000,
0.007,5.10000,0.00481,1.47254,1.42364,0.02453,0.00000,0.00000,
0.008,5.10000,0.00585,1.65834,1.80909,0.02986,0.00000,0.00000,
0.009,5.10250,0.00544,2.09839,2.26789,0.02774,0.00000,0.00000,
0.010,5.10125,0.00523,1.54669,1.92807,0.02667,0.00000,0.00000,
0.011,5.10125,0.00565,1.54669,1.92807,0.02880,0.00000,0.00000,
0.012,5.10000,0.00565,1.22888,3.00620,0.02879,0.00000,0.00000,
0.013,5.09625,0.00544,1.80258,2.29641,0.02771,0.00000,0.00000,
0.014,5.09750,0.00669,2.21737,0.00978,0.03411,0.00000,0.00000,
0.015,5.10125,0.00606,1.38209,1.87348,0.03093,0.00000,0.00000,
0.016,5.10250,0.00544,1.29326,1.26148,0.02774,0.00000,0.00000,
0.017,5.10250,0.00523,1.38372,0.01304,0.02667,0.00000,0.00000,
0.018,5.10125,0.00523,0.86543,1.25415,0.02667,0.00000,0.00000,
0.019,5.09875,0.00544,1.78058,2.17499,0.02772,0.00000,0.00000,
0.020,5.09875,0.00565,3.01598,1.90770,0.02879,0.00000,0.00000,
0.021,5.10000,0.00565,2.78699,2.89130,0.02879,0.00000,0.00000,
0.022,5.09875,0.00544,2.78699,2.89130,0.02772,0.00000,0.00000,
0.023,5.09875,0.00585,1.14415,2.98506,0.02985,0.00000,0.00000,
0.024,5.09750,0.00585,2.06339,1.43997,0.02984,0.00000,0.00000,
0.025,5.10000,0.00544,1.97863,0.00896,0.02773,0.00000,0.00000,
0.026,5.10125,0.00565,2.58331,2.80660,0.02880,0.00000,0.00000,
0.027,5.10125,0.00565,2.92720,2.62813,0.02880,0.00000,0.00000,
0.028,5.09875,0.00502,1.95663,0.28848,0.02559,0.00000,0.00000,
0.029,5.09875,0.00585,1.89877,0.55089,0.02985,0.00000,0.00000,
0.030,5.10000,0.00585,1.54020,0.01467,0.02986,0.00000,0.00000,
0.031,5.09875,0.00565,3.18798,0.18906,0.02879,0.00000,0.00000,
0.032,5.10000,0.00544,1.24357,1.15719,0.02773,0.00000,0.00000,
0.033,5.10000,0.00627,1.24357,1.15719,0.03199,0.00000,0.00000,
0.034,5.09875,0.00565,0.98933,1.55245,0.02879,0.00000,0.00000,
0.035,5.10000,0.00544,0.76359,1.18817,0.02773,0.00000,0.00000,
0.036,5.09875,0.00606,0.84590,1.87679,0.03092,0.00000,0.00000,
0.037,5.09875,0.00544,1.32997,1.39924,0.02772,0.00000,0.00000,
0.038,5.09875,0.00544,1.64453,0.01304,0.02772,0.00000,0.00000,
0.039,5.09750,0.00544,3.10978,0.61609,0.02771,0.00000,0.00000,
0.040,5.10000,0.00585,3.09756,0.01956,0.02986,0.00000,0.00000,
0.041,5.10000,0.00502,1.33730,1.72277,0.02559,0.00000,0.00000,
0.042,5.10125,0.00544,2.97776,1.57119,0.02773,0.00000,0.00000,
0.043,5.10125,0.00523,2.29240,0.00652,0.02667,0.00000,0.00000,
0.044,5.09875,0.00544,2.29240,0.00652,0.02772,0.00000,0.00000,
0.045,5.09875,0.00481,3.08811,0.98047,0.02452,0.00000,0.00000,
0.046,5.09875,0.00544,3.08811,0.98047,0.02772,0.00000,0.00000,
0.047,5.10125,0.00606,0.95846,1.48822,0.03093,0.00000,0.00000,
0.048,5.10125,0.00606,3.12071,0.19479,0.03093,0.00000,0.00000,
0.049,5.10375,0.00585,1.82564,1.23801,0.02988,0.00000,0.00000,
0.050,5.09750,0.00544,0.97884,1.52408,0.02771,0.00000,0.00000,
0.051,5.09875,0.00523,1.73436,0.04401,0.02665,0.00000,0.00000,
0.052,5.09750,0.00523,1.83950,1.29914,0.02665,0.00000,0.00000,
0.053,5.09750,0.00523,1.78652,1.40672,0.02665,0.00000,0.00000,
0.054,5.09875,0.00439,3.10359,0.76286,0.02239,0.00000,0.00000,
0.055,5.09625,0.00606,3.12478,0.43930,0.03090,0.00000,0.00000,
0.056,5.09625,0.00502,3.12478,0.43930,0.02557,0.00000,0.00000,
0.057,5.09625,0.00585,3.10602,0.01223,0.02984,0.00000,0.00000,
0.058,5.10000,0.00585,1.61617,1.00165,0.02986,0.00000,0.00000,
0.059,5.09875,0.00460,2.85174,2.98866,0.02346,0.00000,0.00000,
0.060,5.10000,0.00502,2.96502,2.26493,0.02559,0.00000,0.00000,
0.061,5.09750,0.00565,1.27550,1.48251,0.02878,0.00000,0.00000,
0.062,5.10125,0.00544,3.10602,0.03749,0.02773,0.00000,0.00000,
0.063,5.09750,0.00544,1.56646,1.91691,0.02771,0.00000,0.00000,
0.064,5.09875,0.00544,2.45808,2.84522,0.02772,0.00000,0.00000,
0.065,5.09875,0.00502,0.93156,1.70990,0.02559,0.00000,0.00000,
0.066,5.09875,0.00565,1.47599,0.00815,0.02879,0.00000,0.00000,
0.067,5.09750,0.00565,1.47599,0.00815,0.02878,0.00000,0.00000,
0.068,5.09875,0.00502,1.66749,1.57458,0.02559,0.00000,0.00000,
0.069,5.09750,0.00544,1.48004,0.99022,0.02771,0.00000,0.00000,
0.070,5.09875,0.00565,2.37654,2.80115,0.02879,0.00000,0.00000,
0.071,5.09875,0.00565,1.58925,0.02119,0.02879,0.00000,0.00000,
0.072,5.10125,0.00585,0.70823,1.43440,0.02987,0.00000,0.00000,
0.073,5.09875,0.00544,1.59658,0.00978,0.02772,0.00000,0.00000,
0.074,5.10125,0.00481,1.42706,2.23554,0.02453,0.00000,0.00000,
0.075,5.10125,0.00544,1.82886,0.57783,0.02773,0.00000,0.00000,
0.076,5.09875,0.00544,1.26325,2.13937,0.02772,0.00000,0.00000,
0.077,5.10000,0.00606,2.97393,2.78485,0.03093,0.00000,0.00000,
0.078,5.10000,0.00523,2.97393,2.78485,0.02666,0.00000,0.00000,
0.079,5.10125,0.00544,0.65279,1.44902,0.02773,0.00000,0.00000,
0.080,5.10000,0.00544,1.63157,1.96082,0.02773,0.00000,0.00000,
0.081,5.10125,0.00544,2.55249,2.54760,0.02773,0.00000,0.00000,
0.082,5.10125,0.00523,3.11482,0.12877,0.02667,0.00000,0.00000,
0.083,5.10125,0.00523,2.33815,2.66414,0.02667,0.00000,0.00000,
0.084,5.10125,0.00544,3.12134,0.22575,0.02773,0.00000,0.00000,
0.085,5.09625,0.00544,2.84751,0.86387,0.02771,0.00000,0.00000,
0.086,5.10250,0.00565,3.12134,0.39689,0.02881,0.00000,0.00000,
0.087,5.10000,0.00523,0.98774,1.55415,0.02666,0.00000,0.00000,
0.088,5.09875,0.00544,1.91192,1.12140,0.02772,0.00000,0.00000,
0.089,5.10000,0.00544,1.91192,1.12140,0.02773,0.00000,0.00000,
0.090,5.10000,0.00544,1.39360,1.55171,0.02773,0.00000,0.00000,
0.091,5.09875,0.00544,2.08144,0.77585,0.02772,0.00000,0.00000,
0.092,5.09875,0.00544,3.17676,0.01059,0.02772,0.00000,0.00000,
0.093,5.09875,0.00523,2.18249,1.30233,0.02665,0.00000,0.00000,
0.094,5.10000,0.00523,1.94941,1.41153,0.02666,0.00000,0.00000,
0.095,5.09875,0.00585,0.45638,1.73752,0.02985,0.00000,0.00000,
