Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.10125,0.00523,2.01424,2.59871,0.02667,0.00000,0.00000,
0.000,5.09750,0.00565,1.61319,0.55512,0.02878,0.00000,0.00000,
0.000,5.09875,0.00585,2.48214,2.10147,0.02985,0.00000,0.00000,
0.000,5.10000,0.00544,1.29935,1.00998,0.02773,0.00000,0.00000,
0.000,5.10250,0.00565,2.89053,2.78049,0.02881,0.00000,0.00000,
0.000,5.09750,0.00565,2.89053,2.78049,0.02878,0.00000,0.00000,
0.000,5.10000,0.00565,1.43782,0.00897,0.02879,0.00000,0.00000,
0.000,5.09875,0.00544,2.68247,1.66116,0.02772,0.00000,0.00000,
0.000,5.09875,0.00544,2.50804,2.73219,0.02772,0.00000,0.00000,
0.000,5.09875,0.00544,2.18118,0.01467,0.02772,0.00000,0.00000,
0.000,5.10000,0.00565,2.01654,0.88845,0.02879,0.00000,0.00000,
0.000,5.10000,0.00502,0.74010,1.32615,0.02559,0.00000,0.00000,
0.000,5.09750,0.00523,2.14777,0.09863,0.02665,0.00000,0.00000,
0.000,5.10125,0.00585,0.74662,2.32464,0.02987,0.00000,0.00000,
0.000,5.09875,0.00544,2.63764,2.87972,0.02772,0.00000,0.00000,
0.000,5.10000,0.00523,3.11528,0.68305,0.02666,0.00000,0.00000,
0.000,5.09875,0.00523,3.11528,0.68305,0.02665,0.00000,0.00000,
0.000,5.09875,0.00585,3.10099,0.01548,0.02985,0.00000,0.00000,
0.001,5.10000,0.00585,2.69920,0.01304,0.02986,0.00000,0.00000,
0.002,5.09875,0.00544,1.67559,1.08229,0.02772,0.00000,0.00000,
0.003,5.09750,0.00502,2.15561,0.68132,0.02558,0.00000,0.00000,
0.004,5.10000,0.00523,2.53050,2.88991,0.02666,0.00000,0.00000,
0.005,5.09875,0.00585,1.66826,0.75059,0.02985,0.00000,0.00000,
0.006,5.09875,0.00565,1.56231,0.01874,0.02879,0.00000,0.00000,
0.007,5.10125,0.00544,3.11484,0.09128,0.02773,0.00000,0.00000,
0.008,5.10000,0.00502,3.16211,0.01548,0.02559,0.00000,0.00000,
0.009,5.10000,0.00585,0.86225,1.48244,0.02986,0.00000,0.00000,
0.010,5.09875,0.00585,0.86225,1.48244,0.02985,0.00000,0.00000,
0.011,5.10000,0.00585,3.10100,0.01956,0.02986,0.00000,0.00000,
0.012,5.10000,0.00565,1.79296,1.09044,0.02879,0.00000,0.00000,
0.013,5.09875,0.00565,1.83452,2.00567,0.02879,0.00000,0.00000,
0.014,5.10125,0.00544,1.37650,0.77505,0.02773,0.00000,0.00000,
0.015,5.09625,0.00544,2.56637,1.28604,0.02771,0.00000,0.00000,
0.016,5.10250,0.00523,1.87201,1.41644,0.02667,0.00000,0.00000,
0.017,5.10125,0.00565,1.54602,1.68701,0.02880,0.00000,0.00000,
0.018,5.10125,0.00565,3.10182,0.03586,0.02880,0.00000,0.00000,
0.019,5.09875,0.00565,2.42049,1.02606,0.02879,0.00000,0.00000,
0.020,5.09875,0.00565,0.75223,1.28767,0.02879,0.00000,0.00000,
0.021,5.09875,0.00544,0.75223,1.28767,0.02772,0.00000,0.00000,
0.022,5.09750,0.00565,1.32678,1.20128,0.02878,0.00000,0.00000,
0.023,5.09875,0.00585,2.95592,0.74081,0.02985,0.00000,0.00000,
0.024,5.10000,0.00523,2.91192,1.14341,0.02666,0.00000,0.00000,
