Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09625,0.00606,3.18971,0.01630,0.03090,0.00000,0.00000,
0.000,5.10000,0.00606,2.01863,1.84179,0.03093,0.00000,0.00000,
0.000,5.10000,0.00606,2.03330,1.91676,0.03093,0.00000,0.00000,
0.000,5.10000,0.00544,1.81734,2.18406,0.02773,0.00000,0.00000,
0.000,5.10125,0.00585,1.83119,1.25828,0.02987,0.00000,0.00000,
0.000,5.09750,0.00585,3.09762,0.01304,0.02984,0.00000,0.00000,
0.000,5.10000,0.00627,3.09762,0.01304,0.03199,0.00000,0.00000,
0.000,5.10125,0.00544,2.04227,1.41802,0.02773,0.00000,0.00000,
0.000,5.09875,0.00544,1.58345,2.63148,0.02772,0.00000,0.00000,
0.000,5.09875,0.00585,0.43600,2.70483,0.02985,0.00000,0.00000,
0.000,5.10000,0.00585,1.88254,2.35359,0.02986,0.00000,0.00000,
0.000,5.10125,0.00544,1.80675,2.30061,0.02773,0.00000,0.00000,
0.000,5.10125,0.00502,2.10502,1.45714,0.02560,0.00000,0.00000,
0.000,5.09750,0.00544,3.10905,0.79050,0.02771,0.00000,0.00000,
0.000,5.10125,0.00544,1.92003,0.02363,0.02773,0.00000,0.00000,
0.000,5.09875,0.00565,1.76030,1.01054,0.02879,0.00000,0.00000,
0.000,5.10125,0.00523,2.55732,1.02521,0.02667,0.00000,0.00000,
0.000,5.09875,0.00523,2.55732,1.02521,0.02665,0.00000,0.00000,
0.000,5.09875,0.00565,1.98523,1.07329,0.02879,0.00000,0.00000,
0.000,5.10125,0.00565,2.19874,1.89558,0.02880,0.00000,0.00000,
0.001,5.09750,0.00544,1.68369,0.75465,0.02771,0.00000,0.00000,
0.002,5.10125,0.00523,3.11557,0.57699,0.02667,0.00000,0.00000,
0.003,5.10125,0.00565,2.38129,0.01304,0.02880,0.00000,0.00000,
0.004,5.09750,0.00523,2.09443,0.02200,0.02665,0.00000,0.00000,
0.005,5.09875,0.00502,1.01217,1.95100,0.02559,0.00000,0.00000,
