Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09875,0.00502,3.12675,0.25105,0.02559,0.00000,0.00000,
0.000,5.09875,0.00502,2.80967,2.98166,0.02559,0.00000,0.00000,
0.000,5.09875,0.00544,2.28148,0.08396,0.02772,0.00000,0.00000,
0.000,5.10000,0.00544,2.33365,2.67436,0.02773,0.00000,0.00000,
0.000,5.09875,0.00544,2.54476,2.76973,0.02772,0.00000,0.00000,
0.000,5.09875,0.00565,0.83874,1.07186,0.02879,0.00000,0.00000,
0.000,5.09750,0.00565,0.83874,1.07186,0.02878,0.00000,0.00000,
0.000,5.10125,0.00565,3.10227,0.00897,0.02880,0.00000,0.00000,
0.000,5.09750,0.00585,1.54543,1.45251,0.02984,0.00000,0.00000,
0.000,5.09750,0.00565,0.68876,1.92282,0.02878,0.00000,0.00000,
0.000,5.09875,0.00565,1.10202,1.75654,0.02879,0.00000,0.00000,
0.000,5.10125,0.00502,3.12428,0.15650,0.02560,0.00000,0.00000,
0.000,5.10000,0.00523,1.65058,0.16954,0.02666,0.00000,0.00000,
0.000,5.10000,0.00565,2.96860,2.75504,0.02879,0.00000,0.00000,
0.000,5.10125,0.00523,1.01154,2.00270,0.02667,0.00000,0.00000,
0.000,5.09750,0.00523,2.82269,1.00013,0.02665,0.00000,0.00000,
0.000,5.10125,0.00565,2.21707,2.38498,0.02880,0.00000,0.00000,
0.000,5.09750,0.00565,2.21707,2.38498,0.02878,0.00000,0.00000,
0.000,5.09750,0.00565,2.36778,1.41578,0.02878,0.00000,0.00000,
0.001,5.09875,0.00565,0.74498,1.30819,0.02879,0.00000,0.00000,
0.002,5.09750,0.00585,1.69779,2.09392,0.02984,0.00000,0.00000,
0.003,5.09875,0.00544,1.64970,0.00897,0.02772,0.00000,0.00000,
0.004,5.10000,0.00544,0.85419,0.96341,0.02773,0.00000,0.00000,
0.005,5.09875,0.00544,1.77686,1.62281,0.02772,0.00000,0.00000,
0.006,5.09625,0.00460,2.28709,0.70993,0.02344,0.00000,0.00000,
0.007,5.10000,0.00585,1.79316,0.01304,0.02986,0.00000,0.00000,
0.008,5.10000,0.00523,2.84215,2.69300,0.02666,0.00000,0.00000,
0.009,5.10000,0.00523,2.70359,0.88272,0.02666,0.00000,0.00000,
0.010,5.10125,0.00523,2.70359,0.88272,0.02667,0.00000,0.00000,
0.011,5.09875,0.00585,1.74576,2.37496,0.02985,0.00000,0.00000,
0.012,5.09750,0.00565,3.10439,0.02445,0.02878,0.00000,0.00000,
0.013,5.09875,0.00544,3.11173,0.08150,0.02772,0.00000,0.00000,
0.014,5.10125,0.00585,1.78162,1.34559,0.02987,0.00000,0.00000,
0.015,5.10125,0.00585,1.55342,0.01141,0.02987,0.00000,0.00000,
0.016,5.10000,0.00565,1.65448,0.50449,0.02879,0.00000,0.00000,
0.017,5.09750,0.00523,2.02857,0.01386,0.02665,0.00000,0.00000,
0.018,5.09750,0.00544,1.57787,1.14347,0.02771,0.00000,0.00000,
0.019,5.09625,0.00544,1.75391,0.01141,0.02771,0.00000,0.00000,
0.020,5.09875,0.00544,1.07990,3.00822,0.02772,0.00000,0.00000,
0.021,5.09750,0.00565,1.07990,3.00822,0.02878,0.00000,0.00000,
0.022,5.10125,0.00585,3.09938,0.02363,0.02987,0.00000,0.00000,
0.023,5.10000,0.00585,1.60063,0.93316,0.02986,0.00000,0.00000,
0.024,5.09750,0.00565,2.94372,0.76364,0.02878,0.00000,0.00000,
0.025,5.09875,0.00585,0.52077,2.60713,0.02985,0.00000,0.00000,
0.026,5.09875,0.00502,1.87691,2.51993,0.02559,0.00000,0.00000,
0.027,5.09875,0.00523,0.76445,1.13853,0.02665,0.00000,0.00000,
0.028,5.10125,0.00523,2.33004,0.68214,0.02667,0.00000,0.00000,
0.029,5.09750,0.00565,2.14667,0.00407,0.02878,0.00000,0.00000,
0.030,5.10000,0.00544,3.03581,1.84838,0.02773,0.00000,0.00000,
0.031,5.10125,0.00502,1.73428,0.01059,0.02560,0.00000,0.00000,
0.032,5.10000,0.00544,1.73428,0.01059,0.02773,0.00000,0.00000,
0.033,5.09750,0.00544,3.17764,0.01630,0.02771,0.00000,0.00000,
0.034,5.10000,0.00502,3.08881,0.18500,0.02559,0.00000,0.00000,
0.035,5.09875,0.00481,3.14749,0.02119,0.02452,0.00000,0.00000,
0.036,5.09875,0.00544,2.31946,2.61285,0.02772,0.00000,0.00000,
0.037,5.09875,0.00544,2.02443,0.01385,0.02772,0.00000,0.00000,
0.038,5.10000,0.00439,1.83372,1.77341,0.02239,0.00000,0.00000,
0.039,5.09750,0.00585,3.10918,0.02119,0.02984,0.00000,0.00000,
0.040,5.10125,0.00565,1.73185,0.00244,0.02880,0.00000,0.00000,
0.041,5.09875,0.00585,1.76364,2.24611,0.02985,0.00000,0.00000,
0.042,5.09875,0.00585,2.70250,2.80030,0.02985,0.00000,0.00000,
0.043,5.10125,0.00544,2.70250,2.80030,0.02773,0.00000,0.00000,
0.044,5.09750,0.00523,2.08068,1.96495,0.02665,0.00000,0.00000,
0.045,5.09750,0.00565,1.65933,1.83129,0.02878,0.00000,0.00000,
0.046,5.09750,0.00565,2.22575,0.00489,0.02878,0.00000,0.00000,
0.047,5.10125,0.00523,1.99510,0.78647,0.02667,0.00000,0.00000,
0.048,5.10000,0.00585,1.98614,1.67807,0.02986,0.00000,0.00000,
0.049,5.09875,0.00544,1.74816,0.00000,0.02772,0.00000,0.00000,
0.050,5.09875,0.00565,2.51589,1.30643,0.02879,0.00000,0.00000,
0.051,5.09875,0.00565,1.71475,1.15974,0.02879,0.00000,0.00000,
0.052,5.10375,0.00544,1.65362,1.25509,0.02775,0.00000,0.00000,
0.053,5.10125,0.00544,2.82477,2.45313,0.02773,0.00000,0.00000,
0.054,5.10125,0.00565,2.82477,2.45313,0.02880,0.00000,0.00000,
0.055,5.10000,0.00565,2.01959,1.84029,0.02879,0.00000,0.00000,
0.056,5.09750,0.00523,2.50045,1.05462,0.02665,0.00000,0.00000,
0.057,5.10000,0.00544,2.52327,1.35128,0.02773,0.00000,0.00000,
0.058,5.10000,0.00502,1.62757,2.18178,0.02559,0.00000,0.00000,
0.059,5.09875,0.00502,1.44175,1.62105,0.02559,0.00000,0.00000,
0.060,5.09625,0.00565,3.21032,0.01712,0.02877,0.00000,0.00000,
0.061,5.09875,0.00565,3.09948,0.01386,0.02879,0.00000,0.00000,
0.062,5.09750,0.00565,0.73269,1.03832,0.02878,0.00000,0.00000,
0.063,5.09750,0.00606,2.61129,2.83704,0.03091,0.00000,0.00000,
0.064,5.09875,0.00606,1.98944,1.07092,0.03092,0.00000,0.00000,
0.065,5.09875,0.00481,1.98944,1.07092,0.02452,0.00000,0.00000,
0.066,5.10125,0.00523,3.11985,0.09780,0.02667,0.00000,0.00000,
0.067,5.10125,0.00585,1.00816,1.49717,0.02987,0.00000,0.00000,
0.068,5.10000,0.00585,1.94705,1.67973,0.02986,0.00000,0.00000,
0.069,5.10125,0.00502,2.35211,1.28038,0.02560,0.00000,0.00000,
0.070,5.10125,0.00544,0.90466,1.00409,0.02773,0.00000,0.00000,
0.071,5.10000,0.00544,2.23312,0.00815,0.02773,0.00000,0.00000,
0.072,5.10000,0.00585,1.06848,2.05382,0.02986,0.00000,0.00000,
0.073,5.10000,0.00585,3.10273,0.02038,0.02986,0.00000,0.00000,
0.074,5.10000,0.00544,1.83947,1.94461,0.02773,0.00000,0.00000,
0.075,5.09875,0.00544,1.70826,1.17035,0.02772,0.00000,0.00000,
0.076,5.09750,0.00523,1.70826,1.17035,0.02665,0.00000,0.00000,
0.077,5.09750,0.00544,3.06038,1.64551,0.02771,0.00000,0.00000,
0.078,5.09750,0.00544,2.26248,2.39614,0.02771,0.00000,0.00000,
0.079,5.09875,0.00565,2.48742,1.14998,0.02879,0.00000,0.00000,
0.080,5.09875,0.00544,3.09787,0.02445,0.02772,0.00000,0.00000,
0.081,5.09875,0.00544,3.12232,0.15404,0.02772,0.00000,0.00000,
0.082,5.09750,0.00544,2.63412,2.85255,0.02771,0.00000,0.00000,
0.083,5.10125,0.00502,3.10765,0.02364,0.02560,0.00000,0.00000,
0.084,5.09875,0.00565,1.31788,1.75635,0.02879,0.00000,0.00000,
0.085,5.10000,0.00565,3.10276,0.04075,0.02879,0.00000,0.00000,
0.086,5.09750,0.00585,1.53875,0.01467,0.02984,0.00000,0.00000,
0.087,5.09875,0.00502,1.53875,0.01467,0.02559,0.00000,0.00000,
0.088,5.09875,0.00502,3.10194,0.01386,0.02559,0.00000,0.00000,
0.089,5.09750,0.00565,3.11661,0.51101,0.02878,0.00000,0.00000,
0.090,5.09875,0.00523,1.73679,0.00245,0.02665,0.00000,0.00000,
0.091,5.09875,0.00523,3.15329,0.01712,0.02665,0.00000,0.00000,
0.092,5.09875,0.00544,0.59252,0.93319,0.02772,0.00000,0.00000,
0.093,5.10000,0.00565,3.10520,0.77426,0.02879,0.00000,0.00000,
0.094,5.10125,0.00502,0.99921,1.84030,0.02560,0.00000,0.00000,
0.095,5.10000,0.00585,3.09868,0.03505,0.02986,0.00000,0.00000,
0.096,5.10000,0.00502,1.94462,1.91365,0.02559,0.00000,0.00000,
0.097,5.09875,0.00523,2.80528,0.01630,0.02665,0.00000,0.00000,
0.098,5.10125,0.00585,2.80528,0.01630,0.02987,0.00000,0.00000,
0.099,5.10250,0.00502,1.55425,2.53391,0.02561,0.00000,0.00000,
0.100,5.10250,0.00544,3.04411,1.46215,0.02774,0.00000,0.00000,
0.101,5.10000,0.00544,2.15981,0.00408,0.02773,0.00000,0.00000,
0.102,5.09875,0.00565,2.08075,0.00652,0.02879,0.00000,0.00000,
0.103,5.10125,0.00544,1.50861,0.01467,0.02773,0.00000,0.00000,
0.104,5.09875,0.00565,2.76619,1.45808,0.02879,0.00000,0.00000,
0.105,5.09875,0.00585,2.98869,1.91368,0.02985,0.00000,0.00000,
0.106,5.10000,0.00585,1.64390,0.00489,0.02986,0.00000,0.00000,
