Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09875,0.00502,2.06660,0.03098,0.02559,0.00000,0.00000,
0.000,5.09875,0.00585,1.67692,1.89459,0.02985,0.00000,0.00000,
0.000,5.10000,0.00523,0.47446,2.64460,0.02666,0.00000,0.00000,
0.000,5.10125,0.00502,1.88154,1.20246,0.02560,0.00000,0.00000,
0.000,5.09500,0.00585,2.06416,0.08723,0.02983,0.00000,0.00000,
0.001,5.09750,0.00565,2.18970,1.52121,0.02878,0.00000,0.00000,
0.002,5.09875,0.00544,2.18970,1.52121,0.02772,0.00000,0.00000,
0.003,5.09750,0.00585,1.46172,0.01386,0.02984,0.00000,0.00000,
0.004,5.09750,0.00502,2.63485,1.45194,0.02558,0.00000,0.00000,
0.005,5.09875,0.00502,0.87557,1.67450,0.02559,0.00000,0.00000,
0.006,5.09750,0.00585,2.05359,0.03995,0.02984,0.00000,0.00000,
0.007,5.09875,0.00544,1.79352,1.37857,0.02772,0.00000,0.00000,
0.008,5.10000,0.00502,1.81635,2.27125,0.02559,0.00000,0.00000,
0.009,5.10250,0.00544,1.24161,2.13266,0.02774,0.00000,0.00000,
0.010,5.09625,0.00544,2.17098,2.08049,0.02771,0.00000,0.00000,
0.011,5.09875,0.00606,2.68132,0.22011,0.03092,0.00000,0.00000,
0.012,5.10000,0.00606,1.51390,0.67909,0.03093,0.00000,0.00000,
0.013,5.10000,0.00565,1.51390,0.67909,0.02879,0.00000,0.00000,
0.014,5.09875,0.00565,2.68633,2.67003,0.02879,0.00000,0.00000,
0.015,5.09500,0.00544,1.38271,0.06848,0.02770,0.00000,0.00000,
0.016,5.09875,0.00481,2.92929,1.16014,0.02452,0.00000,0.00000,
0.017,5.09875,0.00502,2.10423,1.72349,0.02559,0.00000,0.00000,
0.018,5.09875,0.00606,2.63253,1.24982,0.03092,0.00000,0.00000,
0.019,5.10250,0.00544,1.61669,1.09247,0.02774,0.00000,0.00000,
0.020,5.09750,0.00544,1.97786,1.39494,0.02771,0.00000,0.00000,
0.021,5.09875,0.00585,2.18820,0.03343,0.02985,0.00000,0.00000,
0.022,5.09875,0.00544,1.32319,1.01665,0.02772,0.00000,0.00000,
0.023,5.09750,0.00544,2.11646,0.61309,0.02771,0.00000,0.00000,
0.024,5.09875,0.00481,2.11646,0.61309,0.02452,0.00000,0.00000,
0.025,5.10125,0.00523,2.23711,0.01141,0.02667,0.00000,0.00000,
0.026,5.09875,0.00523,2.56241,1.81969,0.02665,0.00000,0.00000,
0.027,5.10125,0.00544,1.11366,3.00592,0.02773,0.00000,0.00000,
0.028,5.09875,0.00585,0.77206,1.04274,0.02985,0.00000,0.00000,
0.029,5.09875,0.00544,2.11564,2.52572,0.02772,0.00000,0.00000,
0.030,5.09875,0.00544,2.44338,1.64278,0.02772,0.00000,0.00000,
0.031,5.09875,0.00585,1.36151,0.69788,0.02985,0.00000,0.00000,
0.032,5.09875,0.00585,1.40227,0.42965,0.02985,0.00000,0.00000,
0.033,5.09875,0.00606,2.86080,2.50045,0.03092,0.00000,0.00000,
0.034,5.09750,0.00565,2.70182,1.29629,0.02878,0.00000,0.00000,
0.035,5.09625,0.00565,2.70182,1.29629,0.02877,0.00000,0.00000,
0.036,5.09750,0.00585,2.20532,2.11075,0.02984,0.00000,0.00000,
0.037,5.09750,0.00523,0.87071,1.73980,0.02665,0.00000,0.00000,
0.038,5.09875,0.00439,0.63428,2.53469,0.02239,0.00000,0.00000,
0.039,5.10125,0.00565,1.72349,1.27591,0.02880,0.00000,0.00000,
0.040,5.10125,0.00523,2.18005,0.01631,0.02667,0.00000,0.00000,
0.041,5.10125,0.00523,1.25879,1.61832,0.02667,0.00000,0.00000,
0.042,5.10125,0.00565,2.45969,0.94898,0.02880,0.00000,0.00000,
0.043,5.09875,0.00544,2.60236,1.22862,0.02772,0.00000,0.00000,
0.044,5.09750,0.00565,3.20159,0.00734,0.02878,0.00000,0.00000,
0.045,5.09875,0.00585,2.65780,1.16258,0.02985,0.00000,0.00000,
0.046,5.10125,0.00544,2.65780,1.16258,0.02773,0.00000,0.00000,
0.047,5.09750,0.00523,2.35126,2.38142,0.02665,0.00000,0.00000,
0.048,5.10000,0.00606,3.11191,0.04402,0.03093,0.00000,0.00000,
0.049,5.10000,0.00523,1.50745,1.62240,0.02666,0.00000,0.00000,
0.050,5.09875,0.00523,1.54495,1.07372,0.02665,0.00000,0.00000,
0.051,5.09500,0.00523,2.40181,0.20871,0.02663,0.00000,0.00000,
0.052,5.10000,0.00565,2.65454,0.00815,0.02879,0.00000,0.00000,
0.053,5.09500,0.00544,3.10621,0.02120,0.02770,0.00000,0.00000,
0.054,5.09875,0.00565,2.05287,0.00897,0.02879,0.00000,0.00000,
0.055,5.09875,0.00544,2.63008,1.10307,0.02772,0.00000,0.00000,
0.056,5.09625,0.00565,1.39168,1.31097,0.02877,0.00000,0.00000,
0.057,5.09875,0.00523,1.39168,1.31097,0.02665,0.00000,0.00000,
0.058,5.09875,0.00585,1.70230,0.02690,0.02985,0.00000,0.00000,
0.059,5.09875,0.00585,2.91461,1.05089,0.02985,0.00000,0.00000,
0.060,5.09750,0.00502,0.49732,1.59876,0.02558,0.00000,0.00000,
0.061,5.09875,0.00544,2.15233,0.20953,0.02772,0.00000,0.00000,
0.062,5.09875,0.00544,1.16829,1.84986,0.02772,0.00000,0.00000,
