Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.10000,0.00544,1.79054,2.68133,0.02773,0.00000,0.00000,
0.000,5.09875,0.00565,1.26406,1.26650,0.02879,0.00000,0.00000,
0.000,5.10000,0.00565,1.46129,0.04238,0.02879,0.00000,0.00000,
0.000,5.10000,0.00648,2.89975,1.07498,0.03306,0.00000,0.00000,
0.000,5.09875,0.00565,2.14996,2.66504,0.02879,0.00000,0.00000,
0.000,5.09875,0.00544,2.05216,1.48655,0.02772,0.00000,0.00000,
0.000,5.09875,0.00544,2.26976,2.46781,0.02772,0.00000,0.00000,
0.000,5.10000,0.00565,2.33496,1.55664,0.02879,0.00000,0.00000,
0.000,5.10000,0.00565,2.15974,0.01222,0.02879,0.00000,0.00000,
0.000,5.09750,0.00544,2.04156,0.63407,0.02771,0.00000,0.00000,
0.000,5.10125,0.00606,2.04156,0.63407,0.03093,0.00000,0.00000,
0.000,5.10125,0.00481,2.27383,2.23552,0.02453,0.00000,0.00000,
0.000,5.09500,0.00544,2.03992,2.09779,0.02770,0.00000,0.00000,
0.000,5.09875,0.00565,1.90138,0.06438,0.02879,0.00000,0.00000,
0.000,5.09875,0.00565,1.17848,1.76283,0.02879,0.00000,0.00000,
0.000,5.09625,0.00565,3.17602,0.01630,0.02877,0.00000,0.00000,
0.000,5.09875,0.00523,1.90871,1.34229,0.02665,0.00000,0.00000,
0.000,5.10250,0.00606,2.58515,1.99673,0.03094,0.00000,0.00000,
0.000,5.10125,0.00544,2.16706,0.90057,0.02773,0.00000,0.00000,
0.000,5.09500,0.00523,1.86063,0.01059,0.02663,0.00000,0.00000,
0.000,5.09875,0.00544,2.02607,2.59819,0.02772,0.00000,0.00000,
0.000,5.09875,0.00502,2.02607,2.59819,0.02559,0.00000,0.00000,
0.000,5.09750,0.00585,1.78238,0.00978,0.02984,0.00000,0.00000,
0.000,5.09750,0.00544,2.05133,0.12225,0.02771,0.00000,0.00000,
0.000,5.09875,0.00544,1.21922,2.11897,0.02772,0.00000,0.00000,
0.000,5.10125,0.00585,1.45720,1.27138,0.02987,0.00000,0.00000,
0.000,5.09875,0.00523,0.73675,1.24204,0.02665,0.00000,0.00000,
0.000,5.09625,0.00523,2.05866,0.68296,0.02664,0.00000,0.00000,
0.000,5.10000,0.00544,0.80032,1.14343,0.02773,0.00000,0.00000,
0.001,5.09750,0.00565,2.06763,0.01222,0.02878,0.00000,0.00000,
0.002,5.09875,0.00502,3.12304,0.34393,0.02559,0.00000,0.00000,
0.003,5.10125,0.00606,1.93478,0.01956,0.03093,0.00000,0.00000,
0.004,5.10125,0.00460,1.93478,0.01956,0.02347,0.00000,0.00000,
0.005,5.09750,0.00460,1.61611,1.37814,0.02345,0.00000,0.00000,
0.006,5.09875,0.00544,1.96819,1.66827,0.02772,0.00000,0.00000,
0.007,5.09875,0.00585,1.88098,1.84594,0.02985,0.00000,0.00000,
0.008,5.09875,0.00565,1.33331,2.18579,0.02879,0.00000,0.00000,
0.009,5.09875,0.00585,2.68700,1.68050,0.02985,0.00000,0.00000,
0.010,5.09750,0.00565,1.42215,1.35695,0.02878,0.00000,0.00000,
0.011,5.10000,0.00627,1.64382,1.43274,0.03199,0.00000,0.00000,
0.012,5.09750,0.00585,1.28604,1.44986,0.02984,0.00000,0.00000,
0.013,5.09750,0.00481,1.34228,1.16543,0.02452,0.00000,0.00000,
0.015,5.09875,0.00481,2.19475,0.02526,0.02452,0.00000,0.00000,
0.015,5.09875,0.00544,2.19475,0.02526,0.02772,0.00000,0.00000,
0.016,5.09875,0.00544,3.10754,0.02934,0.02772,0.00000,0.00000,
0.017,5.10125,0.00544,1.43764,1.31946,0.02773,0.00000,0.00000,
0.018,5.10125,0.00523,2.95025,2.23958,0.02667,0.00000,0.00000,
0.019,5.09750,0.00606,2.80681,2.98937,0.03091,0.00000,0.00000,
0.020,5.10125,0.00544,3.10021,0.02363,0.02773,0.00000,0.00000,
0.021,5.09750,0.00606,3.09695,0.03097,0.03091,0.00000,0.00000,
0.022,5.10000,0.00502,0.76201,1.20048,0.02559,0.00000,0.00000,
0.023,5.10000,0.00502,2.32842,0.79217,0.02559,0.00000,0.00000,
0.024,5.09750,0.00502,1.66339,1.20537,0.02558,0.00000,0.00000,
0.025,5.10125,0.00544,2.18416,0.10106,0.02773,0.00000,0.00000,
0.026,5.09875,0.00544,2.18416,0.10106,0.02772,0.00000,0.00000,
0.027,5.10125,0.00565,0.57294,1.87203,0.02880,0.00000,0.00000,
0.028,5.09875,0.00585,1.11735,1.07089,0.02985,0.00000,0.00000,
0.029,5.10125,0.00523,2.10022,2.01628,0.02667,0.00000,0.00000,
0.030,5.09875,0.00606,2.35613,0.01304,0.03092,0.00000,0.00000,
0.031,5.09875,0.00544,1.73918,1.29909,0.02772,0.00000,0.00000,
0.032,5.09875,0.00544,1.27627,2.88424,0.02772,0.00000,0.00000,
0.033,5.09750,0.00544,1.37325,1.20537,0.02771,0.00000,0.00000,
0.034,5.09875,0.00544,2.87039,1.01384,0.02772,0.00000,0.00000,
0.035,5.10000,0.00502,1.55581,1.93234,0.02559,0.00000,0.00000,
0.036,5.09750,0.00565,1.70740,0.39853,0.02878,0.00000,0.00000,
0.037,5.09875,0.00627,1.70740,0.39853,0.03198,0.00000,0.00000,
0.038,5.09875,0.00544,2.97959,0.01304,0.02772,0.00000,0.00000,
0.039,5.09875,0.00544,2.94291,1.10757,0.02772,0.00000,0.00000,
0.040,5.09750,0.00544,2.09288,0.00407,0.02771,0.00000,0.00000,
0.041,5.09750,0.00523,2.18742,2.14830,0.02665,0.00000,0.00000,
0.042,5.10000,0.00523,1.53462,0.66177,0.02666,0.00000,0.00000,
0.043,5.09875,0.00523,2.27463,0.83862,0.02665,0.00000,0.00000,
0.044,5.09875,0.00502,0.68133,1.20373,0.02559,0.00000,0.00000,
0.045,5.10000,0.00523,1.34880,1.10594,0.02666,0.00000,0.00000,
0.046,5.09750,0.00585,1.34880,1.10594,0.02984,0.00000,0.00000,
0.047,5.09875,0.00523,3.10265,0.01548,0.02665,0.00000,0.00000,
0.048,5.10000,0.00544,2.07088,0.06520,0.02773,0.00000,0.00000,
0.049,5.09875,0.00523,2.07088,0.06520,0.02665,0.00000,0.00000,
0.050,5.09875,0.00523,1.86875,1.42785,0.02665,0.00000,0.00000,
0.051,5.10000,0.00523,2.57045,2.89808,0.02666,0.00000,0.00000,
0.052,5.09750,0.00544,0.41564,2.66581,0.02771,0.00000,0.00000,
0.053,5.10000,0.00523,2.71471,1.62019,0.02666,0.00000,0.00000,
0.054,5.09625,0.00544,2.24935,1.98204,0.02771,0.00000,0.00000,
0.055,5.09750,0.00585,1.79622,2.02523,0.02984,0.00000,0.00000,
0.056,5.09750,0.00544,1.72450,2.28684,0.02771,0.00000,0.00000,
0.057,5.09875,0.00502,1.89565,1.50201,0.02559,0.00000,0.00000,
0.058,5.09875,0.00565,2.92497,2.18089,0.02879,0.00000,0.00000,
0.059,5.09875,0.00606,1.78318,1.07741,0.03092,0.00000,0.00000,
0.060,5.09875,0.00606,1.78318,1.07741,0.03092,0.00000,0.00000,
0.061,5.09750,0.00565,2.27539,0.84268,0.02878,0.00000,0.00000,
0.062,5.09875,0.00585,2.44164,2.69999,0.02985,0.00000,0.00000,
0.063,5.09750,0.00502,1.48405,1.60223,0.02558,0.00000,0.00000,
0.064,5.09875,0.00585,2.89639,1.12628,0.02985,0.00000,0.00000,
