Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09875,0.00565,2.15754,0.82242,0.02879,0.00000,0.00000,
0.000,5.09750,0.00502,1.62284,2.09151,0.02558,0.00000,0.00000,
0.000,5.09750,0.00544,1.78667,1.25768,0.02771,0.00000,0.00000,
0.000,5.09625,0.00544,1.87796,2.08581,0.02771,0.00000,0.00000,
0.000,5.09875,0.00544,1.87796,2.08581,0.02772,0.00000,0.00000,
0.000,5.10125,0.00502,2.10204,0.04238,0.02560,0.00000,0.00000,
0.000,5.10000,0.00544,3.11108,0.62026,0.02773,0.00000,0.00000,
0.000,5.09875,0.00502,3.12493,0.32358,0.02559,0.00000,0.00000,
0.000,5.09875,0.00585,1.80780,0.88515,0.02985,0.00000,0.00000,
0.000,5.09750,0.00585,1.68717,0.16546,0.02984,0.00000,0.00000,
0.000,5.09875,0.00565,2.04498,0.02038,0.02879,0.00000,0.00000,
0.000,5.10125,0.00523,3.11515,0.12226,0.02667,0.00000,0.00000,
0.001,5.09875,0.00523,1.96185,0.61944,0.02665,0.00000,0.00000,
0.002,5.09750,0.00606,1.70103,0.97073,0.03091,0.00000,0.00000,
0.003,5.10000,0.00502,1.49645,1.00578,0.02559,0.00000,0.00000,
0.004,5.10125,0.00502,1.49645,1.00578,0.02560,0.00000,0.00000,
0.005,5.09875,0.00565,2.35126,0.08313,0.02879,0.00000,0.00000,
0.006,5.09875,0.00565,3.10921,0.06601,0.02879,0.00000,0.00000,
0.007,5.09875,0.00565,3.12469,0.33904,0.02879,0.00000,0.00000,
0.008,5.09875,0.00585,2.61939,1.96658,0.02985,0.00000,0.00000,
0.009,5.09875,0.00565,0.51182,2.23716,0.02879,0.00000,0.00000,
0.010,5.09500,0.00523,1.30644,0.83618,0.02663,0.00000,0.00000,
0.011,5.10125,0.00502,1.45558,0.82477,0.02560,0.00000,0.00000,
0.012,5.09875,0.00565,1.10269,2.04401,0.02879,0.00000,0.00000,
0.013,5.10000,0.00565,1.37408,1.56398,0.02879,0.00000,0.00000,
0.014,5.10250,0.00585,2.57375,1.78484,0.02987,0.00000,0.00000,
0.015,5.10250,0.00606,2.57375,1.78484,0.03094,0.00000,0.00000,
0.016,5.09875,0.00606,1.41076,0.01711,0.03092,0.00000,0.00000,
0.017,5.09875,0.00544,2.06031,0.00896,0.02772,0.00000,0.00000,
0.018,5.09875,0.00502,1.79054,1.93154,0.02559,0.00000,0.00000,
0.019,5.09875,0.00544,0.69682,1.77343,0.02772,0.00000,0.00000,
0.020,5.09875,0.00585,1.94784,1.97555,0.02985,0.00000,0.00000,
0.021,5.09875,0.00565,2.59821,2.74490,0.02879,0.00000,0.00000,
0.022,5.10000,0.00585,1.97555,1.65037,0.02986,0.00000,0.00000,
0.023,5.09750,0.00544,1.19641,1.67074,0.02771,0.00000,0.00000,
0.024,5.09750,0.00460,2.09617,1.92013,0.02345,0.00000,0.00000,
0.025,5.10000,0.00460,2.43113,0.92665,0.02346,0.00000,0.00000,
0.026,5.09625,0.00544,2.43113,0.92665,0.02771,0.00000,0.00000,
0.027,5.09750,0.00585,2.64877,1.35454,0.02984,0.00000,0.00000,
0.028,5.09875,0.00606,2.57949,2.08315,0.03092,0.00000,0.00000,
0.029,5.09500,0.00565,3.03019,0.44092,0.02876,0.00000,0.00000,
0.030,5.10000,0.00565,1.75308,0.14670,0.02879,0.00000,0.00000,
0.031,5.09750,0.00544,2.41730,2.60150,0.02771,0.00000,0.00000,
0.032,5.09875,0.00544,2.27875,0.60718,0.02772,0.00000,0.00000,
0.033,5.09750,0.00502,2.07745,1.37002,0.02558,0.00000,0.00000,
0.034,5.09750,0.00502,0.99431,1.05951,0.02558,0.00000,0.00000,
0.035,5.09625,0.00627,0.70579,0.95274,0.03197,0.00000,0.00000,
0.036,5.09750,0.00544,0.66586,2.04892,0.02771,0.00000,0.00000,
0.037,5.09875,0.00565,0.66586,2.04892,0.02879,0.00000,0.00000,
0.038,5.09875,0.00544,2.86311,1.25022,0.02772,0.00000,0.00000,
0.039,5.09875,0.00544,2.38470,1.50613,0.02772,0.00000,0.00000,
0.040,5.10000,0.00565,0.45803,1.73351,0.02879,0.00000,0.00000,
0.041,5.09625,0.00585,2.04485,1.40588,0.02984,0.00000,0.00000,
0.042,5.10500,0.00523,1.46212,0.47759,0.02669,0.00000,0.00000,
0.043,5.10500,0.00585,1.45560,1.94786,0.02989,0.00000,0.00000,
0.044,5.10000,0.00585,0.59821,2.38470,0.02986,0.00000,0.00000,
0.045,5.09875,0.00544,2.50451,1.70499,0.02772,0.00000,0.00000,
0.046,5.09875,0.00544,2.33906,0.07254,0.02772,0.00000,0.00000,
0.047,5.10125,0.00502,3.10354,0.03994,0.02560,0.00000,0.00000,
0.048,5.10000,0.00565,3.10354,0.03994,0.02879,0.00000,0.00000,
0.049,5.09875,0.00481,0.88102,1.52080,0.02452,0.00000,0.00000,
0.050,5.10000,0.00544,0.60881,2.96010,0.02773,0.00000,0.00000,
0.051,5.09875,0.00544,1.14671,1.94216,0.02772,0.00000,0.00000,
0.052,5.09875,0.00565,2.41323,1.53221,0.02879,0.00000,0.00000,
0.053,5.09875,0.00565,1.64224,0.02119,0.02879,0.00000,0.00000,
0.054,5.10000,0.00627,0.49797,1.89408,0.03199,0.00000,0.00000,
0.055,5.09750,0.00606,0.62267,2.46866,0.03091,0.00000,0.00000,
0.056,5.10125,0.00544,0.75796,2.80362,0.02773,0.00000,0.00000,
0.057,5.09875,0.00606,0.64956,2.95032,0.03092,0.00000,0.00000,
0.058,5.10000,0.00523,3.06606,0.38224,0.02666,0.00000,0.00000,
0.059,5.09750,0.00544,3.06606,0.38224,0.02771,0.00000,0.00000,
0.060,5.09750,0.00544,2.07501,0.11573,0.02771,0.00000,0.00000,
0.061,5.09750,0.00565,3.10110,0.02282,0.02878,0.00000,0.00000,
0.062,5.09625,0.00565,3.11333,0.08965,0.02877,0.00000,0.00000,
0.063,5.09750,0.00544,1.47842,1.68788,0.02771,0.00000,0.00000,
0.064,5.09875,0.00523,1.20703,1.36514,0.02665,0.00000,0.00000,
0.065,5.09625,0.00585,1.90141,2.09375,0.02984,0.00000,0.00000,
0.066,5.09750,0.00565,0.51508,2.40753,0.02878,0.00000,0.00000,
0.067,5.09500,0.00481,2.81585,0.14752,0.02450,0.00000,0.00000,
0.068,5.09875,0.00565,3.05954,0.33904,0.02879,0.00000,0.00000,
