Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09875,0.00585,3.10095,0.01956,0.02985,0.00000,0.00000,
0.000,5.09750,0.00565,1.45972,0.02282,0.02878,0.00000,0.00000,
0.000,5.10000,0.00565,3.08978,0.01467,0.02879,0.00000,0.00000,
0.000,5.10125,0.00544,1.55100,2.11745,0.02773,0.00000,0.00000,
0.000,5.10125,0.00606,1.61702,1.71075,0.03093,0.00000,0.00000,
0.000,5.09875,0.00606,1.58442,1.66755,0.03092,0.00000,0.00000,
0.000,5.10000,0.00502,0.96907,1.95607,0.02559,0.00000,0.00000,
0.000,5.10125,0.00565,3.21530,0.01712,0.02880,0.00000,0.00000,
0.000,5.09750,0.00502,2.16309,0.69196,0.02558,0.00000,0.00000,
0.000,5.09750,0.00523,3.10282,0.00978,0.02665,0.00000,0.00000,
0.000,5.09750,0.00585,3.15499,0.01467,0.02984,0.00000,0.00000,
0.000,5.10125,0.00544,3.15499,0.01467,0.02773,0.00000,0.00000,
0.000,5.09875,0.00544,0.63898,0.02119,0.02772,0.00000,0.00000,
0.000,5.09875,0.00544,3.09793,0.02445,0.02772,0.00000,0.00000,
0.000,5.09750,0.00544,3.10689,0.02608,0.02771,0.00000,0.00000,
0.000,5.10000,0.00502,3.10037,0.01875,0.02559,0.00000,0.00000,
0.000,5.10000,0.00544,1.39696,2.07262,0.02773,0.00000,0.00000,
0.000,5.10125,0.00523,3.09874,0.01467,0.02667,0.00000,0.00000,
0.000,5.09750,0.00544,1.84604,0.01304,0.02771,0.00000,0.00000,
0.000,5.10000,0.00565,3.11260,0.06928,0.02879,0.00000,0.00000,
0.000,5.10125,0.00585,1.10436,1.53796,0.02987,0.00000,0.00000,
0.000,5.10125,0.00544,1.52247,0.01630,0.02773,0.00000,0.00000,
0.001,5.09750,0.00585,1.52247,0.01630,0.02984,0.00000,0.00000,
0.002,5.09750,0.00585,3.11016,0.82318,0.02984,0.00000,0.00000,
0.003,5.10000,0.00523,1.79796,1.97890,0.02666,0.00000,0.00000,
0.004,5.10125,0.00565,1.79633,0.01630,0.02880,0.00000,0.00000,
0.005,5.10000,0.00502,2.49237,2.74503,0.02559,0.00000,0.00000,
0.006,5.10000,0.00502,2.36767,1.30976,0.02559,0.00000,0.00000,
0.007,5.09875,0.00502,2.39212,0.00978,0.02559,0.00000,0.00000,
0.008,5.10000,0.00544,2.83468,0.97559,0.02773,0.00000,0.00000,
0.009,5.09750,0.00523,3.12157,0.31786,0.02665,0.00000,0.00000,
0.010,5.10125,0.00502,0.62920,1.24863,0.02560,0.00000,0.00000,
0.011,5.10125,0.00585,2.98872,0.01875,0.02987,0.00000,0.00000,
0.012,5.10000,0.00585,2.98872,0.01875,0.02986,0.00000,0.00000,
0.013,5.09750,0.00585,2.87381,1.23152,0.02984,0.00000,0.00000,
0.014,5.09875,0.00523,1.34807,0.01467,0.02665,0.00000,0.00000,
0.015,5.10000,0.00523,2.53150,2.88115,0.02666,0.00000,0.00000,
0.016,5.09750,0.00544,1.72950,0.00897,0.02771,0.00000,0.00000,
0.017,5.09750,0.00565,2.63419,1.24456,0.02878,0.00000,0.00000,
0.018,5.09875,0.00523,0.79466,0.93810,0.02665,0.00000,0.00000,
0.019,5.10125,0.00606,3.10284,0.04564,0.03093,0.00000,0.00000,
0.020,5.10125,0.00606,2.89663,2.11827,0.03093,0.00000,0.00000,
0.021,5.09750,0.00523,2.52172,0.41974,0.02665,0.00000,0.00000,
0.022,5.10000,0.00544,3.09876,0.02038,0.02773,0.00000,0.00000,
0.023,5.09875,0.00544,3.09876,0.02038,0.02772,0.00000,0.00000,
0.024,5.10125,0.00523,1.58771,1.31304,0.02667,0.00000,0.00000,
0.025,5.09625,0.00544,2.31148,2.77035,0.02771,0.00000,0.00000,
0.026,5.10000,0.00544,3.10778,0.08069,0.02773,0.00000,0.00000,
0.027,5.09875,0.00502,2.44107,1.42959,0.02559,0.00000,0.00000,
0.028,5.09875,0.00565,3.11593,0.13367,0.02879,0.00000,0.00000,
0.029,5.09875,0.00565,3.11185,0.11166,0.02879,0.00000,0.00000,
0.030,5.10125,0.00565,0.78489,1.54941,0.02880,0.00000,0.00000,
0.031,5.09750,0.00565,3.09066,0.02119,0.02878,0.00000,0.00000,
0.032,5.09875,0.00502,3.09555,0.00897,0.02559,0.00000,0.00000,
0.033,5.09875,0.00585,1.45975,0.01060,0.02985,0.00000,0.00000,
0.034,5.10125,0.00544,1.45975,0.01060,0.02773,0.00000,0.00000,
0.035,5.10000,0.00544,3.10129,0.00734,0.02773,0.00000,0.00000,
0.036,5.10125,0.00523,0.48822,1.88685,0.02667,0.00000,0.00000,
0.037,5.10000,0.00544,3.10781,0.07662,0.02773,0.00000,0.00000,
0.038,5.10000,0.00481,3.11922,0.37737,0.02453,0.00000,0.00000,
0.039,5.10000,0.00481,2.24548,1.73036,0.02453,0.00000,0.00000,
0.040,5.10250,0.00585,1.86648,2.52830,0.02987,0.00000,0.00000,
0.041,5.10000,0.00481,3.10455,0.01630,0.02453,0.00000,0.00000,
0.042,5.10000,0.00544,3.10455,0.01630,0.02773,0.00000,0.00000,
0.043,5.09750,0.00544,3.15589,0.00815,0.02771,0.00000,0.00000,
0.044,5.10000,0.00544,2.36855,0.15160,0.02773,0.00000,0.00000,
0.045,5.10125,0.00565,2.14360,0.01793,0.02880,0.00000,0.00000,
0.046,5.10125,0.00565,2.14360,0.01793,0.02880,0.00000,0.00000,
0.047,5.10125,0.00460,3.07520,1.15167,0.02347,0.00000,0.00000,
0.048,5.10125,0.00460,2.22510,1.61707,0.02347,0.00000,0.00000,
0.049,5.09750,0.00606,3.01978,1.90478,0.03091,0.00000,0.00000,
0.050,5.10000,0.00544,3.10373,0.02771,0.02773,0.00000,0.00000,
0.051,5.09750,0.00544,2.82090,0.01956,0.02771,0.00000,0.00000,
0.052,5.10250,0.00502,0.69280,1.45895,0.02561,0.00000,0.00000,
0.053,5.09750,0.00585,2.99858,0.73273,0.02984,0.00000,0.00000,
0.054,5.09750,0.00523,3.11595,0.08803,0.02665,0.00000,0.00000,
0.055,5.09875,0.00606,1.63744,0.01060,0.03092,0.00000,0.00000,
0.056,5.09875,0.00585,3.11269,0.63004,0.02985,0.00000,0.00000,
0.057,5.10125,0.00585,3.11269,0.63004,0.02987,0.00000,0.00000,
0.058,5.09875,0.00502,3.17052,0.00978,0.02559,0.00000,0.00000,
0.059,5.09750,0.00565,1.72056,1.64883,0.02878,0.00000,0.00000,
0.060,5.10000,0.00606,1.64476,1.50864,0.03093,0.00000,0.00000,
0.061,5.10000,0.00481,3.09227,0.02119,0.02453,0.00000,0.00000,
0.062,5.09875,0.00627,0.69768,1.22175,0.03198,0.00000,0.00000,
0.063,5.09875,0.00544,2.59428,1.30162,0.02772,0.00000,0.00000,
0.064,5.10125,0.00585,3.10205,0.02038,0.02987,0.00000,0.00000,
0.065,5.10125,0.00544,1.02043,1.59667,0.02773,0.00000,0.00000,
