Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09125,0.03973,2.16500,1.92200,0.20227,0.00000,0.00000,
0.000,5.09375,0.03973,2.22942,0.84725,0.20237,0.00000,0.00000,
0.000,5.09500,0.03994,1.65454,1.34548,0.20348,0.00000,0.00000,
0.000,5.09125,0.04036,1.11063,1.54527,0.20546,0.00000,0.00000,
0.000,5.09125,0.04161,3.12723,0.40854,0.21185,0.00000,0.00000,
0.000,5.09500,0.04161,1.88612,1.13999,0.21201,0.00000,0.00000,
0.000,5.09125,0.04182,0.56836,1.43844,0.21292,0.00000,0.00000,
0.000,5.09250,0.04036,1.19707,1.13754,0.20551,0.00000,0.00000,
0.000,5.09125,0.03994,1.99784,1.16772,0.20333,0.00000,0.00000,
0.000,5.09250,0.03994,1.99784,1.16772,0.20338,0.00000,0.00000,
0.000,5.09500,0.03889,0.55266,2.58072,0.19816,0.00000,0.00000,
0.000,5.09375,0.03952,1.41997,0.79557,0.20130,0.00000,0.00000,
0.000,5.09125,0.04036,1.98078,1.95470,0.20546,0.00000,0.00000,
0.000,5.09125,0.03952,1.34335,2.06230,0.20121,0.00000,0.00000,
0.001,5.09375,0.03952,1.81042,0.00978,0.20130,0.00000,0.00000,
0.002,5.09000,0.03994,3.11708,0.53636,0.20328,0.00000,0.00000,
0.003,5.09250,0.03847,1.99627,1.41834,0.19593,0.00000,0.00000,
0.004,5.09125,0.03973,2.29543,0.08559,0.20227,0.00000,0.00000,
0.005,5.09375,0.03952,2.94264,0.01467,0.20130,0.00000,0.00000,
0.006,5.09250,0.03952,3.10078,0.02771,0.20125,0.00000,0.00000,
0.007,5.09375,0.03931,3.10078,0.02771,0.20024,0.00000,0.00000,
0.008,5.09125,0.03952,1.38655,0.01304,0.20121,0.00000,0.00000,
0.009,5.09125,0.03931,2.65816,1.57077,0.20014,0.00000,0.00000,
0.010,5.09375,0.03931,3.11301,0.00815,0.20024,0.00000,0.00000,
0.011,5.08875,0.03994,1.89275,0.01141,0.20323,0.00000,0.00000,
0.012,5.09250,0.03973,1.71912,0.01630,0.20232,0.00000,0.00000,
0.013,5.09125,0.04077,3.11301,0.10841,0.20759,0.00000,0.00000,
0.014,5.09000,0.04224,3.11871,0.09863,0.21499,0.00000,0.00000,
0.015,5.09125,0.04057,0.58608,2.58317,0.20653,0.00000,0.00000,
0.016,5.09375,0.04098,3.10486,0.03750,0.20876,0.00000,0.00000,
0.017,5.09500,0.04077,1.47703,0.01467,0.20775,0.00000,0.00000,
0.018,5.09500,0.03764,1.47703,0.01467,0.19177,0.00000,0.00000,
0.019,5.09250,0.03764,2.29544,1.39471,0.19167,0.00000,0.00000,
0.020,5.09500,0.03931,3.09918,0.01712,0.20029,0.00000,0.00000,
0.021,5.09375,0.03994,3.13667,0.01467,0.20343,0.00000,0.00000,
0.022,5.09500,0.03910,1.69305,1.55122,0.19922,0.00000,0.00000,
0.023,5.09375,0.03680,3.21004,0.01630,0.18746,0.00000,0.00000,
0.024,5.09500,0.03555,2.25143,2.42424,0.18111,0.00000,0.00000,
0.025,5.09125,0.03450,0.59750,1.77375,0.17566,0.00000,0.00000,
0.026,5.09375,0.03492,3.09918,0.00489,0.17787,0.00000,0.00000,
0.027,5.09375,0.03597,2.46255,1.18766,0.18320,0.00000,0.00000,
0.028,5.09250,0.03597,2.60031,2.58156,0.18315,0.00000,0.00000,
0.029,5.09250,0.03659,2.60031,2.58156,0.18635,0.00000,0.00000,
0.030,5.09125,0.03617,3.10653,0.04157,0.18417,0.00000,0.00000,
0.031,5.09250,0.03597,1.65475,0.01467,0.18315,0.00000,0.00000,
0.032,5.09500,0.03597,2.06885,0.71325,0.18324,0.00000,0.00000,
0.033,5.09625,0.03617,2.46501,1.77865,0.18435,0.00000,0.00000,
0.034,5.09500,0.03638,3.12283,0.83227,0.18537,0.00000,0.00000,
0.035,5.09500,0.03764,1.04828,2.74786,0.19177,0.00000,0.00000,
0.036,5.09500,0.03764,3.10001,0.01712,0.19177,0.00000,0.00000,
0.037,5.09375,0.03764,1.61970,0.00734,0.19172,0.00000,0.00000,
0.038,5.09250,0.03764,1.39146,0.01223,0.19167,0.00000,0.00000,
0.039,5.09250,0.03722,1.73545,0.87139,0.18954,0.00000,0.00000,
0.040,5.09250,0.03722,1.73545,0.87139,0.18954,0.00000,0.00000,
0.041,5.09500,0.03701,0.50051,1.76402,0.18857,0.00000,0.00000,
0.042,5.09500,0.03011,1.94498,1.13471,0.15341,0.00000,0.00000,
0.043,5.10000,0.00648,2.95497,2.25964,0.03306,0.00000,0.00000,
0.044,5.09750,0.00565,0.91625,1.79173,0.02878,0.00000,0.00000,
0.045,5.09750,0.00585,2.81884,1.00917,0.02984,0.00000,0.00000,
0.046,5.09875,0.00585,3.12045,0.01630,0.02985,0.00000,0.00000,
0.047,5.09625,0.00544,1.59446,0.00978,0.02771,0.00000,0.00000,
0.048,5.09625,0.00565,2.04525,1.63604,0.02877,0.00000,0.00000,
0.049,5.09875,0.00523,0.94559,0.94233,0.02665,0.00000,0.00000,
0.050,5.09875,0.00544,1.90912,1.93113,0.02772,0.00000,0.00000,
0.051,5.09875,0.00606,1.90912,1.93113,0.03092,0.00000,0.00000,
0.052,5.10250,0.00502,1.78528,2.09261,0.02561,0.00000,0.00000,
0.053,5.09875,0.00481,1.37768,0.98720,0.02452,0.00000,0.00000,
0.054,5.10125,0.00544,3.10427,0.02201,0.02773,0.00000,0.00000,
0.055,5.10125,0.00544,3.10590,0.08152,0.02773,0.00000,0.00000,
0.056,5.09750,0.00544,1.29861,0.01060,0.02771,0.00000,0.00000,
0.057,5.09750,0.00585,3.10835,0.06848,0.02984,0.00000,0.00000,
0.058,5.09625,0.00585,1.71110,0.00734,0.02984,0.00000,0.00000,
0.059,5.09875,0.00565,1.37198,1.18937,0.02879,0.00000,0.00000,
0.060,5.09875,0.00565,1.98582,2.56379,0.02879,0.00000,0.00000,
0.061,5.10250,0.00544,1.31247,0.01549,0.02774,0.00000,0.00000,
0.062,5.09875,0.00523,1.31247,0.01549,0.02665,0.00000,0.00000,
0.063,5.09625,0.00565,3.10474,0.01631,0.02877,0.00000,0.00000,
0.064,5.09625,0.00523,1.03138,1.32082,0.02664,0.00000,0.00000,
0.065,5.09875,0.00523,2.35628,1.53851,0.02665,0.00000,0.00000,
0.066,5.10000,0.00565,3.09985,0.02201,0.02879,0.00000,0.00000,
0.067,5.10000,0.00565,1.24418,2.71746,0.02879,0.00000,0.00000,
0.068,5.09875,0.00565,1.69016,1.62656,0.02879,0.00000,0.00000,
0.069,5.09875,0.00544,1.64776,0.13942,0.02772,0.00000,0.00000,
0.070,5.10125,0.00544,2.03015,0.15817,0.02773,0.00000,0.00000,
0.071,5.09875,0.00565,3.10311,0.02935,0.02879,0.00000,0.00000,
0.072,5.09500,0.00606,1.18058,1.51650,0.03090,0.00000,0.00000,
0.073,5.09500,0.00460,1.18058,1.51650,0.02344,0.00000,0.00000,
0.074,5.09875,0.00460,0.74031,1.33304,0.02346,0.00000,0.00000,
0.075,5.09875,0.00544,1.65917,0.01223,0.02772,0.00000,0.00000,
0.076,5.09750,0.00585,1.00773,1.32897,0.02984,0.00000,0.00000,
0.077,5.09750,0.00565,3.09984,0.01875,0.02878,0.00000,0.00000,
0.078,5.10125,0.00565,0.76966,1.18303,0.02880,0.00000,0.00000,
0.079,5.09750,0.00523,1.94535,0.73623,0.02665,0.00000,0.00000,
0.080,5.10000,0.00544,1.61596,1.96899,0.02773,0.00000,0.00000,
0.081,5.09875,0.00585,3.09984,0.02120,0.02985,0.00000,0.00000,
0.082,5.09875,0.00585,1.43659,2.96450,0.02985,0.00000,0.00000,
0.083,5.09875,0.00585,3.17485,0.00897,0.02985,0.00000,0.00000,
0.084,5.10000,0.00585,3.17485,0.00897,0.02986,0.00000,0.00000,
0.085,5.09750,0.00544,3.12675,0.51528,0.02771,0.00000,0.00000,
0.086,5.10125,0.00585,2.11657,2.60250,0.02987,0.00000,0.00000,
0.087,5.10000,0.00523,1.81816,0.01305,0.02666,0.00000,0.00000,
0.088,5.09750,0.00544,0.49082,1.67222,0.02771,0.00000,0.00000,
0.089,5.10125,0.00565,1.71951,1.17977,0.02880,0.00000,0.00000,
0.090,5.10000,0.00585,3.12022,0.22340,0.02986,0.00000,0.00000,
0.091,5.10000,0.00544,3.09821,0.01223,0.02773,0.00000,0.00000,
0.092,5.09875,0.00544,1.53688,0.00489,0.02772,0.00000,0.00000,
0.093,5.09875,0.00481,2.55765,2.89030,0.02452,0.00000,0.00000,
0.094,5.09875,0.00481,1.12188,1.75130,0.02452,0.00000,0.00000,
0.095,5.09875,0.00544,1.12188,1.75130,0.02772,0.00000,0.00000,
0.096,5.09875,0.00565,1.94698,2.91558,0.02879,0.00000,0.00000,
0.097,5.09750,0.00585,0.97023,0.92539,0.02984,0.00000,0.00000,
0.098,5.09875,0.00585,0.57072,1.42029,0.02985,0.00000,0.00000,
0.099,5.09875,0.00565,2.06520,1.96003,0.02879,0.00000,0.00000,
0.100,5.09875,0.00565,2.60495,1.45942,0.02879,0.00000,0.00000,
0.101,5.10000,0.00565,3.09577,0.01468,0.02879,0.00000,0.00000,
0.102,5.10125,0.00565,1.71054,0.01305,0.02880,0.00000,0.00000,
0.103,5.09875,0.00565,2.16223,0.95637,0.02879,0.00000,0.00000,
0.104,5.09750,0.00585,0.85201,2.68077,0.02984,0.00000,0.00000,
0.105,5.09625,0.00585,3.11452,0.18997,0.02984,0.00000,0.00000,
0.106,5.09875,0.00523,3.11452,0.18997,0.02665,0.00000,0.00000,
0.107,5.09875,0.00460,3.11048,0.04321,0.02346,0.00000,0.00000,
0.108,5.09875,0.00565,2.38158,1.59315,0.02879,0.00000,0.00000,
0.109,5.09875,0.00523,0.76478,1.28741,0.02665,0.00000,0.00000,
0.110,5.10125,0.00523,2.33184,2.52752,0.02667,0.00000,0.00000,
0.111,5.10000,0.00544,3.10559,0.04729,0.02773,0.00000,0.00000,
0.112,5.09625,0.00585,2.19079,1.65267,0.02984,0.00000,0.00000,
0.113,5.09875,0.00544,1.66001,2.73299,0.02772,0.00000,0.00000,
0.114,5.10125,0.00523,0.68162,2.00245,0.02667,0.00000,0.00000,
0.115,5.09750,0.00544,2.28455,0.01386,0.02771,0.00000,0.00000,
0.116,5.09875,0.00544,2.91317,1.43661,0.02772,0.00000,0.00000,
0.117,5.10125,0.00523,2.91317,1.43661,0.02667,0.00000,0.00000,
0.118,5.10125,0.00523,2.08809,0.66369,0.02667,0.00000,0.00000,
0.119,5.09625,0.00523,2.33188,0.07909,0.02664,0.00000,0.00000,
0.120,5.09750,0.00523,3.07465,1.38119,0.02665,0.00000,0.00000,
0.121,5.09750,0.00502,1.23687,1.26786,0.02558,0.00000,0.00000,
0.122,5.09750,0.00565,2.34492,1.33227,0.02878,0.00000,0.00000,
0.123,5.09875,0.00585,0.54220,2.65720,0.02985,0.00000,0.00000,
0.124,5.09875,0.00565,0.78844,1.20834,0.02879,0.00000,0.00000,
0.125,5.09875,0.00544,0.78844,1.20834,0.02772,0.00000,0.00000,
0.126,5.09625,0.00544,3.09993,0.01468,0.02771,0.00000,0.00000,
0.127,5.09625,0.00523,0.44518,2.81293,0.02664,0.00000,0.00000,
0.128,5.09500,0.00523,1.55893,1.06565,0.02663,0.00000,0.00000,
0.129,5.09875,0.00544,1.55893,1.06565,0.02772,0.00000,0.00000,
0.130,5.09875,0.00481,2.97272,1.16023,0.02452,0.00000,0.00000,
0.131,5.10125,0.00606,1.54262,2.36122,0.03093,0.00000,0.00000,
0.132,5.09875,0.00565,1.38037,1.25888,0.02879,0.00000,0.00000,
0.133,5.09625,0.00523,3.21406,0.00489,0.02664,0.00000,0.00000,
0.134,5.09875,0.00544,1.23279,1.16349,0.02772,0.00000,0.00000,
0.135,5.09875,0.00565,3.10562,0.02935,0.02879,0.00000,0.00000,
0.136,5.09875,0.00565,0.54302,2.14760,0.02879,0.00000,0.00000,
0.137,5.10000,0.00565,3.10318,0.03180,0.02879,0.00000,0.00000,
0.138,5.09625,0.00565,3.10073,0.00489,0.02877,0.00000,0.00000,
0.139,5.10000,0.00544,2.15575,2.03427,0.02773,0.00000,0.00000,
0.140,5.09875,0.00606,2.15575,2.03427,0.03092,0.00000,0.00000,
0.141,5.10125,0.00502,1.08112,2.85854,0.02560,0.00000,0.00000,
0.142,5.10000,0.00544,3.10395,0.01957,0.02773,0.00000,0.00000,
0.143,5.09875,0.00585,1.00041,1.57114,0.02985,0.00000,0.00000,
0.144,5.09750,0.00544,2.28781,0.01386,0.02771,0.00000,0.00000,
0.145,5.09750,0.00544,2.73379,0.88463,0.02771,0.00000,0.00000,
0.146,5.09875,0.00544,2.16470,0.01060,0.02772,0.00000,0.00000,
0.147,5.09750,0.00544,2.15736,0.89360,0.02771,0.00000,0.00000,
0.148,5.09875,0.00523,2.23155,1.96983,0.02665,0.00000,0.00000,
0.149,5.09875,0.00627,1.70240,1.33062,0.03198,0.00000,0.00000,
0.150,5.09750,0.00523,2.01468,0.59111,0.02665,0.00000,0.00000,
0.151,5.10125,0.00565,2.01468,0.59111,0.02880,0.00000,0.00000,
0.152,5.09750,0.00544,2.48098,0.01794,0.02771,0.00000,0.00000,
0.153,5.09875,0.00544,3.09654,1.52544,0.02772,0.00000,0.00000,
0.154,5.09875,0.00544,2.00647,0.01060,0.02772,0.00000,0.00000,
0.155,5.09875,0.00544,0.87156,2.30243,0.02772,0.00000,0.00000,
0.156,5.09625,0.00460,2.06028,0.01549,0.02344,0.00000,0.00000,
0.157,5.09750,0.00502,3.06148,1.34200,0.02558,0.00000,0.00000,
0.158,5.10125,0.00565,3.10224,0.01468,0.02880,0.00000,0.00000,
