Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.09875,0.00544,3.09957,1.03591,0.02772,0.00000,0.00000,
0.000,5.10125,0.00544,3.11669,0.01223,0.02773,0.00000,0.00000,
0.000,5.10000,0.00585,2.22341,0.14100,0.02986,0.00000,0.00000,
0.000,5.09750,0.00565,3.10854,0.98212,0.02878,0.00000,0.00000,
0.000,5.09875,0.00544,3.09876,0.01793,0.02772,0.00000,0.00000,
0.000,5.10125,0.00481,3.10039,0.04320,0.02453,0.00000,0.00000,
0.000,5.10000,0.00565,3.15255,0.01304,0.02879,0.00000,0.00000,
0.000,5.09875,0.00544,2.88522,0.01141,0.02772,0.00000,0.00000,
0.000,5.09875,0.00585,2.17777,0.83786,0.02985,0.00000,0.00000,
0.000,5.09875,0.00585,3.08653,1.37741,0.02985,0.00000,0.00000,
0.000,5.10125,0.00585,3.10447,0.03994,0.02987,0.00000,0.00000,
0.000,5.09875,0.00544,3.10447,0.03994,0.02772,0.00000,0.00000,
0.001,5.10125,0.00502,2.84202,2.48177,0.02560,0.00000,0.00000,
0.002,5.10000,0.00523,2.11093,0.93892,0.02666,0.00000,0.00000,
0.003,5.09750,0.00544,1.56894,1.45972,0.02771,0.00000,0.00000,
0.004,5.10125,0.00606,3.12157,0.39040,0.03093,0.00000,0.00000,
0.005,5.10125,0.00544,0.93321,1.45728,0.02773,0.00000,0.00000,
0.006,5.10125,0.00585,3.21449,0.01549,0.02987,0.00000,0.00000,
0.007,5.10125,0.00585,0.45723,2.94471,0.02987,0.00000,0.00000,
0.008,5.10000,0.00585,0.45723,2.94471,0.02986,0.00000,0.00000,
0.009,5.09875,0.00544,3.11831,0.21761,0.02772,0.00000,0.00000,
0.010,5.09875,0.00481,1.80856,2.96427,0.02452,0.00000,0.00000,
0.011,5.10125,0.00544,1.49721,0.03586,0.02773,0.00000,0.00000,
0.012,5.09875,0.00523,1.49721,0.03586,0.02665,0.00000,0.00000,
0.013,5.09750,0.00544,0.94300,1.11334,0.02771,0.00000,0.00000,
0.014,5.09875,0.00502,2.12398,0.57705,0.02559,0.00000,0.00000,
0.015,5.09875,0.00544,1.83546,1.91696,0.02772,0.00000,0.00000,
0.016,5.09875,0.00544,3.11262,0.06439,0.02772,0.00000,0.00000,
0.017,5.10000,0.00585,3.03356,1.85828,0.02986,0.00000,0.00000,
0.018,5.10000,0.00523,1.29183,1.49477,0.02666,0.00000,0.00000,
0.019,5.09750,0.00481,3.18597,0.01141,0.02452,0.00000,0.00000,
0.020,5.09875,0.00585,3.11751,0.14182,0.02985,0.00000,0.00000,
0.021,5.10125,0.00565,2.39946,0.00978,0.02880,0.00000,0.00000,
0.022,5.09875,0.00544,3.10121,0.01875,0.02772,0.00000,0.00000,
0.023,5.10000,0.00502,3.10121,0.01875,0.02559,0.00000,0.00000,
0.024,5.10000,0.00544,3.12402,0.52162,0.02773,0.00000,0.00000,
0.025,5.10000,0.00544,1.46624,0.01467,0.02773,0.00000,0.00000,
0.026,5.09875,0.00502,1.86724,0.00897,0.02559,0.00000,0.00000,
0.027,5.10250,0.00544,3.12483,0.56319,0.02774,0.00000,0.00000,
0.028,5.09875,0.00565,3.10120,0.01386,0.02879,0.00000,0.00000,
0.029,5.09625,0.00523,3.18026,0.01549,0.02664,0.00000,0.00000,
0.030,5.09625,0.00544,3.21693,0.00978,0.02771,0.00000,0.00000,
0.031,5.09500,0.00565,1.40512,0.94136,0.02876,0.00000,0.00000,
0.032,5.10000,0.00544,0.41648,2.64233,0.02773,0.00000,0.00000,
0.033,5.09875,0.00544,0.97559,2.63092,0.02772,0.00000,0.00000,
0.034,5.09875,0.00565,0.97559,2.63092,0.02879,0.00000,0.00000,
0.035,5.10125,0.00565,2.55019,0.98373,0.02880,0.00000,0.00000,
0.036,5.09875,0.00523,1.98050,0.00815,0.02665,0.00000,0.00000,
0.037,5.09750,0.00523,2.05629,0.01060,0.02665,0.00000,0.00000,
0.038,5.09750,0.00544,1.95605,1.96583,0.02771,0.00000,0.00000,
