Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),
0.000,5.10000,0.00565,1.51293,1.49092,0.02879,0.00000,0.00000,
0.000,5.09875,0.00565,1.64580,1.16730,0.02879,0.00000,0.00000,
0.000,5.10125,0.00523,3.11797,0.10108,0.02667,0.00000,0.00000,
0.000,5.09625,0.00502,1.41348,0.87874,0.02557,0.00000,0.00000,
0.000,5.10000,0.00585,1.56999,0.00734,0.02986,0.00000,0.00000,
0.000,5.09875,0.00523,1.64825,0.01141,0.02665,0.00000,0.00000,
0.000,5.10125,0.00544,2.10718,0.02690,0.02773,0.00000,0.00000,
0.000,5.09875,0.00502,2.10718,0.02690,0.02559,0.00000,0.00000,
0.000,5.09875,0.00502,1.07682,1.02954,0.02559,0.00000,0.00000,
0.000,5.09875,0.00502,2.19033,1.29855,0.02559,0.00000,0.00000,
0.000,5.09875,0.00523,2.96473,0.71163,0.02665,0.00000,0.00000,
0.000,5.09875,0.00585,2.17403,1.10128,0.02985,0.00000,0.00000,
0.000,5.09750,0.00502,3.10657,0.03913,0.02558,0.00000,0.00000,
0.000,5.10000,0.00585,2.15609,0.51436,0.02986,0.00000,0.00000,
0.001,5.09875,0.00565,0.74179,1.11187,0.02879,0.00000,0.00000,
0.002,5.10125,0.00544,1.45750,0.86407,0.02773,0.00000,0.00000,
0.003,5.09875,0.00544,2.40308,1.24067,0.02772,0.00000,0.00000,
0.004,5.09875,0.00544,2.43243,2.08273,0.02772,0.00000,0.00000,
0.005,5.09750,0.00544,2.43243,2.08273,0.02771,0.00000,0.00000,
0.006,5.10250,0.00523,1.88383,1.62379,0.02667,0.00000,0.00000,
0.007,5.09750,0.00585,2.46504,1.87568,0.02984,0.00000,0.00000,
0.008,5.10000,0.00544,1.80150,1.21785,0.02773,0.00000,0.00000,
0.009,5.10250,0.00502,1.41267,0.01549,0.02561,0.00000,0.00000,
0.010,5.09875,0.00565,2.91989,1.00590,0.02879,0.00000,0.00000,
0.011,5.09875,0.00481,1.62461,2.15935,0.02452,0.00000,0.00000,
0.012,5.09750,0.00544,1.40696,1.48522,0.02771,0.00000,0.00000,
0.013,5.09750,0.00523,2.64111,1.34256,0.02665,0.00000,0.00000,
0.014,5.10125,0.00523,2.51639,2.10392,0.02667,0.00000,0.00000,
0.015,5.10125,0.00606,3.01445,0.50051,0.03093,0.00000,0.00000,
0.016,5.10125,0.00585,3.01445,0.50051,0.02987,0.00000,0.00000,
0.017,5.09875,0.00585,1.71102,0.00897,0.02985,0.00000,0.00000,
0.018,5.09875,0.00502,1.74036,0.90809,0.02559,0.00000,0.00000,
0.019,5.10250,0.00565,2.04197,2.40879,0.02881,0.00000,0.00000,
0.020,5.10125,0.00523,2.59220,1.78275,0.02667,0.00000,0.00000,
0.021,5.09875,0.00544,3.12124,0.00000,0.02772,0.00000,0.00000,
0.022,5.09875,0.00627,2.19930,1.91236,0.03198,0.00000,0.00000,
0.023,5.10000,0.00627,1.71672,1.18035,0.03199,0.00000,0.00000,
0.024,5.10000,0.00523,1.65314,0.77929,0.02666,0.00000,0.00000,
0.025,5.10000,0.00585,1.66944,0.13939,0.02986,0.00000,0.00000,
0.026,5.10000,0.00544,1.77705,1.17546,0.02773,0.00000,0.00000,
0.027,5.09875,0.00565,1.77705,1.17546,0.02879,0.00000,0.00000,
0.028,5.09875,0.00544,2.54899,2.63376,0.02772,0.00000,0.00000,
0.029,5.09875,0.00544,2.58485,2.91010,0.02772,0.00000,0.00000,
